Row Label,County,Registered Voters,Steve Rosen,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1630,KI,309,75,94,169,0,0
SEA 46-1284,KI,278,71,69,140,0,0
SEA 46-1285,KI,303,81,101,182,0,0
SEA 43-1975,KI,439,37,25,63,0,1
SEA 37-1633,KI,329,78,85,163,0,0
SEA 46-1282,KI,656,171,226,399,0,2
SEA 43-1976,KI,242,53,41,94,0,0
SEA 37-1632,KI,292,87,85,173,0,1
SEA 43-3320,KI,515,132,109,241,0,0
SEA 36-1661,KI,277,92,101,193,0,0
SEA 43-2014,KI,352,116,144,260,0,0
SEA 36-1663,KI,275,87,118,205,0,0
SEA 36-1709,KI,359,80,72,154,0,2
SEA 36-1665,KI,515,152,202,356,0,2
SEA 36-1664,KI,326,101,116,218,0,1
SEA 46-1963,KI,278,65,87,152,0,0
SEA 36-1666,KI,572,194,164,360,0,2
SEA 36-1702,KI,606,155,215,372,0,2
SEA 36-1668,KI,443,123,118,244,0,3
SEA 36-1700,KI,383,120,87,208,0,1
SEA 36-1701,KI,331,122,108,231,0,1
SEA 46-1969,KI,278,78,91,169,0,0
SEA 11-1641,KI,539,108,75,183,0,0
SEA 36-1704,KI,640,132,117,251,0,2
SEA 46-2094,KI,283,80,97,178,0,1
SEA 46-2095,KI,279,79,107,187,0,1
SEA 36-3319,KI,867,180,185,365,0,0
SEA 36-3318,KI,680,204,222,428,0,2
SEA 46-2090,KI,494,141,121,262,0,0
SEA 46-2091,KI,451,134,131,265,0,0
SEA 46-2092,KI,311,112,113,225,0,0
SEA 46-2093,KI,462,137,180,317,0,0
SEA 34-1411,KI,307,100,97,197,0,0
SEA 46-2099,KI,437,140,152,293,0,1
SEA 43-2853,KI,440,100,106,206,0,0
SEA 43-2852,KI,501,105,119,226,0,2
SEA 36-1689,KI,484,158,155,313,0,0
SEA 36-1688,KI,273,88,91,179,0,0
SEA 43-2113,KI,393,77,61,140,0,2
SEA 36-1683,KI,305,91,114,205,0,0
SEA 36-1682,KI,309,92,96,190,0,2
SEA 34-1409,KI,422,116,153,270,0,1
SEA 34-1408,KI,708,246,233,481,0,2
SEA 36-1687,KI,644,161,147,309,0,1
SEA 36-1686,KI,768,187,162,352,0,3
SEA 36-1685,KI,418,116,104,220,0,0
SEA 36-1684,KI,338,91,82,173,0,0
SEA 43-1333,KI,340,101,128,229,0,0
SEA 43-1332,KI,385,111,155,267,0,1
SEA 43-1331,KI,366,113,110,224,0,1
SEA 37-1647,KI,669,189,158,349,0,2
SEA 43-1335,KI,637,180,196,377,0,1
SEA 43-1334,KI,446,119,140,262,0,3
SEA 36-1768,KI,331,90,111,201,0,0
SEA 43-1339,KI,298,81,102,187,0,4
SEA 43-1338,KI,449,129,172,302,0,1
SEA 43-1861,KI,750,193,236,432,0,3
SEA 46-2297,KI,283,81,86,169,0,2
SEA 46-2261,KI,256,77,98,175,0,0
SEA 36-2172,KI,319,100,112,214,0,2
SEA 37-1643,KI,682,134,93,228,0,1
SEA 34-1476,KI,273,76,94,170,0,0
SEA 34-1477,KI,307,85,115,200,0,0
SEA 34-1474,KI,402,100,127,227,0,0
SEA 34-1475,KI,311,82,94,176,0,0
SEA 34-1472,KI,239,88,83,171,0,0
SEA 34-1473,KI,319,98,82,180,0,0
SEA 34-1470,KI,677,186,161,352,0,5
SEA 34-1471,KI,492,155,149,305,0,1
SEA 43-3424,KI,407,106,112,219,0,1
SEA 36-2149,KI,367,122,138,261,0,1
SEA 36-2148,KI,359,104,125,229,0,0
SEA 34-1478,KI,253,79,83,163,0,1
SEA 34-1479,KI,313,106,93,200,0,1
SEA 34-1259,KI,328,107,96,205,0,2
SEA 43-2050,KI,442,118,101,222,0,3
SEA 37-1567,KI,332,79,76,156,0,1
SEA 37-1648,KI,695,173,151,327,0,3
SEA 37-3617,KI,553,114,118,235,0,3
SEA 46-2295,KI,481,136,174,310,0,0
