Row Label,County,D. Mark Eide,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
DES 33-0682,KI,152,444,89,241,0,0
DES 33-0364,KI,118,441,77,196,0,1
DES 33-0367,KI,129,411,103,234,0,2
DES 33-0366,KI,194,593,148,343,0,1
EVERGREEN,KI,162,716,99,261,0,0
FED 30-3096,KI,137,550,110,249,0,2
MARIAN,KI,213,776,108,323,0,2
DES 33-2820,KI,101,393,63,164,0,0
FED 30-3289,KI,227,819,139,368,0,2
GLENN,KI,59,255,65,126,0,2
FRAGER,KI,1,2,0,1,0,0
FED 30-3049,KI,127,430,41,168,0,0
FED 30-3048,KI,123,634,63,187,0,1
KILLARNEY,KI,135,466,126,264,0,3
FED 30-3020,KI,123,436,100,223,0,0
BUR 33-0476,KI,205,764,170,378,0,3
FED 30-3044,KI,228,657,96,326,0,2
FED 30-3047,KI,155,492,76,236,0,5
FED 30-3046,KI,116,397,72,188,0,0
FED 30-3041,KI,92,326,64,158,0,2
CYPRESS,KI,0,0,0,0,0,0
CADDIS,KI,111,366,96,211,0,4
DES 33-2416,KI,153,484,87,242,0,2
BUR 33-0094,KI,127,450,102,229,0,0
TUK 11-2453,KI,100,510,78,180,0,2
SET 33-3104,KI,136,542,111,247,0,0
NPK 33-2645,KI,131,335,86,219,0,2
HERON,KI,132,424,88,222,0,2
SET 33-3100,KI,193,847,94,291,0,4
BUR 34-0560,KI,123,474,96,223,0,4
SET 33-3102,KI,175,670,114,293,0,4
SYLVAN,KI,213,744,121,336,0,2
BUR 34-1064,KI,190,589,166,358,0,2
SET 33-3075,KI,61,289,54,116,0,1
GUENEVERE,KI,86,342,60,149,0,3
FED 30-3305,KI,66,402,35,102,0,1
NPK 33-2646,KI,176,587,165,341,0,0
TAHLEQUAH,KI,164,550,184,349,0,1
FED 30-3110,KI,113,351,78,194,0,3
DES 33-0272,KI,136,414,102,239,0,1
BUR 33-0009,KI,81,277,38,119,0,0
FED 30-3026,KI,127,399,66,195,0,2
BUR 34-0710,KI,96,357,75,175,0,4
SUNNYWOOD,KI,151,629,136,287,0,0
BUR 34-0824,KI,164,577,106,272,0,2
BRITTANY,KI,181,592,139,321,0,1
BUR 33-0251,KI,93,386,79,174,0,2
FED 30-3052,KI,163,494,80,243,0,0
FED 30-3053,KI,134,472,83,218,0,1
FED 30-3050,KI,56,222,42,98,0,0
FED 30-3051,KI,97,400,55,152,0,0
FED 30-3056,KI,91,323,75,166,0,0
BUR 33-1067,KI,248,866,170,427,0,9
FED 30-3054,KI,106,386,62,168,0,0
BINGAMAN,KI,209,565,99,313,0,5
FED 30-3077,KI,121,339,80,202,0,1
DILWORTH,KI,114,438,163,277,0,0
DES 33-0864,KI,102,317,102,204,0,0
JOVITA,KI,126,454,101,232,0,5
SET 33-1031,KI,221,925,175,398,0,2
FED 30-3395,KI,87,272,53,143,0,3
QUARTERMASTER,KI,97,342,129,229,0,3
FED 30-3021,KI,166,566,81,249,0,2
PORTAGE,KI,125,396,141,270,0,4
DES 33-2672,KI,138,577,92,231,0,1
DOCKTON,KI,210,696,236,446,0,0
COLVOS,KI,74,250,79,153,0,0
DES 33-0437,KI,87,271,68,155,0,0
DES 33-0668,KI,68,273,55,123,0,0
WYNONA,KI,119,462,91,211,0,1
ANGELO,KI,123,425,108,232,0,1
WHITE CENTER,KI,206,788,87,297,0,4
BUR 34-0485,KI,161,583,140,302,0,1
FED 30-3080,KI,111,499,58,172,1,2
MAURY,KI,141,413,151,292,0,0
TUK 11-3127,KI,63,280,43,109,0,3
BUR 34-0489,KI,157,445,168,327,0,2
FED 30-3027,KI,178,654,108,288,0,2
DES 33-2674,KI,140,552,108,250,0,2
FED 30-3025,KI,154,506,150,307,0,3
FED 30-3024,KI,124,349,95,222,0,3
DES 33-2671,KI,296,834,190,488,0,2
FED 30-3022,KI,85,216,47,132,0,0
DES 33-2673,KI,102,366,65,167,0,0
BUR 34-0311,KI,172,464,96,268,0,0
MCKINLEY,KI,66,351,48,118,0,4
BUR 34-0402,KI,128,390,111,241,0,2
LAKELAND,KI,139,527,106,248,0,3
FED 30-3029,KI,88,309,27,117,0,2
FED 30-3028,KI,154,510,96,250,0,0
