Row Label,County,"Nathaniel B. Green, Jr.",Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
M-V 05-3369,KI,246,680,136,383,0,1
M-V 05-3368,KI,168,748,179,350,0,3
KEN 33-0582,KI,209,843,148,359,0,2
HOLM LAKE,KI,215,710,200,415,0,0
COV 47-2390,KI,130,505,72,204,0,2
KEN 47-2568,KI,243,866,158,403,0,2
RNT 11-3563,KI,136,625,140,277,0,1
KEN 47-0910,KI,175,765,128,309,0,6
AUB 47-3276,KI,155,610,88,247,0,4
KEN 33-2570,KI,155,582,104,265,0,6
MCCOY,KI,158,646,205,368,0,5
COV 47-3581,KI,100,385,80,180,0,0
KEN 11-3331,KI,103,456,61,166,0,2
RNT 11-0738,KI,77,444,63,141,0,1
ENM 05-3414,KI,0,0,0,0,0,0
STACY,KI,37,173,52,89,0,0
AUB 47-2700,KI,50,212,19,73,0,4
AUB 47-2701,KI,86,486,58,146,0,2
VALENCIA,KI,133,501,123,258,0,2
KEN 47-3352,KI,0,0,0,0,0,0
KEN 33-3553,KI,122,557,72,194,0,0
KEN 33-0590,KI,224,755,140,372,0,8
KEN 33-0591,KI,85,274,55,140,0,0
KEN 33-0592,KI,48,208,33,81,0,0
KEN 33-0593,KI,88,231,49,140,0,3
KEN 33-0594,KI,86,366,101,189,0,2
KEN 33-0595,KI,84,488,55,139,0,0
KEN 33-0596,KI,156,550,133,289,0,0
KEN 33-0597,KI,146,688,90,239,0,3
KEN 33-0598,KI,124,473,75,201,0,2
KEN 33-0453,KI,209,815,153,364,0,2
AUB 47-3456,KI,186,795,116,305,0,3
PINE,KI,28,139,47,76,0,1
KEN 47-1102,KI,208,759,174,382,0,0
DORRE DON,KI,222,793,254,477,0,1
KEN 47-3189,KI,135,732,70,206,0,1
KEN 47-3184,KI,237,776,145,384,0,2
LITTLE SOOS,KI,165,463,102,268,0,1
KEN 47-3180,KI,115,541,72,187,0,0
RNT 11-1109,KI,101,484,75,180,0,4
RNT 11-0354,KI,149,491,78,227,0,0
CEDAR PARK,KI,72,245,44,118,0,2
RENHILL,KI,114,406,88,204,0,2
EASTWOOD,KI,160,487,119,281,0,2
GREEN VALLEY,KI,108,370,115,223,0,0
NATHAN,KI,154,507,141,297,0,2
M-V 05-0697,KI,209,673,176,385,0,0
MORRIS,KI,180,736,175,359,0,4
KEN 47-3136,KI,69,293,47,119,0,3
M-V 05-3322,KI,103,382,85,189,0,1
FAIRHAVEN,KI,213,808,224,439,0,2
M-V 05-3242,KI,139,588,122,262,0,1
AUB 47-0041,KI,190,735,109,303,0,4
KELSEY,KI,123,439,86,209,0,0
AUB 47-0045,KI,228,674,122,351,0,1
M-V 05-3245,KI,173,636,188,367,0,6
SELLECK,KI,216,784,203,420,0,1
AUB 30-3477,KI,40,203,25,65,0,0
AUB 30-3476,KI,58,264,28,86,0,0
GRIFFITH,KI,169,576,118,288,0,1
RNT 33-1204,KI,291,851,170,461,0,0
KEN 47-0482,KI,169,671,131,301,0,1
RNT 33-3535,KI,181,697,100,282,0,1
COV 47-2982,KI,145,553,105,251,0,1
TAHOMA,KI,148,571,164,313,0,1
KEN 47-2585,KI,248,819,183,431,0,0
RAVENSDALE,KI,133,497,115,252,0,4
AUB 47-2839,KI,238,692,189,430,0,3
KEN 33-0270,KI,50,271,36,87,0,1
RNT 11-3575,KI,171,600,144,318,0,3
PLAINS,KI,228,742,199,430,0,3
KEN 47-2485,KI,185,616,101,288,0,2
SIERRA,KI,202,690,167,373,0,4
KEN 47-1151,KI,135,398,94,229,0,0
RNT 11-3619,KI,121,472,102,225,0,2
MERGANSER,KI,193,627,158,351,0,0
DIAMOND,KI,66,227,54,120,0,0
RNT 37-3154,KI,185,770,124,311,0,2
TANNER,KI,164,695,178,343,0,1
RNT 11-3683,KI,77,320,50,128,0,1
M-V 05-0528,KI,171,344,94,266,0,1
FAIRWOOD,KI,97,267,79,176,0,0
KEN 47-3579,KI,53,273,47,100,0,0
AUB 30-0053,KI,117,437,65,185,0,3
KEN 33-2443,KI,56,303,24,82,0,2
IDA,KI,82,260,62,146,0,2
B-D 05-3310,KI,150,492,122,273,0,1
KEN 33-2699,KI,105,401,89,198,0,4
ELIZABETH,KI,151,601,120,273,0,2
RNT 37-3650,KI,87,474,115,204,0,2
COV 47-3365,KI,85,286,79,164,0,0
ENM 31-0413,KI,175,655,188,363,0,0
ENM 31-0411,KI,250,765,159,410,0,1
ENM 31-0410,KI,162,644,131,297,0,4
ENM 31-0417,KI,78,249,65,143,0,0
ENM 31-0416,KI,211,695,188,402,0,3
ENM 31-0415,KI,64,259,77,142,0,1
ENM 31-0419,KI,122,480,105,231,0,4
ENM 31-0418,KI,187,565,133,322,0,2
FOUR LAKES,KI,188,733,212,403,1,2
RNT 11-0031,KI,170,660,128,298,0,0
RNT 11-0404,KI,176,598,103,281,0,2
COV 47-0566,KI,181,724,124,308,0,3
RNT 41-1017,KI,107,370,76,183,0,0
RNT 41-1010,KI,107,416,112,219,0,0
AUB 31-3335,KI,201,732,149,351,0,1
RNT 41-1018,KI,238,868,223,464,0,3
AUB 31-0042,KI,139,509,100,240,0,1
SUNSET,KI,51,230,70,121,0,0
FRANKLIN,KI,34,160,29,63,0,0
KEN 47-3676,KI,39,127,25,64,0,0
AUB 31-0048,KI,44,210,34,78,0,0
AUB 31-0049,KI,123,450,66,195,0,6
KEN 47-3408,KI,100,374,41,141,0,0
M-V 05-3373,KI,177,662,175,360,0,8
KEN 47-3402,KI,173,669,144,322,0,5
M-V 05-3272,KI,247,878,185,436,0,4
COV 47-0313,KI,141,428,100,241,0,0
LANGSTON,KI,148,587,106,254,0,0
FAIRVILLE,KI,154,575,141,298,0,3
RNT 11-0539,KI,119,475,58,178,0,1
KEN 47-3493,KI,156,554,113,269,0,0
COV 47-3279,KI,199,713,141,342,0,2
FOREST,KI,178,572,135,313,0,0
KENTLAKE,KI,172,647,115,290,0,3
RNT 11-2854,KI,134,583,89,225,0,2
AUB 47-3260,KI,274,886,209,485,0,2
RNT 11-0981,KI,245,794,150,399,0,4
OSCEOLA,KI,179,557,154,336,0,3
COV 47-1145,KI,179,696,137,318,0,2
NEUWAUKUM,KI,101,356,96,199,0,2
KEN 47-0229,KI,181,695,114,296,0,1
RNT 11-0983,KI,126,525,88,215,0,1
HOBART,KI,187,621,184,374,0,3
MADISON,KI,80,305,77,157,0,0
COV 47-3597,KI,78,293,69,150,0,3
M-V 05-2857,KI,193,703,198,394,0,3
AUB 47-1066,KI,111,370,98,211,0,2
RNT 11-3404,KI,123,556,109,232,0,0
BRINN,KI,250,848,261,513,0,2
