Row Label,County,Charles W. Johnson,Eddie Yoon,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 46-2334,KI,220,50,573,72,343,1,0
SEA 46-2337,KI,94,42,347,46,185,0,3
SEA 46-2336,KI,186,75,707,86,350,0,3
KIR 45-3640,KI,83,32,311,37,152,0,0
KIR 45-3646,KI,53,25,276,22,101,0,1
SEA 34-1458,KI,141,35,376,70,246,0,0
SEA 34-1459,KI,105,27,272,43,175,0,0
SEA 34-1454,KI,100,28,306,49,180,0,3
SEA 34-1455,KI,233,87,956,105,428,0,3
SEA 34-1456,KI,146,46,428,56,248,0,0
SEA 34-1457,KI,197,73,687,115,385,0,0
SEA 34-1450,KI,104,35,301,49,188,0,0
SEA 34-1451,KI,99,34,330,45,178,0,0
SEA 34-1452,KI,106,14,275,50,170,0,0
SEA 34-1453,KI,93,28,264,51,174,0,2
SHL 32-0296,KI,118,36,377,47,201,0,0
SAM 41-3654,KI,169,45,475,73,287,0,0
COV 47-2982,KI,125,56,553,70,251,0,0
SEA 32-2216,KI,118,16,338,68,203,0,1
KEN 47-2585,KI,243,77,819,110,431,0,1
BEL 48-0125,KI,113,39,405,49,201,0,0
BEL 48-0126,KI,115,33,354,50,198,0,0
BEL 48-0127,KI,86,41,393,34,161,0,0
RNT 11-2581,KI,154,68,668,95,322,0,5
FED 30-3395,KI,75,28,272,38,143,0,2
RAVENSDALE,KI,128,34,497,89,252,0,1
BUR 34-0900,KI,98,43,391,53,194,0,0
SEA 37-3647,KI,78,34,447,33,146,0,1
KEN 47-1151,KI,121,43,398,65,229,0,0
SEA 32-2537,KI,129,31,396,53,213,0,0
SEA 32-2539,KI,263,69,788,113,447,0,2
BEL 48-0694,KI,157,60,556,59,279,0,3
SEA 46-2142,KI,205,66,674,84,357,0,2
SEA 46-2143,KI,107,14,285,42,163,0,0
SEA 46-2145,KI,168,49,497,80,297,0,0
MERGANSER,KI,191,56,627,104,351,0,0
DIAMOND,KI,59,24,227,37,120,0,0
M-V 05-0528,KI,162,44,344,60,266,0,0
CAR 05-3290,KI,142,54,515,113,309,0,0
SHL 32-1038,KI,82,22,254,32,136,0,0
AUB 30-0053,KI,113,38,437,33,185,0,1
SEA 43-1334,KI,158,48,446,55,262,0,1
SNO-VALLEY,KI,222,62,760,122,408,1,1
JEFFERSON,KI,210,90,829,103,404,0,1
SAM 41-0307,KI,135,50,525,105,291,0,1
SEA 34-3682,KI,118,24,386,49,192,0,1
KEN 33-2443,KI,35,31,303,16,82,0,0
SEA 36-1294,KI,267,51,735,131,449,0,0
SEA 36-1295,KI,145,23,337,49,219,0,2
SEA 36-1296,KI,133,21,303,40,194,0,0
SEA 36-1297,KI,111,23,298,48,183,0,1
SHL 32-0474,KI,94,39,383,58,191,0,0
SEA 36-1292,KI,143,24,356,52,220,0,1
SEA 37-1646,KI,83,33,457,34,151,1,0
SEA 37-1647,KI,205,56,669,87,349,0,1
SEA 36-1768,KI,116,27,331,58,201,0,0
ELIZABETH,KI,159,47,601,66,273,0,1
DUV 45-3218,KI,239,83,840,132,454,0,0
SEA 37-1643,KI,110,64,682,52,228,0,2
SEA 36-1764,KI,115,24,264,46,185,0,0
SEA 36-1765,KI,107,22,274,49,178,0,0
SEA 36-1766,KI,130,28,401,58,216,0,0
SEA 36-1767,KI,129,35,551,76,242,0,2
SEA 36-1760,KI,126,17,300,52,195,0,0
CARPENTER,KI,125,42,434,74,242,0,1
SEA 36-1762,KI,110,26,306,70,207,0,1
SEA 36-1763,KI,121,23,312,52,196,0,0
SEA 34-3175,KI,150,28,357,57,235,0,0
SEAVIEW,KI,110,43,393,68,221,0,0
SHL 32-0514,KI,180,34,534,98,312,0,0
KIR 45-2423,KI,285,78,726,89,453,0,1
DOUGLAS,KI,189,48,568,96,337,0,4
KIR 45-2421,KI,146,53,515,74,274,0,1
MILLIKIN,KI,246,63,650,109,422,0,4
COV 47-0566,KI,159,70,724,78,308,0,1
SHL 32-0519,KI,109,32,422,41,182,0,0
SEA 36-2129,KI,198,68,691,59,326,0,1
SEA 36-2126,KI,259,55,722,104,419,0,1
SEA 36-2125,KI,208,75,620,73,357,0,1
SEA 36-2121,KI,117,38,443,59,216,0,2
SEA 36-2120,KI,187,23,413,63,273,0,0
AUB 31-0042,KI,147,42,509,51,240,0,0
AUB 31-0047,KI,157,41,574,64,264,0,2
SHL 32-0401,KI,183,31,419,68,282,0,0
AUB 31-0048,KI,43,11,210,22,78,0,2
HANSEN,KI,154,65,505,88,308,0,1
STEVENS,KI,52,32,197,40,124,0,0
SEA 37-1616,KI,137,22,351,47,207,0,1
KIR 45-2962,KI,115,42,453,49,208,0,2
SHL 32-0609,KI,100,37,370,47,184,0,0
VINCENT,KI,117,37,411,56,210,0,0
KIR 45-2730,KI,166,55,686,77,298,0,0
M-I 41-2691,KI,101,41,516,57,202,0,3
SEA 43-2987,KI,51,14,673,32,97,0,0
SHL 32-0605,KI,150,33,422,72,255,0,0
DES 33-0272,KI,142,48,414,48,239,0,1
LFP 46-2763,KI,100,30,276,55,186,0,1
SEA 37-1608,KI,192,40,559,61,293,0,0
HOLIDAY LAKE,KI,111,29,299,53,193,0,0
RED 45-0936,KI,151,57,476,67,275,0,0
OSCEOLA,KI,182,43,557,107,336,0,4
NEUWAUKUM,KI,97,30,356,71,199,0,1
KEN 47-0229,KI,165,72,695,58,296,0,1
RNT 11-0983,KI,106,55,525,53,215,0,1
BEL 41-0101,KI,153,47,502,72,272,0,0
BEL 41-0103,KI,188,43,535,79,310,0,0
BEL 41-0102,KI,137,65,464,66,268,0,0
BEL 41-0106,KI,124,38,457,66,229,0,1
BEL 41-0109,KI,82,20,325,37,139,0,0
M-V 05-2857,KI,207,55,703,129,394,0,3
CORWIN,KI,287,79,817,129,498,0,3
BUR 34-0489,KI,183,60,445,84,327,0,0
SEA 37-1899,KI,129,26,338,37,195,0,3
RNT 11-3404,KI,106,58,556,68,232,0,0
BUR 34-0311,KI,146,64,464,57,268,0,1
SEA 37-1891,KI,129,20,304,44,193,0,0
SEA 37-1890,KI,283,40,581,88,412,0,1
SEA 37-1893,KI,205,31,445,51,287,0,0
SEA 37-1892,KI,251,44,594,63,360,0,2
SEA 37-1895,KI,243,41,604,72,356,0,0
SEA 37-1894,KI,170,28,433,60,259,0,1
SEA 37-1897,KI,181,74,881,62,320,0,3
SEA 37-1896,KI,178,35,410,44,258,0,1
B-D 05-0239,KI,155,57,560,72,284,0,0
AUB 47-3585,KI,88,32,374,31,152,0,1
BUR 34-0465,KI,76,22,228,34,132,0,0
KMR 46-0340,KI,168,47,443,91,306,0,0
SAM 45-3293,KI,201,66,661,114,382,0,1
SAM 45-3298,KI,167,54,523,76,297,0,0
SEA 36-1815,KI,164,48,453,61,273,0,0
KIR 01-3678,KI,108,28,349,57,193,0,0
BUR 33-0701,KI,145,76,722,69,291,0,1
SHL 32-0861,KI,168,80,696,81,331,0,2
BEL 41-0211,KI,129,50,373,49,229,0,1
BEL 41-0210,KI,105,20,367,61,186,0,0
TIMBER,KI,192,59,664,105,358,0,2
BEL 41-0219,KI,138,65,623,60,264,0,1
SEA 43-1351,KI,209,40,561,66,315,0,0
SEA 43-1350,KI,72,29,265,32,133,0,0
KEN 47-3190,KI,135,48,693,56,241,0,2
SEA 43-1352,KI,194,55,608,73,322,0,0
SEA 43-1355,KI,155,38,401,50,244,0,1
SEA 43-1354,KI,141,36,435,62,240,0,1
SEA 43-1357,KI,131,21,355,40,192,0,0
SEA 43-1359,KI,186,31,518,71,291,0,3
SEA 43-1358,KI,120,36,418,67,224,0,1
RED 48-3208,KI,67,46,415,42,156,0,1
ISS 05-3527,KI,134,50,587,64,249,0,1
B-D 05-2413,KI,151,41,466,90,284,0,2
SEA 46-1952,KI,117,13,281,48,179,0,1
SEA 46-1953,KI,112,19,236,44,175,0,0
SEA 46-1954,KI,126,17,282,60,203,0,0
SEA 46-1955,KI,160,61,558,68,289,0,0
SEA 46-1957,KI,210,32,553,112,354,0,0
SEA 46-1959,KI,307,52,703,130,491,0,2
RED 48-3664,KI,127,46,594,69,243,0,1
KEN 47-3537,KI,117,55,557,77,249,0,0
DIANE,KI,0,0,0,0,0,0,0
BERNICE,KI,132,63,601,44,240,0,1
KEN 47-3447,KI,61,22,248,24,107,0,0
KEN 47-2667,KI,92,44,528,39,176,0,1
RNT 11-1008,KI,145,46,662,69,264,0,4
RNT 11-1007,KI,65,19,315,64,149,0,1
RNT 11-1006,KI,93,34,453,67,194,0,0
RNT 11-1004,KI,70,29,317,42,141,0,0
RNT 11-1002,KI,78,26,332,38,142,0,0
FED 30-3096,KI,140,52,550,57,249,0,0
FED 30-3097,KI,233,89,720,105,429,0,2
FED 30-3094,KI,141,67,595,68,277,0,1
FED 30-3095,KI,97,37,501,37,173,0,2
FED 30-3092,KI,107,67,631,38,213,0,1
FED 30-3093,KI,103,64,612,53,221,0,1
FED 30-3090,KI,105,41,356,51,198,0,1
FED 30-3091,KI,246,68,552,74,388,0,0
SEA 46-2326,KI,144,49,574,78,271,0,0
SEA 46-2327,KI,104,29,381,57,190,0,0
SEA 46-2324,KI,131,42,432,64,237,0,0
SEA 46-2325,KI,131,50,405,60,242,1,0
SEA 46-2322,KI,180,35,532,65,281,0,1
SEA 46-2323,KI,167,56,554,85,310,0,2
FED 30-3098,KI,122,53,528,77,252,0,0
LFP 46-0517,KI,155,35,445,81,273,0,2
CHERRY VALLEY,KI,160,47,514,95,304,0,2
ISABELLA,KI,203,95,660,108,409,1,2
KIR 01-3422,KI,161,40,546,65,266,0,0
SEA 34-1461,KI,161,43,399,63,268,0,1
SEA 34-1460,KI,126,28,324,55,209,0,0
SEA 34-1463,KI,116,21,259,40,178,0,1
SEA 34-1462,KI,107,20,339,72,199,0,0
SEA 34-1465,KI,156,38,372,57,251,0,0
SEA 34-1464,KI,140,36,359,69,245,0,0
SEA 34-1467,KI,187,49,551,102,339,0,1
SEA 34-1466,KI,81,39,303,58,179,0,1
RED 48-2629,KI,136,74,648,84,295,0,1
RED 48-2628,KI,101,50,472,60,211,0,0
BUR 34-1192,KI,218,65,591,112,397,0,2
SEA 34-1489,KI,199,47,744,90,338,0,2
SEA 34-1488,KI,142,64,692,77,284,1,0
SEA 34-1482,KI,106,28,321,45,180,0,1
SEA 34-1481,KI,104,50,479,70,227,0,3
SEA 34-1480,KI,192,57,594,90,339,0,0
SEA 34-1487,KI,117,39,335,48,205,0,1
SEA 34-1486,KI,119,30,364,51,201,0,1
SEA 34-1485,KI,154,64,708,87,307,0,2
SEA 34-1484,KI,103,39,345,38,180,0,0
RNT 05-3698,KI,17,6,52,4,27,0,0
BUR 34-0913,KI,122,49,599,50,225,0,4
MAPLE HILLS,KI,219,75,719,97,391,0,0
SEA 46-2319,KI,181,50,506,92,323,0,0
SPRINKLE,KI,43,9,107,14,66,0,0
RNT 37-0969,KI,0,0,0,0,0,0,0
KMR 46-1095,KI,205,97,785,119,421,0,0
SEA 43-1265,KI,92,17,256,37,148,0,2
RNT 37-0967,KI,131,44,503,60,236,0,1
KEN 33-2618,KI,166,59,795,80,306,0,1
KEN 47-2485,KI,154,80,616,51,288,0,3
SEA 43-1264,KI,142,35,361,71,248,0,0
RNT 11-0719,KI,68,33,243,32,134,0,1
SEA 43-1267,KI,163,36,386,63,264,0,2
SHL 32-0319,KI,83,17,284,40,141,0,1
SEA 34-1534,KI,132,25,362,81,238,0,0
TOTEM,KI,15,5,70,11,31,0,0
FED 30-3078,KI,130,43,402,45,218,0,0
FED 30-3079,KI,153,60,508,44,260,0,3
ISS 41-2733,KI,252,73,843,135,462,0,2
DES 33-0911,KI,121,53,515,49,224,0,1
KIR 45-3109,KI,132,46,469,52,230,0,0
KIR 45-3450,KI,56,23,251,46,125,0,0
FED 30-3077,KI,112,41,339,48,202,0,1
AUB 47-0671,KI,179,69,785,80,329,0,1
SET 33-3059,KI,102,65,683,36,205,0,2
KEN 33-3670,KI,69,32,288,19,120,0,0
KINGLET,KI,105,44,532,78,227,0,0
SAM 45-3454,KI,56,22,233,38,116,0,0
DES 33-0682,KI,116,54,444,70,241,0,1
SEA 36-1751,KI,114,24,368,74,212,0,0
SEA 36-1750,KI,176,39,493,81,296,0,0
PIPELINE,KI,50,14,153,17,82,0,1
SEA 36-1752,KI,142,27,437,74,244,0,1
SEA 36-1755,KI,86,20,272,51,158,0,1
SEA 36-1754,KI,143,20,387,89,252,0,0
BOT 01-3661,KI,131,53,528,60,245,0,1
SEA 36-1756,KI,231,71,682,90,393,0,1
DES 33-2820,KI,89,41,393,34,164,0,0
SEA 36-1758,KI,145,23,351,78,246,0,0
SEA 43-2043,KI,110,30,292,52,193,0,1
SEA 43-2044,KI,115,26,350,44,186,0,1
SEA 43-2045,KI,116,23,315,50,189,0,0
SEA 43-2047,KI,245,47,662,108,403,0,3
MORGAN,KI,152,61,631,90,305,0,2
M-I 41-0787,KI,99,37,333,46,182,0,0
SNQ 05-3409,KI,204,76,787,118,399,0,1
MERRIHILL,KI,175,69,687,79,324,0,1
SHL 32-1021,KI,166,63,550,78,309,0,2
SHL 32-1020,KI,91,38,341,48,178,0,1
KMR 46-2462,KI,105,20,258,39,164,0,0
SEA 36-2149,KI,142,32,367,86,261,0,1
SEA 36-2134,KI,144,60,490,61,266,0,1
BROOKTRAILS,KI,176,57,564,113,347,0,1
SEA 36-2130,KI,152,42,388,49,243,0,0
SEA 36-2131,KI,244,68,851,141,453,0,0
SEA 36-2133,KI,188,59,698,99,348,0,2
RED 48-0942,KI,149,39,402,69,258,0,1
COUGAR MTN,KI,4,3,8,1,8,0,0
SEA 46-1312,KI,112,25,326,44,181,0,0
SEA 46-1313,KI,93,33,280,41,168,0,1
DES 33-0864,KI,121,34,317,49,204,0,0
SEA 46-1311,KI,107,43,427,48,198,0,0
SEA 46-1314,KI,115,27,330,68,210,0,0
KEN 47-0439,KI,155,79,585,74,309,0,1
SEA 36-1808,KI,98,27,275,31,156,0,0
SAM 41-2813,KI,190,40,567,107,337,0,0
M-V 05-3461,KI,181,74,779,95,352,0,2
SEA 36-1805,KI,120,38,473,81,239,0,0
SEA 36-1806,KI,148,48,598,85,281,0,0
SEA 36-1801,KI,217,63,896,110,391,0,1
SEA 36-1803,KI,97,23,298,58,178,0,0
RED 45-3584,KI,130,55,449,73,259,0,1
RED 48-0944,KI,116,32,375,66,217,0,3
SEA 36-3669,KI,89,26,349,40,157,0,2
ENM 31-3248,KI,239,61,732,141,442,0,1
ENM 31-3247,KI,182,42,682,98,323,0,1
ENM 31-3246,KI,70,15,264,41,127,0,1
KIR 45-2722,KI,172,43,626,81,296,0,0
YPT 48-1234,KI,143,29,411,78,250,0,0
YPT 48-1233,KI,149,22,401,55,226,0,0
ALDER SPRINGS,KI,180,58,550,110,349,0,1
SEA 36-2592,KI,129,27,352,47,205,0,2
EARLINGTON,KI,78,43,357,27,150,0,2
SEA 36-2590,KI,123,41,364,48,213,0,1
KEN 05-3375,KI,0,0,0,0,0,0,0
KIR 01-2767,KI,201,55,573,101,359,0,2
KIR 01-2762,KI,175,58,618,74,308,0,1
KIR 01-2768,KI,206,81,624,95,383,0,1
SHL 32-0897,KI,130,43,446,59,233,0,1
KEN 33-0603,KI,203,64,649,79,347,0,1
RED 48-0951,KI,132,35,379,56,223,0,0
RED 48-0950,KI,110,48,444,56,214,0,0
RED 48-0953,KI,236,85,758,95,418,0,2
RED 48-0952,KI,87,30,311,43,160,0,0
KELLY,KI,95,41,375,53,189,0,0
DUV 45-3219,KI,148,61,548,87,298,0,2
KEN 47-0238,KI,194,70,723,81,349,0,4
BEL 41-0116,KI,59,17,290,35,111,0,0
BEL 41-0117,KI,79,19,263,42,140,0,0
BEL 41-0114,KI,163,39,459,90,292,0,0
BEL 41-0112,KI,205,55,712,96,358,0,2
BEL 41-0113,KI,93,19,255,46,158,0,0
BEL 41-0110,KI,143,46,571,68,257,0,0
BEL 41-0111,KI,210,38,544,82,330,0,0
BEL 41-3312,KI,276,62,796,151,489,0,0
SEA 43-1784,KI,206,34,500,67,308,0,1
BEL 41-0119,KI,107,22,295,68,197,0,0
WELCOME LAKE,KI,381,79,735,116,578,0,2
SEA 34-1545,KI,121,41,422,61,224,0,1
SEA 36-3267,KI,124,44,548,50,219,0,1
SEA 37-1886,KI,211,31,523,50,293,0,1
CANDLEWOOD,KI,45,38,412,36,120,0,1
SEA 37-1885,KI,143,30,398,50,223,0,0
SEA 37-1882,KI,143,22,395,27,193,0,1
SEA 37-1883,KI,133,19,423,52,204,0,0
SEA 37-1880,KI,184,39,514,51,276,0,2
SEA 37-1881,KI,123,27,396,38,188,0,0
AUB 47-3591,KI,104,49,445,53,206,0,0
SEA 43-1780,KI,114,35,350,59,208,0,0
SEA 43-1781,KI,90,37,326,37,164,0,0
ELSIE,KI,194,90,726,108,393,0,1
SELLECK,KI,218,71,784,129,420,0,2
BEL 41-0203,KI,256,51,688,103,410,0,0
M-V 05-3482,KI,209,100,870,132,441,0,0
SEA 46-2370,KI,77,32,428,28,137,0,0
BUR 33-0289,KI,106,44,412,36,188,0,2
BEL 41-0205,KI,101,23,288,46,171,0,1
DIPPER,KI,187,67,675,91,346,0,1
BOT 01-3271,KI,114,42,431,72,229,0,1
SHL 32-0819,KI,116,41,411,53,211,0,1
SEA 36-1299,KI,159,28,425,70,260,0,3
SEA 43-1347,KI,299,43,726,92,435,0,1
SEA 43-1344,KI,184,26,452,82,292,0,0
NEW 41-3261,KI,151,53,503,62,267,0,1
SEA 43-1342,KI,151,33,366,53,237,0,0
BUR 34-1219,KI,187,55,530,102,345,0,1
SEA 43-1341,KI,225,42,499,82,351,0,2
WOD 45-2769,KI,224,67,748,152,444,0,1
SALAL,KI,117,34,359,73,225,0,1
SEA 43-1349,KI,125,39,359,66,231,0,1
SHL 32-0470,KI,139,36,413,83,258,0,0
B-D 05-2407,KI,221,89,838,136,447,0,1
SEA 46-1965,KI,126,17,292,47,190,0,0
BEL 48-1049,KI,123,34,344,57,215,0,1
SEA 46-1967,KI,193,47,497,79,320,0,1
SEA 46-1966,KI,96,24,234,23,144,0,1
SEA 46-1961,KI,116,25,272,40,182,0,1
SEA 46-1963,KI,84,12,278,55,152,0,1
SEA 36-2116,KI,128,23,299,51,202,0,0
PRESTON,KI,212,48,661,119,383,0,4
SEA 46-1969,KI,93,23,278,53,169,0,0
SEA 11-1641,KI,85,56,539,42,183,0,0
SEA 36-3319,KI,190,62,867,112,365,0,1
SEA 36-3318,KI,262,62,680,102,428,0,2
BUR 34-0295,KI,125,60,479,84,269,0,0
LYNX,KI,139,68,531,67,276,0,2
SHL 32-0921,KI,128,16,260,32,176,0,0
BUR 34-0298,KI,178,72,668,70,322,0,2
SEA 36-3317,KI,211,66,595,106,383,0,0
SEA 43-2853,KI,134,17,440,55,206,0,0
SEA 43-2852,KI,138,29,501,57,226,0,2
RANCH,KI,117,43,444,73,233,0,0
SEA 43-2113,KI,70,36,393,33,140,0,1
RNT 11-1015,KI,101,34,443,57,194,0,2
RNT 11-1011,KI,217,68,881,101,391,0,5
KEN 47-3275,KI,152,65,854,70,288,0,1
COTTAGE LAKE,KI,137,42,452,47,228,0,2
KIR 45-3668,KI,101,59,428,46,206,0,0
SEA 43-2058,KI,74,20,247,56,150,0,0
SHANGRI-LA,KI,130,44,394,55,233,0,4
SEA 37-1640,KI,152,75,738,66,293,0,0
RIVERSIDE,KI,109,33,396,78,220,0,0
SEA 43-1861,KI,287,53,750,91,432,0,1
LISABEULA,KI,183,49,467,75,309,0,2
SHL 32-0407,KI,220,60,661,105,386,0,1
LEAH,KI,171,54,661,91,319,0,3
HI-VALLEY,KI,335,73,829,133,542,0,1
RED 48-2636,KI,150,46,451,60,256,0,0
SEA 34-1477,KI,122,20,307,58,200,0,0
RED 48-2634,KI,129,46,389,56,231,0,0
RED 48-2635,KI,124,43,387,56,224,0,1
RED 48-2632,KI,54,23,225,53,130,0,0
RED 48-2633,KI,204,64,626,107,375,0,0
RED 48-2630,KI,156,35,394,66,257,0,0
SEA 34-1471,KI,172,51,492,82,305,0,0
SEA 34-1478,KI,104,26,253,33,163,0,0
SEA 34-1479,KI,116,32,313,51,200,0,1
SEA 43-2050,KI,121,48,442,50,222,0,3
HAAS,KI,97,28,303,74,199,0,0
SEA 36-1761,KI,93,31,309,69,193,0,0
SEA 34-1498,KI,196,61,668,72,330,0,1
SEA 34-1499,KI,163,41,483,84,289,0,1
SEA 43-2055,KI,60,20,322,33,113,0,0
SEA 34-1490,KI,126,51,437,57,235,0,1
SEA 34-1493,KI,164,76,722,77,320,0,3
SEA 34-1494,KI,153,54,536,56,265,0,2
SEA 34-1496,KI,208,79,826,100,389,0,2
RED 48-3548,KI,87,29,292,29,145,0,0
SEA 46-2267,KI,141,42,518,58,241,0,0
SEA 46-2266,KI,161,26,494,100,288,0,1
SEA 46-2264,KI,287,77,768,123,487,0,0
GRANDVIEW,KI,3,5,16,0,8,0,0
SEA 46-2261,KI,108,21,256,46,175,0,0
SEA 46-2260,KI,320,64,722,126,511,0,1
SILVER SPURS,KI,8,0,18,2,10,0,0
SNO PASS,KI,70,29,208,32,131,0,0
SEA 46-2269,KI,130,18,305,49,197,0,0
SEA 46-2268,KI,115,36,330,54,205,0,0
KEN 47-2477,KI,222,60,535,79,361,0,0
RNT 37-0991,KI,128,54,619,68,250,0,0
RNT 37-0999,KI,171,100,760,71,343,0,1
KEN 47-2708,KI,114,51,485,60,226,0,1
KEN 47-2709,KI,215,91,839,99,407,0,2
ISS 41-2692,KI,100,37,382,77,215,0,1
KEN 47-2704,KI,227,97,773,106,430,0,0
SAM 41-3214,KI,140,25,435,76,241,0,0
SAM 41-3215,KI,180,64,814,104,348,0,0
BLACK RIVER,KI,42,17,320,17,77,0,1
KEN 47-2490,KI,181,56,673,93,331,0,1
SEA 46-2313,KI,136,48,538,62,248,0,2
DES 30-0954,KI,251,69,745,95,415,0,0
DUTHIE HILL,KI,106,36,356,64,208,0,2
SEA 46-2311,KI,176,32,451,48,256,0,0
MARIAN,KI,191,67,776,63,323,1,1
BEL 41-2782,KI,49,10,183,22,81,0,0
FED 30-3289,KI,139,140,819,86,368,0,3
SEA 46-2310,KI,178,33,386,65,277,0,1
RNT 37-1000,KI,72,27,532,43,142,0,0
FED 30-3049,KI,89,53,430,26,168,0,0
FED 30-3048,KI,84,58,634,45,187,0,0
FED 30-3045,KI,122,61,637,67,253,0,3
FED 30-3044,KI,184,81,657,60,326,0,1
FED 30-3047,KI,138,50,492,47,236,0,1
FED 30-3046,KI,101,34,397,53,188,0,0
FED 30-3041,KI,76,46,326,36,158,0,0
FED 30-3040,KI,79,43,432,20,146,0,4
FED 30-3043,KI,149,53,631,58,261,0,1
FED 30-3042,KI,92,26,251,47,166,0,1
KEN 47-0753,KI,133,59,622,53,249,0,4
SAM 41-3508,KI,186,60,685,91,337,0,0
KEN 33-3644,KI,112,55,486,46,213,0,0
BEL 48-3292,KI,147,43,401,53,244,0,1
SHL 32-0494,KI,136,49,468,67,252,0,0
SHL 32-0499,KI,177,43,462,67,288,0,1
SEA 46-2318,KI,135,15,277,36,188,0,2
SAM 41-3506,KI,127,41,455,63,234,0,3
SAM 41-3507,KI,179,60,708,75,314,0,0
SEA 36-1746,KI,117,40,313,45,203,0,1
SEA 36-1747,KI,122,17,296,56,195,0,0
SEA 36-1744,KI,122,31,393,75,228,0,0
SEA 36-1742,KI,118,16,296,50,185,0,1
SEA 36-1743,KI,127,24,391,55,206,0,0
SEA 36-1740,KI,115,25,323,67,208,0,1
SEA 36-1741,KI,114,35,325,58,207,0,0
SEA 43-2075,KI,86,31,458,46,163,0,0
SEA 43-2074,KI,202,31,564,82,316,0,1
SEA 43-2076,KI,83,19,403,33,137,0,2
SEA 43-2071,KI,164,30,371,64,260,1,1
SEA 36-1748,KI,105,22,261,42,169,0,0
SEA 36-1749,KI,200,61,681,107,370,0,2
KEN 47-1170,KI,96,47,412,36,180,0,1
BEL 48-2430,KI,168,59,486,62,290,0,1
BEL 48-2432,KI,120,41,403,63,225,0,1
BEL 48-2434,KI,139,39,394,80,259,0,1
MCDIVITT,KI,20,7,57,5,32,0,0
SEA 43-1887,KI,228,52,648,83,365,0,2
SEA 43-1889,KI,188,37,483,63,288,0,0
SEA 43-1888,KI,241,47,633,84,373,0,1
SEA 34-1430,KI,109,30,322,51,190,0,0
SHL 32-1030,KI,75,29,301,40,144,0,0
CHURCHILL,KI,143,37,425,82,262,0,0
KEN 33-2864,KI,125,55,463,61,243,1,1
SEA 43-1779,KI,85,30,377,31,147,0,1
NEW 41-1115,KI,194,58,633,87,340,0,1
SEA 36-1324,KI,275,70,779,131,477,0,1
SEA 36-1325,KI,150,34,465,61,246,0,1
CARRIAGE,KI,129,50,399,51,230,0,0
SEA 36-1320,KI,143,34,362,57,234,0,0
SEA 36-1321,KI,163,32,416,61,258,0,2
SEA 36-1322,KI,171,38,479,76,286,0,1
SEA 36-1323,KI,153,36,401,54,243,0,0
COLLEEN,KI,172,43,488,87,304,0,2
SEA 36-1328,KI,232,59,756,98,390,0,1
SEA 36-1329,KI,144,34,410,76,254,0,0
SEA 36-1812,KI,145,33,469,73,251,0,0
SEA 36-1813,KI,85,30,330,58,174,0,1
SEA 36-1816,KI,90,40,303,42,172,0,0
SEA 46-2299,KI,153,27,393,48,229,0,1
SAM 41-0100,KI,197,69,667,95,362,0,1
OVERDALE,KI,8,1,12,0,9,0,0
SEA 43-2238,KI,354,55,813,130,539,0,0
SEA 36-3679,KI,65,23,314,49,137,0,0
SHL 32-0665,KI,120,49,414,49,218,0,0
TUK 11-1165,KI,160,94,752,84,340,0,2
ARIA,KI,145,32,428,62,239,0,0
SET 33-3081,KI,134,66,738,66,269,0,3
RNT 11-2739,KI,78,37,274,24,140,0,1
RED 48-0948,KI,67,26,246,30,124,0,1
RED 48-0949,KI,130,46,433,55,234,0,3
ISS 05-3649,KI,103,35,404,50,188,0,0
RED 48-0940,KI,147,32,399,79,258,0,0
RED 48-0941,KI,121,40,331,44,205,0,0
RED 48-0947,KI,118,35,360,61,215,0,1
KIR 01-2595,KI,122,53,495,62,239,0,2
RED 48-0945,KI,150,33,453,62,245,0,0
KEN 47-0246,KI,132,55,479,70,261,1,3
SEA 37-1591,KI,162,28,360,59,249,0,0
RED MILL,KI,107,55,418,55,217,0,0
SEA 37-1592,KI,245,45,634,70,361,0,1
SEA 36-2535,KI,151,60,566,78,291,0,2
BEL 41-0475,KI,89,24,262,36,149,0,0
SHL 32-0711,KI,116,32,337,60,208,0,0
SEA 37-1593,KI,173,31,470,50,254,0,0
BEL 41-3658,KI,53,20,305,42,115,0,0
BEL 41-0472,KI,179,43,522,79,303,0,2
SAM 45-2450,KI,181,40,548,101,325,0,3
MIDDLE FORK,KI,108,50,383,55,214,0,1
BEL 41-3657,KI,106,35,353,47,189,0,1
SEA 37-1872,KI,239,47,581,67,359,0,6
SEA 37-1871,KI,247,55,629,85,389,0,2
SEA 43-1868,KI,142,24,353,67,233,0,0
SEA 37-1876,KI,300,46,766,97,444,0,1
SEA 37-1875,KI,187,48,525,51,288,0,2
SAM 45-2693,KI,242,70,796,99,414,0,3
SEA 43-1862,KI,151,39,476,42,234,0,2
SEA 37-1879,KI,263,67,839,92,424,1,1
SEA 43-1860,KI,247,39,745,82,368,0,0
SEA 43-1867,KI,198,34,546,66,299,0,1
STAR LAKE,KI,95,44,325,43,182,0,0
RNT 11-3604,KI,119,58,591,57,234,0,0
KIR 45-0623,KI,119,35,378,74,229,0,1
KIR 45-0622,KI,128,33,390,53,214,0,0
KIR 45-0620,KI,186,58,552,96,340,0,0
KIR 45-0627,KI,201,56,628,116,376,0,3
RNT 11-3609,KI,68,44,461,61,173,0,0
