Row Label,County,Adam Smith,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Doug Basler
KEN 47-2568,KI,216,866,18,403,1,0,168
RNT 11-3563,KI,151,625,35,277,0,0,91
TUK 11-3614,KI,22,56,2,28,0,0,4
DES 33-2416,KI,151,484,3,242,0,0,88
KEN 33-2570,KI,165,582,11,265,0,1,88
NEW 41-0840,KI,173,684,30,337,0,0,134
BEL 41-0505,KI,112,279,22,197,0,0,63
BEL 48-0162,KI,77,252,13,139,0,0,49
BEL 48-0163,KI,117,365,17,198,0,0,64
BEL 48-0164,KI,109,299,9,163,0,1,44
BEL 48-0165,KI,143,384,16,250,0,0,91
BEL 48-0166,KI,109,380,17,212,0,0,86
BEL 48-0167,KI,102,271,6,158,0,0,50
KEN 11-3331,KI,107,456,8,166,0,2,49
BEL 48-0169,KI,124,361,4,195,0,0,67
RNT 11-0738,KI,90,444,14,141,0,0,37
BEL 41-0131,KI,108,417,20,178,0,0,50
FED 30-3052,KI,141,494,6,243,0,0,96
FED 30-3053,KI,126,472,11,218,0,1,80
FED 30-3050,KI,58,222,8,98,0,0,32
FED 30-3051,KI,94,400,8,152,0,0,50
FED 30-3056,KI,117,323,5,166,0,0,44
FED 30-3054,KI,109,386,21,168,0,0,38
FED 30-3055,KI,169,575,13,280,0,0,98
VALENCIA,KI,145,501,13,258,0,0,100
KEN 33-3553,KI,125,557,13,194,0,1,55
KEN 33-0590,KI,226,755,15,372,0,2,129
KEN 33-0591,KI,94,274,8,140,0,2,36
KEN 33-0592,KI,51,208,3,81,0,1,26
KEN 33-0593,KI,78,231,7,140,0,2,53
KEN 33-0594,KI,104,366,18,189,0,1,66
KEN 33-0595,KI,96,488,7,139,0,0,36
KEN 33-0596,KI,171,550,12,289,0,0,106
KEN 33-0597,KI,136,688,11,239,0,1,91
DES 33-0668,KI,81,273,11,123,0,0,31
KEN 33-0453,KI,247,815,21,364,0,0,96
BEL 41-2429,KI,292,836,25,449,0,1,131
M-I 41-0779,KI,217,497,17,331,0,0,97
BEL 41-2812,KI,102,350,12,180,0,0,66
TUK 11-3127,KI,70,280,2,109,0,0,37
BEL 41-0220,KI,146,420,15,262,0,0,101
BEL 41-0180,KI,109,325,11,173,0,1,52
KEN 47-1102,KI,196,759,17,382,0,0,169
KEN 47-3189,KI,119,732,8,206,0,1,78
NEW 41-3241,KI,227,699,28,373,0,1,117
WESTWOOD,KI,0,0,0,0,0,0,0
RNT 11-1109,KI,113,484,20,180,0,1,46
M-I 41-0770,KI,113,277,6,173,0,0,54
RNT 11-0354,KI,139,491,9,227,0,0,79
DES 33-0016,KI,100,281,10,180,0,0,70
M-I 41-0771,KI,88,258,13,149,0,0,48
EASTWOOD,KI,161,487,23,281,0,0,97
SEA 37-1608,KI,263,559,14,293,0,0,16
SEA 37-1609,KI,214,414,12,242,0,1,15
SET 33-3618,KI,68,325,4,125,0,1,52
RNT 11-3555,KI,107,477,12,219,0,1,99
SEA 11-1624,KI,155,577,16,208,0,1,36
SEA 37-1607,KI,199,524,6,227,0,0,22
M-I 41-0796,KI,176,561,20,268,0,2,70
M-I 41-0797,KI,139,373,18,199,0,0,42
M-I 41-0794,KI,169,399,18,257,0,1,69
M-I 41-0795,KI,215,508,21,319,0,2,81
M-I 41-0792,KI,109,297,16,186,0,0,61
M-I 41-0793,KI,210,596,33,366,0,0,123
KEN 47-3136,KI,63,293,3,119,0,0,53
M-I 41-0791,KI,108,259,8,156,0,0,40
M-I 41-0777,KI,175,492,21,291,0,0,95
KELSEY,KI,164,439,11,209,0,0,34
BEL 48-2715,KI,186,471,22,298,0,0,90
BEL 48-2716,KI,149,593,17,230,0,0,64
M-I 41-0778,KI,134,320,17,215,0,0,64
FED 30-3080,KI,107,499,9,172,0,0,56
FED 30-3085,KI,169,416,13,257,0,0,75
FED 30-3087,KI,154,508,13,259,0,0,92
FED 30-3086,KI,161,526,13,279,0,0,105
BEL 48-3143,KI,128,377,13,202,0,0,61
FED 30-3088,KI,159,538,16,263,0,0,88
DES 33-0532,KI,86,271,13,148,0,1,48
M-I 41-0773,KI,95,315,15,180,0,2,68
M-I 41-0774,KI,197,453,11,288,0,0,80
M-I 41-0775,KI,204,491,23,313,0,0,86
M-I 41-0776,KI,141,331,13,213,0,2,57
BEL 48-3144,KI,165,481,20,274,0,1,88
BEL 41-3140,KI,99,286,12,172,0,0,61
NEW 41-0248,KI,108,380,8,180,0,0,64
RNT 33-1204,KI,287,851,23,461,0,2,149
FED 30-3574,KI,56,353,8,117,0,0,53
SEA 11-3580,KI,147,401,11,175,0,0,17
RNT 33-3535,KI,180,697,24,282,0,1,77
SEA 37-3639,KI,176,303,9,191,0,0,6
RNT 11-0970,KI,73,246,7,108,0,0,28
SEA 37-3636,KI,246,786,18,296,0,1,31
SEA 37-2686,KI,229,604,23,291,0,2,37
BEL 48-0125,KI,131,405,5,201,0,0,65
BEL 41-0460,KI,203,506,13,289,0,0,73
BEL 48-0127,KI,111,393,10,161,0,0,40
FED 30-3395,KI,94,272,1,143,0,1,47
FED 30-3018,KI,103,327,5,155,0,0,47
FED 30-3019,KI,122,427,8,231,0,0,101
SEA 37-1907,KI,392,657,25,432,0,0,15
FED 30-3017,KI,241,715,29,458,0,0,188
FED 30-3014,KI,156,461,8,277,0,0,113
FED 30-3015,KI,123,398,7,241,0,1,110
FED 30-3012,KI,128,301,10,194,0,0,56
FED 30-3013,KI,76,266,5,124,0,0,43
FED 30-3010,KI,115,335,5,197,0,0,77
FED 30-3011,KI,83,343,6,138,0,0,49
RNT 11-3575,KI,180,600,20,318,0,0,118
SEA 37-1588,KI,148,244,4,159,0,0,7
SEA 37-1864,KI,214,622,15,273,0,1,43
RNT 37-0965,KI,241,708,24,346,0,0,81
KEN 33-3174,KI,191,652,19,315,0,0,105
M-I 41-3655,KI,174,457,20,258,0,1,63
KEN 33-3378,KI,217,725,18,333,0,1,97
BEL 41-3680,KI,137,413,27,239,0,1,74
RNT 11-3619,KI,137,472,14,225,0,0,74
BEL 41-3684,KI,77,240,11,122,0,1,33
BEL 48-0694,KI,180,556,18,279,0,0,81
SEA 37-1582,KI,240,715,20,291,0,0,31
BEL 48-0198,KI,231,846,20,375,0,0,124
RNT 37-3154,KI,216,770,14,311,0,1,80
BEL 48-0191,KI,95,300,12,146,0,0,39
BEL 48-0190,KI,111,443,20,192,0,0,61
BEL 48-0193,KI,132,407,9,205,0,0,64
BEL 48-0192,KI,123,364,16,207,0,0,68
RNT 11-3683,KI,59,320,10,128,0,0,59
BEL 48-0194,KI,108,287,5,159,0,0,46
BEL 48-0196,KI,94,302,8,174,0,0,72
RNT 11-0804,KI,223,842,19,342,0,0,100
FED 30-3305,KI,65,402,6,102,0,1,30
BEL 41-0815,KI,98,405,11,155,0,2,44
NEW 41-3261,KI,157,503,7,267,0,0,103
KEN 33-2443,KI,54,303,4,82,0,0,24
DES 33-2626,KI,179,331,3,272,0,0,90
DES 33-2627,KI,137,347,13,229,0,1,78
SEA 37-1646,KI,120,457,9,151,1,0,21
DES 33-2625,KI,145,434,10,231,0,0,76
KEN 33-2699,KI,115,401,16,198,0,0,67
DES 33-2623,KI,145,333,14,225,0,0,66
SEA 37-1643,KI,180,682,17,228,0,0,31
SET 33-3068,KI,141,464,11,228,0,0,76
RNT 37-3650,KI,132,474,18,204,0,1,53
RNT 11-0031,KI,192,660,22,298,0,1,83
DES 33-2394,KI,198,407,8,271,0,0,65
DES 33-2395,KI,114,263,9,162,0,0,39
BEL 41-0102,KI,164,464,13,268,0,1,90
RNT 11-0404,KI,163,598,16,281,0,0,102
TUK 11-3128,KI,191,717,15,288,0,1,81
NEW 41-3681,KI,113,386,16,202,0,0,73
SET 33-3060,KI,85,373,7,134,0,1,41
RNT 41-1017,KI,104,370,9,183,0,0,70
RNT 41-1010,KI,123,416,9,219,0,0,87
RNT 41-1018,KI,282,868,30,464,0,1,151
FRANKLIN,KI,34,160,2,63,0,0,27
KEN 47-3676,KI,28,127,2,64,0,0,34
FED 30-3077,KI,122,339,7,202,0,0,73
M-I 41-2445,KI,183,496,25,292,0,0,84
RNT 11-3404,KI,125,556,24,232,0,0,83
SEA 37-3673,KI,245,563,12,277,0,5,15
SEA 37-3672,KI,194,426,13,225,0,0,18
SEA 37-3573,KI,89,564,9,111,0,0,13
RNT 11-2854,KI,142,583,16,225,0,2,65
SEA 37-1558,KI,212,702,21,273,0,0,40
SEA 37-1559,KI,97,338,2,108,0,1,8
SEA 37-1555,KI,162,410,8,190,0,4,16
LANGSTON,KI,193,587,14,254,0,1,46
SEA 37-1557,KI,103,343,3,124,0,2,16
M-I 41-2691,KI,134,516,18,202,0,2,48
BEL 48-0126,KI,132,354,12,198,0,1,53
SEA 37-1553,KI,160,388,16,206,2,1,27
SEA 37-1899,KI,181,338,8,195,0,1,5
FED 30-3110,KI,112,351,9,194,0,1,72
BEL 41-2428,KI,215,739,23,351,0,0,113
DES 33-0272,KI,134,414,16,239,0,0,89
JUTLAND,KI,34,85,3,40,0,0,3
SEA 37-1825,KI,249,704,12,296,0,2,33
SEA 37-1827,KI,219,558,15,270,0,1,35
RNT 11-0539,KI,110,475,12,178,0,0,56
SEA 43-1835,KI,318,688,21,417,0,3,75
BEL 41-2554,KI,213,645,37,343,0,0,93
SEA 37-2799,KI,177,445,9,206,0,4,16
BEL 41-2556,KI,180,656,16,378,0,1,181
LYNN,KI,138,433,23,214,0,0,53
M-I 41-0786,KI,104,255,17,166,0,0,45
BEL 41-0518,KI,124,266,3,172,0,0,45
SEA 37-1621,KI,131,342,7,151,0,0,13
KEN 47-0229,KI,156,695,6,296,0,1,133
TUK 11-3233,KI,131,457,5,178,0,1,41
M-I 41-0788,KI,155,372,26,234,0,0,53
BEL 41-0101,KI,183,502,19,272,0,0,70
BEL 48-0154,KI,90,258,3,157,0,1,63
BEL 41-0103,KI,176,535,20,310,0,0,114
BEL 48-0156,KI,217,659,27,354,0,0,110
BEL 48-0151,KI,151,409,24,232,0,1,56
BEL 48-0153,KI,103,314,3,160,0,0,54
BEL 41-0106,KI,128,457,17,229,0,0,84
BEL 41-0109,KI,98,325,6,139,0,0,35
BEL 41-0108,KI,138,440,14,230,0,0,78
BEL 48-0159,KI,172,533,14,273,0,1,86
FED 30-3027,KI,181,654,15,288,0,0,92
FED 30-3026,KI,127,399,10,195,0,0,58
FED 30-3025,KI,151,506,11,307,0,0,145
FED 30-3024,KI,124,349,10,222,0,0,88
FED 30-3023,KI,147,412,8,258,0,0,103
FED 30-3022,KI,81,216,4,132,0,0,47
FED 30-3021,KI,159,566,5,249,0,1,84
FED 30-3020,KI,133,436,14,223,0,1,75
SEA 37-1891,KI,172,304,12,193,0,1,8
SEA 37-1890,KI,367,581,24,412,0,0,21
SEA 37-1893,KI,263,445,11,287,0,2,11
SEA 37-1892,KI,334,594,13,360,0,0,13
SEA 37-1895,KI,331,604,11,356,0,1,13
SEA 37-1894,KI,234,433,13,259,0,0,12
FED 30-3029,KI,72,309,8,117,0,1,36
FED 30-3028,KI,149,510,6,250,0,0,95
