Row Label,County,Ann Schindler,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KEN 33-2443,KI,60,303,22,82,0,0
SEA 36-1294,KI,198,735,250,449,0,1
SEA 36-1295,KI,96,337,118,219,0,5
SEA 36-1296,KI,110,303,83,194,0,1
SEA 36-1297,KI,88,298,94,183,0,1
SHL 32-0474,KI,101,383,87,191,0,3
SEA 36-1292,KI,121,356,96,220,0,3
SEA 37-1646,KI,86,457,64,151,1,0
SEA 37-1647,KI,202,669,146,349,0,1
SEA 36-1768,KI,96,331,105,201,0,0
ELIZABETH,KI,153,601,119,273,0,1
DUV 45-3218,KI,257,840,197,454,0,0
SEA 37-1643,KI,142,682,85,228,0,1
SEA 36-1764,KI,103,264,82,185,0,0
SEA 36-1765,KI,87,274,90,178,0,1
SEA 36-1766,KI,101,401,114,216,0,1
SEA 36-1767,KI,115,551,125,242,0,2
SEA 36-1760,KI,97,300,97,195,0,1
CARPENTER,KI,111,434,131,242,0,0
SEA 36-1762,KI,100,306,105,207,0,2
SEA 36-1763,KI,96,312,98,196,0,2
SEA 34-3175,KI,112,357,120,235,0,3
SEAVIEW,KI,123,393,96,221,0,2
SHL 32-0514,KI,160,534,152,312,0,0
KIR 45-2423,KI,282,726,170,453,0,1
DOUGLAS,KI,174,568,160,337,0,3
KIR 45-2421,KI,148,515,122,274,0,4
MILLIKIN,KI,231,650,185,422,0,6
COV 47-0566,KI,183,724,119,308,0,6
SHL 32-0519,KI,113,422,68,182,0,1
SEA 36-2129,KI,182,691,141,326,0,3
SEA 36-2126,KI,211,722,205,419,1,2
SEA 36-2125,KI,204,620,149,357,0,4
SEA 36-2121,KI,110,443,103,216,0,3
SEA 36-2120,KI,137,413,136,273,0,0
AUB 31-0042,KI,142,509,97,240,0,1
AUB 31-0047,KI,174,574,87,264,0,3
SHL 32-0401,KI,159,419,123,282,0,0
AUB 31-0048,KI,47,210,30,78,0,1
HANSEN,KI,174,505,133,308,0,1
STEVENS,KI,56,197,60,124,0,8
SEA 37-1616,KI,94,351,112,207,0,1
KIR 45-2962,KI,132,453,74,208,0,2
SHL 32-0609,KI,118,370,65,184,0,1
VINCENT,KI,103,411,107,210,0,0
KIR 45-2730,KI,179,686,116,298,0,3
M-I 41-2691,KI,124,516,76,202,0,2
SEA 43-2987,KI,54,673,43,97,0,0
SHL 32-0605,KI,140,422,114,255,0,1
DES 33-0272,KI,143,414,95,239,0,1
LFP 46-2763,KI,109,276,75,186,0,2
SEA 37-1608,KI,144,559,145,293,0,4
HOLIDAY LAKE,KI,109,299,84,193,0,0
RED 45-0936,KI,162,476,107,275,0,6
OSCEOLA,KI,187,557,145,336,0,4
NEUWAUKUM,KI,101,356,95,199,0,3
KEN 47-0229,KI,188,695,106,296,0,2
RNT 11-0983,KI,132,525,80,215,0,3
BEL 41-0101,KI,161,502,111,272,0,0
BEL 41-0103,KI,168,535,141,310,0,1
BEL 41-0102,KI,148,464,120,268,0,0
BEL 41-0106,KI,113,457,113,229,0,3
BEL 41-0109,KI,91,325,48,139,0,0
M-V 05-2857,KI,199,703,192,394,0,3
CORWIN,KI,254,817,240,498,0,4
BUR 34-0489,KI,165,445,160,327,0,2
SEA 37-1899,KI,99,338,95,195,0,1
RNT 11-3404,KI,128,556,103,232,0,1
BUR 34-0311,KI,184,464,83,268,0,1
SEA 37-1891,KI,99,304,93,193,0,1
SEA 37-1890,KI,213,581,196,412,0,3
SEA 37-1893,KI,171,445,114,287,0,2
SEA 37-1892,KI,198,594,160,360,0,2
SEA 37-1895,KI,164,604,185,356,0,7
SEA 37-1894,KI,118,433,138,259,0,3
SEA 37-1897,KI,194,881,118,320,0,8
SEA 37-1896,KI,129,410,128,258,0,1
B-D 05-0239,KI,162,560,121,284,0,1
AUB 47-3585,KI,103,374,49,152,0,0
BUR 34-0465,KI,73,228,59,132,0,0
KMR 46-0340,KI,170,443,135,306,0,1
SAM 45-3293,KI,204,661,176,382,0,2
SAM 45-3298,KI,177,523,115,297,0,5
SEA 36-1815,KI,177,453,96,273,0,0
KIR 01-3678,KI,110,349,82,193,0,1
BUR 33-0701,KI,193,722,96,291,0,2
SHL 32-0861,KI,221,696,104,331,0,6
BEL 41-0211,KI,115,373,110,229,0,4
BEL 41-0210,KI,97,367,88,186,0,1
TIMBER,KI,201,664,153,358,0,4
BEL 41-0219,KI,151,623,111,264,0,2
SEA 43-1351,KI,151,561,163,315,0,1
SEA 43-1350,KI,63,265,70,133,0,0
KEN 47-3190,KI,144,693,93,241,0,4
SEA 43-1352,KI,170,608,150,322,0,2
SEA 43-1355,KI,140,401,102,244,0,2
SEA 43-1354,KI,129,435,110,240,0,1
SEA 43-1357,KI,114,355,77,192,0,1
SEA 43-1359,KI,166,518,123,291,0,2
SEA 43-1358,KI,108,418,113,224,0,3
RED 48-3208,KI,100,415,55,156,0,1
ISS 05-3527,KI,159,587,87,249,0,3
B-D 05-2413,KI,141,466,139,284,0,4
SEA 46-1952,KI,86,281,93,179,0,0
SEA 46-1953,KI,104,236,70,175,0,1
SEA 46-1954,KI,102,282,101,203,0,0
SEA 46-1955,KI,162,558,125,289,0,2
SEA 46-1957,KI,192,553,161,354,0,1
SEA 46-1959,KI,257,703,232,491,0,2
RED 48-3664,KI,130,594,110,243,0,3
KEN 47-3537,KI,143,557,104,249,0,2
DIANE,KI,0,0,0,0,0,0
BERNICE,KI,179,601,60,240,0,1
KEN 47-3447,KI,67,248,39,107,0,1
KEN 47-2667,KI,122,528,52,176,0,2
RNT 11-1008,KI,148,662,110,264,0,6
RNT 11-1007,KI,66,315,82,149,0,1
RNT 11-1006,KI,104,453,89,194,0,1
RNT 11-1004,KI,78,317,62,141,0,1
RNT 11-1002,KI,79,332,62,142,0,1
FED 30-3096,KI,146,550,103,249,0,0
FED 30-3097,KI,255,720,172,429,0,2
FED 30-3094,KI,170,595,100,277,0,7
FED 30-3095,KI,113,501,59,173,0,1
FED 30-3092,KI,151,631,60,213,0,2
FED 30-3093,KI,141,612,78,221,0,2
FED 30-3090,KI,114,356,83,198,0,1
FED 30-3091,KI,250,552,138,388,0,0
SEA 46-2326,KI,133,574,138,271,0,0
SEA 46-2327,KI,107,381,82,190,0,1
SEA 46-2324,KI,124,432,111,237,0,2
SEA 46-2325,KI,158,405,82,242,0,2
SEA 46-2322,KI,143,532,136,281,0,2
SEA 46-2323,KI,148,554,159,310,0,3
FED 30-3098,KI,145,528,104,252,0,3
LFP 46-0517,KI,124,445,145,273,0,4
CHERRY VALLEY,KI,138,514,162,304,0,4
ISABELLA,KI,242,660,165,409,0,2
KIR 01-3422,KI,155,546,111,266,0,0
SEA 34-1461,KI,144,399,120,268,0,4
SEA 34-1460,KI,96,324,111,209,0,2
SEA 34-1463,KI,92,259,85,178,0,1
SEA 34-1462,KI,89,339,110,199,0,0
SEA 34-1465,KI,153,372,98,251,0,0
SEA 34-1464,KI,119,359,125,245,0,1
SEA 34-1467,KI,174,551,164,339,0,1
SEA 34-1466,KI,97,303,80,179,0,2
RED 48-2629,KI,168,648,123,295,0,4
RED 48-2628,KI,121,472,90,211,0,0
BUR 34-1192,KI,211,591,184,397,0,2
SEA 34-1489,KI,182,744,155,338,0,1
SEA 34-1488,KI,163,692,120,284,0,1
SEA 34-1482,KI,102,321,77,180,0,1
SEA 34-1481,KI,130,479,94,227,0,3
SEA 34-1480,KI,191,594,148,339,0,0
SEA 34-1487,KI,114,335,88,205,0,3
SEA 34-1486,KI,103,364,95,201,0,3
SEA 34-1485,KI,188,708,117,307,0,2
SEA 34-1484,KI,106,345,72,180,0,2
RNT 05-3698,KI,19,52,8,27,0,0
BUR 34-0913,KI,156,599,65,225,0,4
MAPLE HILLS,KI,226,719,162,391,0,3
SEA 46-2319,KI,159,506,164,323,0,0
SPRINKLE,KI,36,107,30,66,0,0
RNT 37-0969,KI,0,0,0,0,0,0
KMR 46-1095,KI,247,785,170,421,0,4
SEA 43-1265,KI,65,256,80,148,0,3
RNT 37-0967,KI,152,503,82,236,0,2
KEN 33-2618,KI,202,795,100,306,0,4
KEN 47-2485,KI,186,616,97,288,0,5
SEA 43-1264,KI,124,361,123,248,0,1
RNT 11-0719,KI,82,243,51,134,0,1
SEA 43-1267,KI,125,386,138,264,0,1
SHL 32-0319,KI,80,284,61,141,0,0
SEA 34-1534,KI,116,362,122,238,0,0
TOTEM,KI,14,70,17,31,0,0
FED 30-3078,KI,140,402,76,218,0,2
FED 30-3079,KI,171,508,87,260,0,2
ISS 41-2733,KI,252,843,204,462,0,6
DES 33-0911,KI,145,515,77,224,0,2
KIR 45-3109,KI,147,469,83,230,0,0
KIR 45-3450,KI,62,251,63,125,0,0
FED 30-3077,KI,123,339,78,202,0,1
AUB 47-0671,KI,196,785,127,329,0,6
SET 33-3059,KI,134,683,67,205,0,4
KEN 33-3670,KI,82,288,38,120,0,0
KINGLET,KI,131,532,96,227,0,0
SAM 45-3454,KI,71,233,45,116,0,0
DES 33-0682,KI,156,444,83,241,0,2
SEA 36-1751,KI,107,368,104,212,0,1
SEA 36-1750,KI,138,493,157,296,0,1
PIPELINE,KI,48,153,31,82,0,3
SEA 36-1752,KI,113,437,131,244,0,0
SEA 36-1755,KI,80,272,77,158,0,1
SEA 36-1754,KI,115,387,137,252,0,0
BOT 01-3661,KI,146,528,97,245,0,2
SEA 36-1756,KI,203,682,189,393,0,1
DES 33-2820,KI,107,393,57,164,0,0
SEA 36-1758,KI,129,351,116,246,0,1
SEA 43-2043,KI,92,292,100,193,0,1
SEA 43-2044,KI,94,350,90,186,0,2
SEA 43-2045,KI,97,315,92,189,0,0
SEA 43-2047,KI,198,662,202,403,0,3
MORGAN,KI,177,631,127,305,0,1
M-I 41-0787,KI,86,333,95,182,0,1
SNQ 05-3409,KI,234,787,162,399,0,3
MERRIHILL,KI,200,687,119,324,0,5
SHL 32-1021,KI,181,550,123,309,0,5
SHL 32-1020,KI,106,341,72,178,0,0
KMR 46-2462,KI,86,258,76,164,0,2
SEA 36-2149,KI,126,367,133,261,0,2
SEA 36-2134,KI,146,490,118,266,0,2
BROOKTRAILS,KI,177,564,167,347,0,3
SEA 36-2130,KI,125,388,116,243,0,2
SEA 36-2131,KI,231,851,221,453,0,1
SEA 36-2133,KI,181,698,165,348,0,2
RED 48-0942,KI,147,402,110,258,0,1
COUGAR MTN,KI,4,8,1,8,0,3
SEA 46-1312,KI,93,326,88,181,0,0
SEA 46-1313,KI,77,280,90,168,0,1
DES 33-0864,KI,108,317,95,204,0,1
SEA 46-1311,KI,107,427,90,198,0,1
SEA 46-1314,KI,95,330,115,210,0,0
KEN 47-0439,KI,180,585,128,309,0,1
SEA 36-1808,KI,100,275,55,156,0,1
SAM 41-2813,KI,168,567,169,337,0,0
M-V 05-3461,KI,194,779,152,352,0,6
SEA 36-1805,KI,111,473,127,239,0,1
SEA 36-1806,KI,153,598,127,281,0,1
SEA 36-1801,KI,204,896,186,391,0,1
SEA 36-1803,KI,81,298,97,178,0,0
RED 45-3584,KI,143,449,116,259,0,0
RED 48-0944,KI,119,375,94,217,0,4
SEA 36-3669,KI,76,349,79,157,0,2
ENM 31-3248,KI,254,732,185,442,0,3
ENM 31-3247,KI,187,682,135,323,0,1
ENM 31-3246,KI,67,264,58,127,0,2
KIR 45-2722,KI,176,626,118,296,0,2
YPT 48-1234,KI,126,411,124,250,0,0
YPT 48-1233,KI,141,401,84,226,0,1
ALDER SPRINGS,KI,180,550,167,349,0,2
SEA 36-2592,KI,86,352,117,205,0,2
EARLINGTON,KI,91,357,55,150,0,4
SEA 36-2590,KI,114,364,97,213,0,2
KEN 05-3375,KI,0,0,0,0,0,0
KIR 01-2767,KI,195,573,163,359,0,1
KIR 01-2762,KI,175,618,131,308,0,2
KIR 01-2768,KI,213,624,169,383,0,1
SHL 32-0897,KI,138,446,89,233,0,6
KEN 33-0603,KI,200,649,142,347,0,5
RED 48-0951,KI,122,379,101,223,0,0
RED 48-0950,KI,125,444,89,214,0,0
RED 48-0953,KI,240,758,176,418,0,2
RED 48-0952,KI,97,311,63,160,0,0
KELLY,KI,111,375,78,189,0,0
DUV 45-3219,KI,159,548,135,298,0,4
KEN 47-0238,KI,213,723,131,349,0,5
BEL 41-0116,KI,52,290,59,111,0,0
BEL 41-0117,KI,74,263,66,140,0,0
BEL 41-0114,KI,131,459,161,292,0,0
BEL 41-0112,KI,198,712,158,358,0,2
BEL 41-0113,KI,75,255,82,158,0,1
BEL 41-0110,KI,159,571,97,257,0,1
BEL 41-0111,KI,183,544,146,330,0,1
BEL 41-3312,KI,267,796,221,489,0,1
SEA 43-1784,KI,162,500,143,308,0,3
BEL 41-0119,KI,104,295,93,197,0,0
WELCOME LAKE,KI,356,735,221,578,0,1
SEA 34-1545,KI,124,422,100,224,0,0
SEA 36-3267,KI,139,548,77,219,0,3
SEA 37-1886,KI,164,523,128,293,0,1
CANDLEWOOD,KI,68,412,51,120,0,1
SEA 37-1885,KI,117,398,103,223,0,3
SEA 37-1882,KI,110,395,78,193,0,5
SEA 37-1883,KI,99,423,102,204,0,3
SEA 37-1880,KI,145,514,127,276,0,4
SEA 37-1881,KI,92,396,96,188,0,0
AUB 47-3591,KI,131,445,74,206,0,1
SEA 43-1780,KI,120,350,85,208,0,3
SEA 43-1781,KI,101,326,62,164,0,1
ELSIE,KI,248,726,142,393,0,3
SELLECK,KI,223,784,194,420,0,3
BEL 41-0203,KI,238,688,171,410,0,1
M-V 05-3482,KI,258,870,182,441,0,1
SEA 46-2370,KI,91,428,46,137,0,0
BUR 33-0289,KI,114,412,69,188,0,5
BEL 41-0205,KI,105,288,66,171,0,0
DIPPER,KI,190,675,153,346,0,3
BOT 01-3271,KI,127,431,101,229,0,1
SHL 32-0819,KI,127,411,83,211,0,1
SEA 36-1299,KI,108,425,147,260,0,5
SEA 43-1347,KI,214,726,218,435,0,3
SEA 43-1344,KI,137,452,155,292,0,0
NEW 41-3261,KI,170,503,93,267,0,4
SEA 43-1342,KI,129,366,107,237,0,1
BUR 34-1219,KI,177,530,166,345,0,2
SEA 43-1341,KI,194,499,157,351,0,0
WOD 45-2769,KI,233,748,209,444,0,2
SALAL,KI,114,359,111,225,0,0
SEA 43-1349,KI,95,359,134,231,0,2
SHL 32-0470,KI,143,413,114,258,0,1
B-D 05-2407,KI,246,838,201,447,0,0
SEA 46-1965,KI,109,292,81,190,0,0
BEL 48-1049,KI,128,344,86,215,0,1
SEA 46-1967,KI,174,497,143,320,0,3
SEA 46-1966,KI,70,234,72,144,0,2
SEA 46-1961,KI,91,272,90,182,0,1
SEA 46-1963,KI,68,278,84,152,0,0
SEA 36-2116,KI,102,299,100,202,0,0
PRESTON,KI,210,661,167,383,0,6
SEA 46-1969,KI,83,278,85,169,0,1
SEA 11-1641,KI,114,539,69,183,0,0
SEA 36-3319,KI,190,867,174,365,0,1
SEA 36-3318,KI,217,680,208,428,0,3
BUR 34-0295,KI,135,479,132,269,0,2
LYNX,KI,149,531,122,276,0,5
SHL 32-0921,KI,94,260,80,176,0,2
BUR 34-0298,KI,203,668,115,322,0,4
SEA 36-3317,KI,189,595,194,383,0,0
SEA 43-2853,KI,108,440,98,206,0,0
SEA 43-2852,KI,120,501,105,226,0,1
RANCH,KI,136,444,97,233,0,0
SEA 43-2113,KI,84,393,54,140,0,2
RNT 11-1015,KI,109,443,83,194,0,2
RNT 11-1011,KI,233,881,155,391,0,3
KEN 47-3275,KI,186,854,102,288,0,0
COTTAGE LAKE,KI,126,452,97,228,0,5
KIR 45-3668,KI,132,428,72,206,0,2
SEA 43-2058,KI,74,247,76,150,0,0
SHANGRI-LA,KI,129,394,101,233,0,3
SEA 37-1640,KI,176,738,117,293,0,0
RIVERSIDE,KI,109,396,110,220,0,1
SEA 43-1861,KI,206,750,223,432,0,3
LISABEULA,KI,141,467,164,309,0,4
SHL 32-0407,KI,217,661,167,386,0,2
LEAH,KI,172,661,143,319,0,4
HI-VALLEY,KI,308,829,230,542,0,4
RED 48-2636,KI,167,451,88,256,0,1
SEA 34-1477,KI,98,307,102,200,0,0
RED 48-2634,KI,129,389,102,231,0,0
RED 48-2635,KI,124,387,100,224,0,0
RED 48-2632,KI,70,225,60,130,0,0
RED 48-2633,KI,224,626,149,375,0,2
RED 48-2630,KI,141,394,114,257,0,2
SEA 34-1471,KI,163,492,140,305,0,2
SEA 34-1478,KI,82,253,80,163,0,1
SEA 34-1479,KI,112,313,87,200,0,1
SEA 43-2050,KI,133,442,86,222,0,3
HAAS,KI,89,303,107,199,0,3
SEA 36-1761,KI,96,309,95,193,0,2
SEA 34-1498,KI,178,668,150,330,0,2
SEA 34-1499,KI,140,483,146,289,0,3
SEA 43-2055,KI,51,322,62,113,0,0
SEA 34-1490,KI,134,437,99,235,0,2
SEA 34-1493,KI,195,722,124,320,0,1
SEA 34-1494,KI,148,536,114,265,0,3
SEA 34-1496,KI,200,826,185,389,0,4
RED 48-3548,KI,96,292,47,145,0,2
SEA 46-2267,KI,136,518,104,241,0,1
SEA 46-2266,KI,146,494,140,288,0,2
SEA 46-2264,KI,257,768,227,487,0,3
GRANDVIEW,KI,4,16,3,8,0,1
SEA 46-2261,KI,88,256,87,175,0,0
SEA 46-2260,KI,265,722,243,511,0,3
SILVER SPURS,KI,7,18,3,10,0,0
SNO PASS,KI,72,208,59,131,0,0
SEA 46-2269,KI,102,305,95,197,0,0
SEA 46-2268,KI,104,330,101,205,0,0
KEN 47-2477,KI,221,535,139,361,0,1
RNT 37-0991,KI,148,619,98,250,0,4
RNT 37-0999,KI,214,760,127,343,0,2
KEN 47-2708,KI,125,485,100,226,0,1
KEN 47-2709,KI,250,839,155,407,0,2
ISS 41-2692,KI,107,382,106,215,0,2
KEN 47-2704,KI,281,773,147,430,0,2
SAM 41-3214,KI,119,435,120,241,0,2
SAM 41-3215,KI,206,814,141,348,0,1
BLACK RIVER,KI,54,320,20,77,0,3
KEN 47-2490,KI,218,673,110,331,0,3
SEA 46-2313,KI,158,538,87,248,0,3
DES 30-0954,KI,256,745,157,415,0,2
DUTHIE HILL,KI,113,356,94,208,0,1
SEA 46-2311,KI,145,451,110,256,0,1
MARIAN,KI,222,776,99,323,0,2
BEL 41-2782,KI,50,183,30,81,0,1
FED 30-3289,KI,228,819,137,368,0,3
SEA 46-2310,KI,152,386,124,277,0,1
RNT 37-1000,KI,81,532,61,142,0,0
FED 30-3049,KI,134,430,34,168,0,0
FED 30-3048,KI,123,634,63,187,0,1
FED 30-3045,KI,164,637,89,253,0,0
FED 30-3044,KI,238,657,85,326,0,3
FED 30-3047,KI,157,492,75,236,0,4
FED 30-3046,KI,117,397,71,188,0,0
FED 30-3041,KI,96,326,61,158,0,1
FED 30-3040,KI,97,432,45,146,0,4
FED 30-3043,KI,162,631,96,261,0,3
FED 30-3042,KI,103,251,62,166,0,1
KEN 47-0753,KI,157,622,87,249,0,5
SAM 41-3508,KI,202,685,134,337,0,1
KEN 33-3644,KI,144,486,68,213,0,1
BEL 48-3292,KI,142,401,101,244,0,1
SHL 32-0494,KI,139,468,111,252,0,2
SHL 32-0499,KI,177,462,110,288,0,1
SEA 46-2318,KI,97,277,89,188,0,2
SAM 41-3506,KI,135,455,97,234,0,2
SAM 41-3507,KI,201,708,111,314,0,2
SEA 36-1746,KI,118,313,84,203,0,1
SEA 36-1747,KI,102,296,93,195,0,0
SEA 36-1744,KI,109,393,117,228,0,2
SEA 36-1742,KI,103,296,82,185,0,0
SEA 36-1743,KI,104,391,101,206,0,1
SEA 36-1740,KI,95,323,110,208,0,3
SEA 36-1741,KI,98,325,109,207,0,0
SEA 43-2075,KI,79,458,84,163,0,0
SEA 43-2074,KI,150,564,164,316,0,2
SEA 43-2076,KI,80,403,55,137,0,2
SEA 43-2071,KI,145,371,115,260,0,0
SEA 36-1748,KI,83,261,85,169,0,1
SEA 36-1749,KI,191,681,176,370,0,3
KEN 47-1170,KI,107,412,72,180,0,1
BEL 48-2430,KI,178,486,109,290,0,3
BEL 48-2432,KI,126,403,98,225,0,1
BEL 48-2434,KI,118,394,141,259,0,0
MCDIVITT,KI,21,57,11,32,0,0
SEA 43-1887,KI,201,648,161,365,0,3
SEA 43-1889,KI,150,483,136,288,0,2
SEA 43-1888,KI,201,633,171,373,0,1
SEA 34-1430,KI,104,322,86,190,0,0
SHL 32-1030,KI,87,301,56,144,0,1
CHURCHILL,KI,126,425,136,262,0,0
KEN 33-2864,KI,153,463,88,243,0,2
SEA 43-1779,KI,86,377,61,147,0,0
NEW 41-1115,KI,201,633,136,340,0,3
SEA 36-1324,KI,230,779,246,477,0,1
SEA 36-1325,KI,125,465,119,246,0,2
CARRIAGE,KI,130,399,97,230,0,3
SEA 36-1320,KI,121,362,113,234,0,0
SEA 36-1321,KI,133,416,122,258,0,3
SEA 36-1322,KI,126,479,158,286,0,2
SEA 36-1323,KI,116,401,127,243,0,0
COLLEEN,KI,164,488,135,304,0,5
SEA 36-1328,KI,195,756,194,390,0,1
SEA 36-1329,KI,110,410,142,254,0,2
SEA 36-1812,KI,131,469,120,251,0,0
SEA 36-1813,KI,81,330,92,174,0,1
SEA 36-1816,KI,95,303,77,172,0,0
SEA 46-2299,KI,127,393,99,229,0,3
SAM 41-0100,KI,225,667,135,362,0,2
OVERDALE,KI,8,12,1,9,0,0
SEA 43-2238,KI,263,813,275,539,0,1
SEA 36-3679,KI,72,314,65,137,0,0
SHL 32-0665,KI,131,414,86,218,0,1
TUK 11-1165,KI,196,752,143,340,0,1
ARIA,KI,133,428,106,239,0,0
SET 33-3081,KI,165,738,103,269,0,1
RNT 11-2739,KI,82,274,55,140,0,3
RED 48-0948,KI,78,246,44,124,0,2
RED 48-0949,KI,135,433,97,234,0,2
ISS 05-3649,KI,110,404,78,188,0,0
RED 48-0940,KI,147,399,110,258,0,1
RED 48-0941,KI,103,331,102,205,0,0
RED 48-0947,KI,117,360,96,215,0,2
KIR 01-2595,KI,149,495,87,239,0,3
RED 48-0945,KI,148,453,97,245,0,0
KEN 47-0246,KI,158,479,103,261,0,0
SEA 37-1591,KI,128,360,121,249,0,0
RED MILL,KI,134,418,81,217,0,2
SEA 37-1592,KI,189,634,167,361,0,5
SEA 36-2535,KI,152,566,136,291,0,3
BEL 41-0475,KI,88,262,61,149,0,0
SHL 32-0711,KI,111,337,97,208,0,0
SEA 37-1593,KI,142,470,112,254,0,0
BEL 41-3658,KI,65,305,49,115,0,1
BEL 41-0472,KI,155,522,146,303,0,2
SAM 45-2450,KI,182,548,142,325,0,1
MIDDLE FORK,KI,121,383,91,214,0,2
BEL 41-3657,KI,113,353,76,189,0,0
SEA 37-1872,KI,191,581,160,359,0,8
SEA 37-1871,KI,192,629,193,389,0,4
SEA 43-1868,KI,117,353,116,233,0,0
SEA 37-1876,KI,206,766,236,444,0,2
SEA 37-1875,KI,170,525,113,288,0,5
SAM 45-2693,KI,250,796,160,414,0,4
SEA 43-1862,KI,131,476,100,234,0,3
SEA 37-1879,KI,225,839,195,424,1,3
SEA 43-1860,KI,190,745,174,368,0,4
SEA 43-1867,KI,156,546,141,299,0,2
STAR LAKE,KI,106,325,75,182,0,1
RNT 11-3604,KI,138,591,96,234,0,0
KIR 45-0623,KI,132,378,96,229,0,1
KIR 45-0622,KI,122,390,92,214,0,0
KIR 45-0620,KI,195,552,144,340,0,1
KIR 45-0627,KI,199,628,175,376,0,2
RNT 11-3609,KI,97,461,75,173,0,1
KIR 45-0624,KI,276,793,222,501,0,3
DUV 45-3642,KI,132,443,114,249,0,3
DES 33-1128,KI,95,289,77,174,0,2
EAGLE,KI,0,3,0,0,0,0
BUR 33-0729,KI,199,864,118,320,2,1
MEADOWBROOK,KI,85,300,84,173,0,4
SWEENEY,KI,170,575,169,341,0,2
SHL 32-0088,KI,77,258,44,121,0,0
KIR 01-2759,KI,218,695,140,359,0,1
RUDDELL,KI,124,397,87,214,0,3
SHL 32-0802,KI,125,452,68,194,0,1
BEL 41-3278,KI,87,290,84,172,0,1
SEA 43-1406,KI,144,398,119,264,0,1
WOD 45-2597,KI,203,647,142,350,0,5
FOX,KI,136,434,110,247,0,1
KIR 48-2925,KI,147,498,131,284,0,6
LAKE ALICE,KI,148,519,143,295,0,4
M-V 05-2614,KI,252,831,166,422,0,4
SEA 46-1971,KI,113,325,87,200,0,0
RNT 11-3287,KI,178,705,159,338,0,1
SEA 46-1977,KI,119,321,97,217,0,1
SEA 46-1974,KI,141,415,127,269,0,1
AUB 31-0049,KI,132,450,58,195,0,5
SEA 34-1245,KI,137,466,104,244,0,3
SEA 34-1247,KI,126,461,72,202,0,4
SEA 34-1246,KI,113,355,90,203,0,0
SEA 34-1249,KI,141,551,95,241,0,5
SEA 34-1248,KI,123,407,85,209,0,1
NPK 33-2645,KI,139,335,80,219,0,0
NPK 33-2644,KI,118,287,84,204,0,2
NPK 33-2646,KI,186,587,154,341,0,1
SEA 32-2203,KI,212,758,205,422,0,5
BUR 34-0281,KI,0,0,0,0,0,0
BEL 41-0658,KI,123,403,97,220,0,0
BEL 41-0305,KI,129,484,88,218,0,1
SEA 36-1693,KI,104,308,84,189,0,1
SEA 43-3628,KI,178,536,110,290,0,2
RED 48-3313,KI,247,667,135,384,0,2
RED 48-3316,KI,96,344,56,154,0,2
BUR 34-1082,KI,112,307,103,215,0,0
CORNELL,KI,184,557,131,316,0,1
RED 48-2790,KI,184,592,137,323,0,2
BUR 34-0848,KI,145,421,112,261,0,4
KIR 45-3612,KI,83,211,31,116,0,2
SEA 46-2375,KI,109,312,100,210,0,1
FED 30-3036,KI,95,342,52,148,0,1
AUB 31-3335,KI,217,732,133,351,0,1
KEN 47-3184,KI,243,776,136,384,0,5
SEA 37-3567,KI,74,408,55,130,0,1
BRIAR,KI,165,521,114,283,0,4
COV 47-2711,KI,156,536,99,255,0,0
NEW 41-3528,KI,105,420,77,182,0,0
BUR 34-1150,KI,131,365,118,249,0,0
TUK 11-3127,KI,69,280,37,109,0,3
SEA 46-2274,KI,79,256,88,167,0,0
SEA 46-2275,KI,36,127,35,71,0,0
SEA 46-2276,KI,116,382,133,250,0,1
SEA 46-2277,KI,174,568,193,368,0,1
SEA 46-2270,KI,106,290,95,202,0,1
SEA 46-2271,KI,155,476,161,319,0,3
SEA 46-2272,KI,116,367,129,247,0,2
M-V 05-3272,KI,259,878,171,436,0,6
HOLM LAKE,KI,233,710,182,415,0,0
COV 47-2390,KI,135,505,67,204,0,2
SEA 37-3696,KI,8,49,10,18,0,0
SEA 37-3693,KI,0,0,0,0,0,0
CADDIS,KI,117,366,89,211,0,5
SHL 32-0396,KI,259,767,133,401,0,9
SEA 37-1557,KI,75,343,46,124,0,3
SEA 43-2541,KI,64,268,51,115,0,0
KEN 11-3331,KI,103,456,62,166,0,1
SHL 32-0606,KI,113,364,65,183,0,5
RNT 11-0738,KI,80,444,60,141,0,1
ENM 05-3414,KI,0,0,0,0,0,0
STILLWATER,KI,169,523,119,292,0,4
FED 30-3052,KI,164,494,79,243,0,0
FED 30-3053,KI,135,472,82,218,0,1
FED 30-3050,KI,53,222,45,98,0,0
FED 30-3051,KI,97,400,53,152,0,2
FED 30-3056,KI,99,323,67,166,0,0
FED 30-3054,KI,109,386,59,168,0,0
FED 30-3055,KI,184,575,95,280,0,1
SHL 32-0486,KI,90,298,93,185,0,2
DES 33-0668,KI,64,273,59,123,0,0
SEA 43-2061,KI,96,476,109,207,0,2
SEA 43-2064,KI,67,370,80,148,0,1
SEA 43-2065,KI,93,547,83,179,0,3
SEA 43-2068,KI,90,425,99,191,0,2
SEA 36-2164,KI,108,310,107,215,0,0
BEAR CREEK,KI,135,452,137,275,0,3
KMR 46-0473,KI,155,438,93,253,0,5
SEA 37-1825,KI,175,704,118,296,0,3
SEA 36-1382,KI,113,374,120,233,0,0
