Row Label,County,Proposition 1A,Proposition 1B,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted
SEA 37-1875,KI,78,171,525,37,288,2
SEA 43-1863,KI,54,171,475,26,255,4
SEA 43-1862,KI,57,155,476,21,234,1
SEA 37-1879,KI,117,255,839,51,424,1
SEA 43-1860,KI,62,277,745,27,368,2
SEA 43-1867,KI,69,194,546,34,299,2
SEA 43-3262,KI,40,114,306,20,177,3
SEA 37-1840,KI,88,150,616,42,281,1
SEA 43-1994,KI,37,140,295,17,197,3
SEA 43-2039,KI,42,138,328,19,199,0
SEA 43-2038,KI,78,235,560,34,355,8
SEA 37-1640,KI,115,118,738,56,293,4
SEA 43-2033,KI,56,184,438,34,276,2
SEA 43-2035,KI,89,178,668,32,301,2
SEA 43-2034,KI,47,178,424,28,253,0
SEA 43-2037,KI,59,196,551,18,274,1
SEA 36-1325,KI,53,165,465,28,246,0
SEA 46-2153,KI,81,105,492,44,231,1
SEA 46-2152,KI,62,96,378,34,192,0
SEA 46-2379,KI,91,174,542,66,332,1
SEA 43-2549,KI,82,211,718,46,339,0
SEA 37-1590,KI,58,143,294,26,228,1
SEA 37-1591,KI,51,154,360,41,249,3
SEA 37-1592,KI,103,223,634,34,361,1
SEA 37-1593,KI,83,145,470,24,254,2
SEA 37-1594,KI,106,195,761,42,343,0
SEA 37-1596,KI,76,143,497,40,260,1
SEA 43-2542,KI,33,102,275,11,146,0
SEA 36-2116,KI,47,120,299,35,202,0
SEA 43-1406,KI,66,149,398,47,264,2
SEA 36-2117,KI,57,140,336,23,223,3
SEA 46-2270,KI,48,127,290,26,202,1
SEA 46-1978,KI,68,204,501,54,328,2
SEA 36-1288,KI,69,171,391,24,265,1
SEA 36-1287,KI,132,272,733,76,481,1
SEA 36-1286,KI,60,167,439,26,254,1
SEA 46-1970,KI,43,95,250,23,161,0
SEA 46-1971,KI,37,113,325,49,200,1
SEA 46-1977,KI,33,135,321,49,217,0
SEA 46-1974,KI,58,168,415,40,269,3
SEA 36-1676,KI,47,76,261,43,167,1
SEA 36-1677,KI,53,118,336,48,219,0
SEA 36-1675,KI,45,116,309,47,209,1
SEA 34-1245,KI,74,141,466,29,244,0
SEA 36-1673,KI,163,261,806,106,530,0
SEA 34-1247,KI,71,98,461,31,202,2
SEA 34-1246,KI,63,87,355,53,203,0
SEA 34-1249,KI,86,127,551,28,241,0
SEA 34-1248,KI,74,103,407,30,209,2
SEA 36-1775,KI,89,191,711,47,327,0
SEA 36-1774,KI,76,207,494,63,347,1
SEA 36-1773,KI,84,169,644,32,285,0
SEA 36-1772,KI,66,150,534,64,284,4
SEA 36-1771,KI,69,129,487,50,248,0
SEA 36-1679,KI,70,151,413,51,272,0
SEA 46-1959,KI,120,264,703,106,491,1
SEA 43-3628,KI,99,163,536,28,290,0
SEA 34-1410,KI,44,85,240,27,156,0
SEA 36-1699,KI,41,95,295,23,160,1
SEA 34-1412,KI,45,72,261,45,166,4
SEA 34-1413,KI,89,175,533,53,319,2
SEA 34-1414,KI,42,78,239,45,165,0
SEA 34-1415,KI,58,145,406,44,247,0
SEA 34-1416,KI,61,124,394,49,235,1
SEA 36-1690,KI,41,85,342,49,178,3
SEA 36-1691,KI,51,77,274,28,156,0
SEA 36-1692,KI,88,123,363,45,256,0
SEA 36-1693,KI,44,105,308,40,189,0
SEA 36-1695,KI,92,167,475,60,320,1
SEA 36-1696,KI,79,150,433,57,286,0
SEA 36-1697,KI,51,102,312,31,186,2
SEA 36-1317,KI,80,216,631,72,370,2
SEA 37-1607,KI,76,125,524,25,227,1
SEA 36-2523,KI,65,183,496,81,333,4
SEA 36-2522,KI,77,111,356,40,230,2
SEA 46-3688,KI,2,11,24,2,15,0
SEA 36-2520,KI,90,158,573,50,298,0
SEA 36-2527,KI,38,102,294,54,195,1
SEA 36-2526,KI,67,169,444,64,301,1
SEA 36-1721,KI,62,140,529,44,246,0
SEA 36-2529,KI,73,176,456,65,314,0
SEA 36-2528,KI,79,239,576,82,400,0
SEA 46-1980,KI,61,151,381,45,257,0
SEA 43-3571,KI,47,97,464,12,156,0
SEA 43-1267,KI,55,177,386,29,264,3
SEA 43-1783,KI,62,154,455,26,243,1
SEA 36-1727,KI,49,135,382,54,239,1
SEA 37-3567,KI,58,56,408,16,130,0
SEA 46-2359,KI,46,126,341,30,203,1
SEA 46-2302,KI,65,161,408,36,265,3
SEA 36-1672,KI,45,91,252,26,164,2
SEA 37-1652,KI,57,64,287,35,157,1
SEA 36-3605,KI,90,141,535,18,249,0
SEA 37-1937,KI,37,135,293,39,212,1
SEA 11-3491,KI,0,0,0,0,0,0
SEA 36-3317,KI,91,230,595,61,383,1
SEA 37-1932,KI,62,116,416,39,218,1
SEA 36-1670,KI,83,184,492,63,331,1
SEA 37-1839,KI,136,222,754,36,399,5
SEA 37-1838,KI,121,241,764,38,405,5
SEA 32-2224,KI,96,138,535,54,289,1
SEA 46-2377,KI,74,258,574,58,391,1
SEA 37-1650,KI,45,93,260,36,175,1
SEA 37-1833,KI,111,192,653,32,336,1
SEA 46-2370,KI,51,67,428,16,137,3
SEA 37-1831,KI,54,137,353,30,221,0
SEA 37-1914,KI,83,238,523,43,364,0
SEA 37-3696,KI,6,9,49,2,18,1
SEA 37-3693,KI,0,0,0,0,0,0
SEA 11-1597,KI,155,194,909,56,410,5
SEA 43-1819,KI,44,202,457,57,303,0
SEA 43-1982,KI,54,179,501,32,266,1
SEA 43-1983,KI,70,197,497,43,313,3
SEA 46-2351,KI,48,113,314,38,200,1
SEA 43-1986,KI,23,122,278,18,163,0
SEA 46-2350,KI,69,104,407,44,217,0
SEA 46-2357,KI,70,181,472,54,309,4
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,4,8,38,5,17,0
SEA 46-2240,KI,58,189,431,38,290,5
SEA 36-1770,KI,21,114,234,24,159,0
SEA 43-2055,KI,29,73,322,11,113,0
SEA 46-2231,KI,98,205,619,60,366,3
SEA 46-2143,KI,47,83,285,31,163,2
SEA 46-1401,KI,98,174,686,37,311,2
SEA 46-2244,KI,33,117,268,39,191,2
SEA 36-2749,KI,52,65,336,12,130,1
SEA 37-1940,KI,80,158,536,29,268,1
SEA 46-2341,KI,108,186,569,55,349,0
SEA 37-1944,KI,100,184,754,38,326,4
SEA 36-2743,KI,79,190,501,59,332,4
SEA 46-2303,KI,61,171,422,50,284,2
SEA 46-2378,KI,51,124,322,35,212,2
SEA 43-3595,KI,69,201,535,49,322,3
SEA 46-2363,KI,58,111,380,44,213,0
SEA 46-2360,KI,67,107,469,28,202,0
SEA 46-2313,KI,79,129,538,39,248,1
SEA 46-2373,KI,103,181,683,44,331,3
SEA 46-2366,KI,71,111,451,57,241,2
SEA 43-2105,KI,78,235,628,43,361,5
SEA 43-3570,KI,134,256,1056,38,429,1
SEA 43-2061,KI,41,139,476,26,207,1
SEA 46-2056,KI,54,135,330,37,228,2
SEA 43-1350,KI,27,86,265,18,133,2
SEA 43-2065,KI,50,105,547,23,179,1
SEA 43-2068,KI,46,128,425,14,191,3
SEA 43-2069,KI,100,252,652,45,399,2
SEA 43-1826,KI,99,224,567,27,354,4
SEA 36-3345,KI,59,152,517,48,260,1
SEA 46-2057,KI,58,208,443,42,310,2
SEA 36-3341,KI,83,195,654,43,325,4
SEA 37-1825,KI,115,131,704,49,296,1
SEA 46-2364,KI,40,109,355,35,185,1
SEA 34-1515,KI,65,141,391,39,247,2
SEA 34-1514,KI,87,162,521,26,277,2
SEA 34-1517,KI,45,81,260,17,145,2
SEA 34-1516,KI,66,116,399,42,227,3
SEA 32-3656,KI,94,135,474,59,288,0
SEA 34-1510,KI,54,129,392,42,228,3
SEA 34-1513,KI,116,143,663,50,312,3
SEA 34-1512,KI,47,78,269,22,149,2
SEA 43-1364,KI,70,214,535,35,321,2
SEA 43-1365,KI,69,166,459,27,262,0
SEA 43-1366,KI,36,124,287,23,186,3
SEA 43-1367,KI,50,173,375,21,253,9
SEA 34-1519,KI,59,99,327,34,192,0
SEA 34-1518,KI,32,86,260,35,156,3
SEA 43-1362,KI,70,234,660,45,351,2
SEA 43-1363,KI,94,245,725,44,386,3
SEA 36-1698,KI,34,99,278,34,167,0
SEA 36-1319,KI,66,178,469,40,285,1
SEA 36-1318,KI,150,314,999,66,537,7
SEA 11-1624,KI,88,87,577,33,208,0
SEA 36-2119,KI,54,103,277,19,176,0
SEA 36-1720,KI,64,190,622,33,287,0
SEA 34-1418,KI,56,103,299,36,196,1
SEA 36-1722,KI,72,148,536,36,256,0
SEA 36-1723,KI,47,166,431,38,252,1
SEA 36-1724,KI,44,121,315,42,207,0
SEA 36-1725,KI,52,112,372,25,189,0
SEA 36-1726,KI,43,136,387,35,214,0
SEA 34-1419,KI,118,229,694,71,418,0
SEA 36-1729,KI,30,102,231,15,147,0
SEA 37-1646,KI,67,65,457,19,151,0
SEA 46-2266,KI,58,153,494,76,288,1
SEA 43-2004,KI,47,131,356,27,206,1
SEA 43-2987,KI,27,48,673,21,97,1
SEA 46-2339,KI,49,92,330,29,171,1
SEA 46-2338,KI,72,156,543,32,260,0
SEA 46-2330,KI,60,130,420,41,232,1
SEA 46-2333,KI,74,106,371,38,221,3
SEA 46-2332,KI,42,73,248,48,165,2
SEA 46-2335,KI,77,155,609,33,268,3
SEA 46-2334,KI,106,190,573,43,343,4
SEA 46-2337,KI,63,88,347,32,185,2
SEA 46-2336,KI,93,193,707,64,350,0
SEA 43-2109,KI,57,131,478,24,212,0
SEA 43-3230,KI,82,189,626,37,309,1
SEA 43-2016,KI,37,136,333,22,197,2
SEA 36-2163,KI,55,84,289,35,176,2
SEA 36-2162,KI,71,136,373,50,259,2
SEA 36-2161,KI,73,182,460,48,304,1
SEA 34-1458,KI,69,141,376,34,246,2
SEA 34-1459,KI,62,88,272,25,175,0
SEA 36-2165,KI,43,104,240,23,170,0
SEA 36-2164,KI,48,146,310,20,215,1
SEA 34-1454,KI,57,89,306,32,180,2
SEA 11-3580,KI,67,80,401,24,175,4
SEA 34-1456,KI,74,138,428,36,248,0
SEA 34-1457,KI,105,225,687,54,385,1
SEA 34-1450,KI,48,102,301,35,188,3
SEA 34-1451,KI,46,100,330,31,178,1
SEA 34-1452,KI,44,90,275,36,170,0
SEA 34-1453,KI,51,89,264,34,174,0
SEA 37-3639,KI,63,107,303,21,191,0
SEA 43-1277,KI,66,170,541,45,282,1
SEA 43-2008,KI,21,123,257,23,169,2
SEA 37-3636,KI,112,147,786,37,296,0
SEA 43-1275,KI,42,130,275,28,200,0
SEA 46-2263,KI,82,257,599,55,396,2
SEA 43-1272,KI,67,182,437,35,285,1
SEA 36-3496,KI,74,206,671,46,328,2
SEA 36-2171,KI,92,180,491,53,329,4
SEA 46-2348,KI,39,91,274,30,161,1
SEA 43-1379,KI,31,121,263,32,187,3
SEA 37-1907,KI,93,282,657,54,432,3
SEA 37-1906,KI,73,161,427,44,280,2
SEA 43-1271,KI,68,163,473,28,260,1
SEA 37-1903,KI,50,150,312,17,218,1
SEA 37-1902,KI,80,118,339,26,224,0
SEA 37-1901,KI,43,101,260,17,163,2
SEA 37-1900,KI,67,111,355,13,192,1
SEA 37-1864,KI,97,137,622,38,273,1
SEA 43-1376,KI,69,211,541,30,312,2
SEA 43-1870,KI,40,211,466,22,273,0
SEA 36-2167,KI,47,126,327,37,211,1
SEA 43-1874,KI,84,230,608,29,343,0
SEA 46-1400,KI,66,126,425,26,221,3
SEA 36-2166,KI,62,134,336,34,231,1
SEA 32-2537,KI,78,107,396,27,213,1
SEA 46-2322,KI,72,160,532,46,281,3
SEA 43-1373,KI,56,158,335,26,243,3
SEA 32-2539,KI,157,219,788,68,447,3
SEA 43-1371,KI,41,98,288,25,166,2
SEA 43-2028,KI,43,203,423,31,280,3
SEA 34-1455,KI,126,225,956,77,428,0
SEA 43-2026,KI,53,163,356,23,239,0
SEA 43-2027,KI,34,139,292,28,202,1
SEA 43-2024,KI,38,140,336,19,201,4
SEA 43-1370,KI,60,147,332,24,237,6
SEA 43-2023,KI,59,139,388,22,224,4
SEA 43-2020,KI,37,170,374,42,249,0
SEA 43-2021,KI,84,359,797,62,506,1
SEA 36-2168,KI,102,183,520,47,334,2
SEA 36-2524,KI,39,89,216,22,152,2
SEA 46-1967,KI,88,189,497,42,320,1
SEA 46-2275,KI,21,40,127,10,71,0
SEA 43-2550,KI,37,106,342,14,157,0
SEA 43-2541,KI,27,77,268,11,115,0
SEA 37-1585,KI,48,154,358,27,233,4
SEA 37-1584,KI,68,118,332,23,210,1
SEA 43-1889,KI,58,203,483,26,288,1
SEA 43-1345,KI,44,172,424,57,274,1
SEA 36-1298,KI,59,156,337,30,246,1
SEA 34-3682,KI,62,99,386,29,192,2
SEA 43-1888,KI,77,264,633,29,373,3
SEA 36-1294,KI,121,276,735,51,449,1
SEA 36-1295,KI,49,143,337,25,219,2
SEA 36-1296,KI,45,133,303,16,194,0
SEA 36-1297,KI,33,124,298,25,183,1
SEA 36-1292,KI,46,146,356,27,220,1
SEA 34-1257,KI,91,126,510,84,304,3
SEA 34-1254,KI,56,61,346,33,150,0
SEA 34-1255,KI,70,97,414,33,202,2
SEA 34-1252,KI,118,136,660,41,295,0
SEA 36-1769,KI,29,97,234,25,151,0
SEA 34-1250,KI,73,92,335,33,199,1
SEA 34-1251,KI,119,143,538,50,312,0
SEA 36-1764,KI,39,124,264,22,185,0
SEA 36-1765,KI,33,123,274,22,178,0
SEA 36-1766,KI,50,128,401,35,216,3
SEA 36-1767,KI,66,125,551,50,242,1
SEA 36-1760,KI,44,114,300,37,195,0
SEA 36-1761,KI,55,102,309,36,193,0
SEA 36-1762,KI,48,118,306,40,207,1
SEA 36-1763,KI,42,120,312,30,196,4
SEA 46-2500,KI,61,124,360,24,209,0
SEA 34-3175,KI,56,124,357,54,235,1
SEA 34-1425,KI,43,120,292,22,185,0
SEA 34-1424,KI,46,121,436,43,210,0
SEA 34-1427,KI,41,74,269,47,163,1
SEA 34-1426,KI,44,86,294,55,186,1
SEA 34-1420,KI,111,203,668,69,385,2
SEA 34-1423,KI,48,131,338,25,205,1
SEA 34-1422,KI,58,121,354,36,216,1
SEA 46-1965,KI,49,111,292,29,190,1
SEA 34-1429,KI,41,90,252,25,158,2
SEA 34-1428,KI,51,82,252,29,163,1
SEA 43-2239,KI,76,254,566,56,389,3
SEA 43-2238,KI,125,352,813,56,539,6
SEA 43-2237,KI,65,235,568,50,352,2
SEA 34-2501,KI,68,128,381,47,244,1
SEA 43-1349,KI,56,135,359,36,231,4
SEA 36-2532,KI,72,141,416,59,273,1
SEA 36-2533,KI,73,140,431,54,267,0
SEA 36-2534,KI,78,175,547,61,315,1
SEA 36-2535,KI,90,161,566,37,291,3
SEA 36-2129,KI,98,184,691,42,326,2
SEA 36-2126,KI,129,243,722,47,419,0
SEA 36-2125,KI,110,183,620,60,357,4
SEA 36-2121,KI,60,133,443,23,216,0
SEA 36-2120,KI,60,164,413,49,273,0
SEA 36-2146,KI,46,116,338,34,199,3
SEA 46-1966,KI,35,88,234,20,144,1
SEA 46-2375,KI,48,128,312,34,210,0
SEA 43-2115,KI,43,68,527,22,134,1
SEA 37-3673,KI,101,151,563,23,277,2
SEA 37-3672,KI,74,127,426,24,225,0
SEA 37-3573,KI,32,70,564,9,111,0
SEA 36-2511,KI,70,168,430,69,311,4
SEA 46-2249,KI,38,87,250,43,170,2
SEA 43-1779,KI,45,90,377,10,147,2
SEA 37-1558,KI,111,95,702,67,273,0
SEA 37-1559,KI,60,39,338,9,108,0
SEA 37-1555,KI,66,97,410,27,190,0
SEA 46-2243,KI,71,225,514,62,359,1
SEA 37-1557,KI,37,63,343,24,124,0
SEA 46-2245,KI,72,205,409,43,322,2
SEA 43-1776,KI,89,227,673,58,375,1
SEA 46-2247,KI,84,263,630,72,421,2
SEA 37-1553,KI,67,99,388,37,206,3
SEA 32-2211,KI,106,152,606,52,311,1
SEA 32-2210,KI,102,165,610,105,374,2
SEA 43-1380,KI,36,122,301,23,183,2
SEA 46-2361,KI,63,103,359,39,206,1
SEA 32-2215,KI,139,298,805,95,535,3
SEA 46-2367,KI,72,118,449,38,229,1
SEA 32-2217,KI,144,184,754,89,421,4
SEA 32-2216,KI,66,102,338,35,203,0
SEA 37-1824,KI,71,151,394,23,246,1
SEA 32-2218,KI,97,180,666,54,332,1
SEA 37-1827,KI,95,135,558,38,270,2
SEA 36-1326,KI,105,261,693,69,436,1
SEA 37-1823,KI,17,18,209,8,44,1
SEA 43-1835,KI,89,276,688,50,417,2
SEA 37-1608,KI,89,173,559,31,293,0
SEA 36-1320,KI,55,149,362,30,234,0
SEA 36-1321,KI,64,162,416,31,258,1
SEA 37-1622,KI,66,106,578,54,226,0
SEA 37-2799,KI,74,103,445,26,206,3
SEA 46-2269,KI,54,117,305,25,197,1
SEA 36-1322,KI,76,173,479,36,286,1
SEA 46-1964,KI,62,154,499,31,247,0
SEA 36-1323,KI,51,169,401,22,243,1
SEA 37-1620,KI,61,57,418,22,140,0
SEA 37-1891,KI,46,115,304,28,193,4
SEA 36-1662,KI,72,158,450,59,291,2
SEA 37-1609,KI,68,147,414,24,242,3
SEA 46-2100,KI,54,159,370,32,246,1
SEA 46-1961,KI,29,120,272,32,182,1
SEA 36-1328,KI,96,240,756,53,390,1
SEA 43-3497,KI,56,138,532,24,218,0
SEA 46-1962,KI,48,117,295,43,208,0
SEA 37-1894,KI,67,162,433,28,259,2
SEA 37-1899,KI,61,120,338,13,195,1
SEA 37-1898,KI,36,106,285,15,158,1
SEA 36-1703,KI,108,174,530,57,340,1
SEA 36-2750,KI,61,98,458,39,198,0
SEA 37-1890,KI,86,267,581,58,412,1
SEA 37-1893,KI,67,197,445,22,287,1
SEA 37-1892,KI,86,245,594,28,360,1
SEA 37-1895,KI,79,226,604,50,356,1
SEA 37-1628,KI,86,95,444,33,215,1
SEA 37-1897,KI,94,191,881,34,320,1
SEA 37-1896,KI,62,175,410,21,258,0
