Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Willie Gregory,Write-in
SEA 36-1801,KI,896,199,391,0,192,0
SEA 36-1803,KI,298,104,178,0,74,0
SEA 36-3586,KI,801,187,407,0,218,2
SEA 36-3587,KI,590,139,273,0,132,2
SEA 37-1563,KI,323,43,111,0,67,1
SEA 37-1565,KI,331,75,172,0,96,1
SEA 37-1564,KI,396,98,227,0,128,1
SEA 36-3669,KI,349,80,157,0,75,2
SEA 37-1566,KI,327,83,176,0,93,0
SEA 37-1568,KI,434,80,179,0,99,0
SEA 43-2083,KI,422,121,215,0,94,0
SEA 46-2252,KI,261,93,172,0,79,0
SEA 46-2253,KI,521,179,322,0,141,2
SEA 46-2251,KI,555,200,352,0,152,0
SEA 32-2206,KI,412,131,266,0,133,2
SEA 46-2316,KI,411,126,239,0,113,0
SEA 32-2204,KI,339,112,230,0,115,3
SEA 46-2314,KI,337,94,217,0,122,1
SEA 32-2202,KI,436,126,250,0,122,2
SEA 32-2203,KI,758,218,422,0,201,3
SEA 32-2200,KI,385,132,263,0,131,0
SEA 32-2201,KI,463,158,315,0,156,1
SEA 46-2619,KI,539,138,279,0,140,1
SEA 43-2545,KI,699,212,375,0,163,0
SEA 32-2208,KI,350,127,224,0,97,0
SEA 32-2209,KI,599,218,402,0,182,2
SEA 36-2592,KI,352,117,205,0,86,2
SEA 36-2593,KI,289,89,174,0,85,0
SEA 34-1438,KI,328,102,209,0,107,0
SEA 34-1439,KI,369,113,220,1,104,2
SEA 34-1432,KI,331,115,218,0,101,2
SEA 34-1433,KI,319,109,208,0,99,0
SEA 34-1430,KI,322,95,190,0,95,0
SEA 34-1431,KI,308,99,203,0,104,0
SEA 34-1436,KI,362,84,156,0,72,0
SEA 34-1437,KI,498,151,254,0,100,3
SEA 34-1434,KI,271,90,183,0,92,1
SEA 34-1435,KI,299,114,178,0,64,0
SEA 36-2509,KI,403,145,260,0,115,0
SEA 36-2508,KI,427,153,293,0,139,1
SEA 46-2352,KI,338,95,181,0,83,3
SEA 46-1955,KI,558,136,289,0,151,2
SEA 11-1600,KI,550,127,257,0,130,0
SEA 46-2228,KI,486,114,234,0,116,4
SEA 46-2221,KI,513,159,298,0,135,4
SEA 43-1280,KI,669,171,337,0,164,2
SEA 43-1784,KI,500,154,308,0,151,3
SEA 36-3267,KI,548,92,219,0,125,2
SEA 37-1886,KI,523,141,293,0,152,0
SEA 37-1884,KI,643,214,385,0,171,0
SEA 37-1885,KI,398,116,223,0,104,3
SEA 37-1882,KI,395,90,193,0,102,1
SEA 37-1883,KI,423,111,204,0,91,2
SEA 37-1880,KI,514,135,276,0,138,3
SEA 37-1881,KI,396,103,188,0,85,0
SEA 43-1780,KI,350,100,208,0,108,0
SEA 43-1781,KI,326,71,164,0,91,2
SEA 46-2292,KI,505,144,288,0,144,0
SEA 36-1386,KI,315,118,213,0,95,0
SEA 36-1387,KI,462,149,289,0,140,0
SEA 36-1384,KI,309,112,228,0,113,3
SEA 36-1385,KI,243,109,175,0,64,2
SEA 36-1382,KI,374,125,233,0,108,0
SEA 36-1388,KI,337,121,220,0,99,0
SEA 36-1389,KI,259,89,163,0,73,1
SEA 43-1274,KI,302,117,216,0,98,1
SEA 43-2006,KI,298,100,169,0,69,0
SEA 43-2007,KI,256,87,164,0,77,0
SEA 43-2000,KI,550,146,294,0,148,0
SEA 43-2001,KI,648,218,433,0,213,2
SEA 43-2002,KI,587,199,391,0,192,0
SEA 46-2293,KI,441,161,292,0,130,1
SEA 46-1957,KI,553,180,354,0,174,0
SEA 37-2861,KI,391,136,243,0,106,1
SEA 43-2009,KI,487,156,329,0,171,2
SEA 37-1635,KI,524,86,199,0,110,3
SEA 37-1589,KI,290,111,217,0,105,1
SEA 37-1588,KI,244,82,159,0,77,0
SEA 46-1314,KI,330,116,210,0,94,0
SEA 37-1634,KI,473,98,191,0,90,3
SEA 37-1583,KI,700,148,382,0,229,5
SEA 37-1582,KI,715,121,291,0,168,2
SEA 37-1580,KI,333,55,160,0,102,3
SEA 37-1587,KI,311,99,195,0,96,0
SEA 37-1586,KI,373,122,251,0,126,3
SEA 36-3566,KI,579,140,307,0,166,1
SEA 36-1299,KI,425,154,260,0,103,3
SEA 43-1347,KI,726,232,435,0,201,2
SEA 43-1344,KI,452,152,292,0,140,0
SEA 37-1636,KI,586,65,217,0,149,3
SEA 43-1342,KI,366,114,237,0,122,1
SEA 43-1343,KI,355,125,215,1,88,1
SEA 43-1341,KI,499,175,351,0,176,0
SEA 46-2290,KI,289,113,195,0,82,0
SEA 46-2272,KI,367,140,247,0,106,1
SEA 43-1348,KI,555,164,317,0,152,1
SEA 37-1630,KI,309,90,169,0,79,0
SEA 46-1284,KI,278,69,140,0,70,1
SEA 46-1285,KI,303,102,182,0,80,0
SEA 43-1975,KI,439,25,63,0,38,0
SEA 37-1633,KI,329,83,163,0,80,0
SEA 46-1282,KI,656,221,399,0,177,1
SEA 43-1976,KI,242,41,94,0,52,1
SEA 37-1632,KI,292,86,173,0,85,2
