Row Label,County,Anne C. Harper,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 43-1863,KI,120,475,133,255,0,2
SEA 43-1862,KI,121,476,111,234,0,2
SEA 37-1879,KI,220,839,201,424,1,2
SEA 43-1860,KI,172,745,195,368,0,1
SEA 43-1867,KI,144,546,153,299,0,2
SEA 43-3262,KI,75,306,102,177,0,0
SEA 37-1840,KI,154,616,127,281,0,0
SEA 43-1994,KI,118,295,79,197,0,0
SEA 43-2039,KI,85,328,114,199,0,0
SEA 43-2038,KI,164,560,190,355,0,1
SEA 37-1640,KI,168,738,124,293,0,1
SEA 43-2033,KI,132,438,144,276,0,0
SEA 43-2035,KI,152,668,146,301,0,3
SEA 43-2034,KI,121,424,130,253,0,2
SEA 43-2037,KI,126,551,146,274,0,2
SEA 36-1325,KI,116,465,128,246,0,2
SEA 46-2153,KI,110,492,114,231,0,7
SEA 46-2152,KI,79,378,111,192,0,2
SEA 46-2379,KI,136,542,190,332,0,6
SEA 43-2549,KI,189,718,147,339,0,3
SEA 37-1590,KI,106,294,121,228,0,1
SEA 37-1591,KI,117,360,131,249,0,1
SEA 37-1592,KI,174,634,182,361,0,5
SEA 37-1593,KI,134,470,120,254,0,0
SEA 37-1594,KI,147,761,193,343,0,3
SEA 37-1596,KI,124,497,134,260,0,2
SEA 43-2542,KI,80,275,66,146,0,0
SEA 36-2116,KI,102,299,100,202,0,0
SEA 43-1406,KI,128,398,135,264,0,1
SEA 36-2117,KI,119,336,103,223,0,1
SEA 46-2270,KI,101,290,100,202,0,1
SEA 46-1978,KI,156,501,172,328,0,0
SEA 36-1288,KI,136,391,129,265,0,0
SEA 36-1287,KI,239,733,240,481,0,2
SEA 36-1286,KI,121,439,131,254,0,2
SEA 46-1970,KI,79,250,82,161,0,0
SEA 46-1971,KI,100,325,100,200,0,0
SEA 46-1977,KI,110,321,106,217,0,1
SEA 46-1974,KI,131,415,138,269,0,0
SEA 36-1676,KI,73,261,94,167,0,0
SEA 36-1677,KI,115,336,103,219,0,1
SEA 36-1675,KI,93,309,116,209,0,0
SEA 34-1245,KI,135,466,107,244,0,2
SEA 36-1673,KI,227,806,302,530,0,1
SEA 34-1247,KI,122,461,77,202,0,3
SEA 34-1246,KI,112,355,91,203,0,0
SEA 34-1249,KI,142,551,97,241,0,2
SEA 34-1248,KI,122,407,87,209,0,0
SEA 36-1775,KI,166,711,161,327,0,0
SEA 36-1774,KI,166,494,181,347,0,0
SEA 36-1773,KI,134,644,149,285,0,2
SEA 36-1772,KI,135,534,148,284,0,1
SEA 36-1771,KI,126,487,121,248,0,1
SEA 36-1679,KI,126,413,146,272,0,0
SEA 46-1959,KI,251,703,239,491,0,1
SEA 43-3628,KI,166,536,121,290,0,3
SEA 34-1410,KI,75,240,81,156,0,0
SEA 36-1699,KI,70,295,88,160,0,2
SEA 34-1412,KI,70,261,96,166,0,0
SEA 34-1413,KI,152,533,164,319,0,3
SEA 34-1414,KI,57,239,105,165,0,3
SEA 34-1415,KI,132,406,112,247,0,3
SEA 34-1416,KI,111,394,122,235,0,2
SEA 36-1690,KI,65,342,107,178,0,6
SEA 36-1691,KI,67,274,89,156,0,0
SEA 36-1692,KI,118,363,137,256,0,1
SEA 36-1693,KI,98,308,91,189,0,0
SEA 36-1695,KI,153,475,166,320,0,1
SEA 36-1696,KI,141,433,145,286,0,0
SEA 36-1697,KI,89,312,96,186,0,1
SEA 36-1317,KI,177,631,190,370,0,3
SEA 37-1607,KI,123,524,101,227,0,3
SEA 36-2523,KI,169,496,162,333,0,2
SEA 36-2522,KI,127,356,102,230,0,1
SEA 46-3688,KI,10,24,5,15,0,0
SEA 36-2520,KI,134,573,163,298,0,1
SEA 36-2527,KI,88,294,106,195,0,1
SEA 36-2526,KI,143,444,156,301,0,2
SEA 36-1721,KI,121,529,125,246,0,0
SEA 36-2529,KI,148,456,166,314,0,0
SEA 36-2528,KI,198,576,199,400,0,3
SEA 46-1980,KI,93,381,164,257,0,0
SEA 43-3571,KI,92,464,63,156,0,1
SEA 43-1267,KI,135,386,128,264,0,1
SEA 43-1783,KI,120,455,122,243,0,1
SEA 36-1727,KI,117,382,121,239,0,1
SEA 37-3567,KI,77,408,51,130,0,2
SEA 46-2359,KI,106,341,97,203,0,0
SEA 46-2302,KI,126,408,139,265,0,0
SEA 36-1672,KI,80,252,84,164,0,0
SEA 37-1652,KI,54,287,102,157,0,1
SEA 36-3605,KI,128,535,118,249,0,3
SEA 37-1937,KI,85,293,127,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 36-3317,KI,174,595,208,383,0,1
SEA 37-1932,KI,92,416,126,218,0,0
SEA 36-1670,KI,161,492,170,331,0,0
SEA 37-1839,KI,178,754,216,399,0,5
SEA 37-1838,KI,200,764,203,405,0,2
SEA 32-2224,KI,162,535,125,289,0,2
SEA 46-2377,KI,193,574,195,391,0,3
SEA 37-1650,KI,74,260,101,175,0,0
SEA 37-1833,KI,163,653,171,336,0,2
SEA 46-2370,KI,86,428,51,137,0,0
SEA 37-1831,KI,109,353,112,221,0,0
SEA 37-1914,KI,172,523,190,364,0,2
SEA 37-3696,KI,8,49,10,18,0,0
SEA 37-3693,KI,0,0,0,0,0,0
SEA 11-1597,KI,224,909,182,410,0,4
SEA 43-1819,KI,143,457,159,303,0,1
SEA 43-1982,KI,127,501,138,266,0,1
SEA 43-1983,KI,164,497,149,313,0,0
SEA 46-2351,KI,99,314,101,200,0,0
SEA 43-1986,KI,78,278,85,163,0,0
SEA 46-2350,KI,121,407,95,217,0,1
SEA 46-2357,KI,144,472,164,309,0,1
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,10,38,7,17,0,0
SEA 46-2240,KI,144,431,146,290,0,0
SEA 36-1770,KI,73,234,86,159,0,0
SEA 43-2055,KI,48,322,65,113,0,0
SEA 46-2231,KI,184,619,179,366,0,3
SEA 46-2143,KI,86,285,75,163,0,2
SEA 46-1401,KI,164,686,144,311,0,3
SEA 46-2244,KI,94,268,95,191,0,2
SEA 36-2749,KI,82,336,48,130,0,0
SEA 37-1940,KI,128,536,139,268,0,1
SEA 46-2341,KI,159,569,190,349,0,0
SEA 37-1944,KI,168,754,156,326,0,2
SEA 36-2743,KI,176,501,156,332,0,0
SEA 46-2303,KI,129,422,154,284,0,1
SEA 46-2378,KI,109,322,103,212,0,0
SEA 43-3595,KI,168,535,152,322,0,2
SEA 46-2363,KI,108,380,104,213,0,1
SEA 46-2360,KI,104,469,96,202,0,2
SEA 46-2313,KI,149,538,95,248,0,4
SEA 46-2373,KI,184,683,145,331,0,2
SEA 46-2366,KI,118,451,118,241,0,5
SEA 43-2105,KI,157,628,203,361,0,1
SEA 43-3570,KI,238,1056,188,429,0,3
SEA 43-2061,KI,90,476,115,207,0,2
SEA 46-2056,KI,108,330,119,228,0,1
SEA 43-1350,KI,64,265,69,133,0,0
SEA 43-2065,KI,93,547,83,179,0,3
SEA 43-2068,KI,93,425,97,191,0,1
SEA 43-2069,KI,186,652,210,399,0,3
SEA 43-1826,KI,169,567,182,354,0,3
SEA 36-3345,KI,140,517,116,260,0,4
SEA 46-2057,KI,148,443,162,310,0,0
SEA 36-3341,KI,143,654,177,325,0,5
SEA 37-1825,KI,174,704,118,296,0,4
SEA 46-2364,KI,98,355,87,185,0,0
SEA 34-1515,KI,138,391,109,247,0,0
SEA 34-1514,KI,150,521,127,277,0,0
SEA 34-1517,KI,76,260,69,145,0,0
SEA 34-1516,KI,112,399,112,227,0,3
SEA 32-3656,KI,146,474,140,288,0,2
SEA 34-1510,KI,109,392,116,228,0,3
SEA 34-1513,KI,165,663,143,312,0,4
SEA 34-1512,KI,69,269,80,149,0,0
SEA 43-1364,KI,141,535,178,321,0,2
SEA 43-1365,KI,115,459,147,262,0,0
SEA 43-1366,KI,85,287,101,186,0,0
SEA 43-1367,KI,112,375,137,253,0,4
SEA 34-1519,KI,84,327,106,192,0,2
SEA 34-1518,KI,77,260,79,156,0,0
SEA 43-1362,KI,157,660,193,351,0,1
SEA 43-1363,KI,187,725,196,386,0,3
SEA 36-1698,KI,88,278,79,167,0,0
SEA 36-1319,KI,148,469,136,285,0,1
SEA 36-1318,KI,278,999,256,537,0,3
SEA 11-1624,KI,106,577,101,208,0,1
SEA 36-2119,KI,79,277,97,176,0,0
SEA 36-1720,KI,139,622,148,287,0,0
SEA 34-1418,KI,86,299,109,196,0,1
SEA 36-1722,KI,133,536,121,256,0,2
SEA 36-1723,KI,107,431,142,252,0,3
SEA 36-1724,KI,96,315,109,207,0,2
SEA 36-1725,KI,97,372,90,189,0,2
SEA 36-1726,KI,107,387,107,214,0,0
SEA 34-1419,KI,213,694,200,418,0,5
SEA 36-1729,KI,70,231,77,147,0,0
SEA 37-1646,KI,82,457,68,151,1,0
SEA 46-2266,KI,132,494,155,288,0,1
SEA 43-2004,KI,98,356,107,206,0,1
SEA 43-2987,KI,49,673,48,97,0,0
SEA 46-2339,KI,81,330,85,171,0,5
SEA 46-2338,KI,146,543,113,260,0,1
SEA 46-2330,KI,124,420,108,232,0,0
SEA 46-2333,KI,101,371,117,221,0,3
SEA 46-2332,KI,73,248,92,165,0,0
SEA 46-2335,KI,159,609,107,268,0,2
SEA 46-2334,KI,180,573,162,343,0,1
SEA 46-2337,KI,109,347,73,185,0,3
SEA 46-2336,KI,178,707,169,350,0,3
SEA 43-2109,KI,105,478,102,212,0,5
SEA 43-3230,KI,152,626,155,309,0,2
SEA 43-2016,KI,103,333,94,197,0,0
SEA 36-2163,KI,74,289,101,176,0,1
SEA 36-2162,KI,116,373,142,259,0,1
SEA 36-2161,KI,139,460,164,304,0,1
SEA 34-1458,KI,121,376,125,246,0,0
SEA 34-1459,KI,86,272,89,175,0,0
SEA 36-2165,KI,64,240,106,170,0,0
SEA 36-2164,KI,104,310,111,215,0,0
SEA 34-1454,KI,84,306,94,180,0,2
SEA 11-3580,KI,95,401,80,175,0,0
SEA 34-1456,KI,128,428,120,248,0,0
SEA 34-1457,KI,204,687,181,385,0,0
SEA 34-1450,KI,99,301,88,188,0,1
SEA 34-1451,KI,97,330,81,178,0,0
SEA 34-1452,KI,82,275,88,170,0,0
SEA 34-1453,KI,95,264,79,174,0,0
SEA 37-3639,KI,91,303,100,191,0,0
SEA 43-1277,KI,138,541,139,282,0,5
SEA 43-2008,KI,80,257,88,169,0,1
SEA 37-3636,KI,171,786,122,296,0,3
SEA 43-1275,KI,99,275,99,200,0,2
SEA 46-2263,KI,177,599,218,396,0,1
SEA 43-1272,KI,137,437,148,285,0,0
SEA 36-3496,KI,175,671,150,328,0,3
SEA 36-2171,KI,149,491,178,329,0,2
SEA 46-2348,KI,67,274,94,161,0,0
SEA 43-1379,KI,78,263,108,187,0,1
SEA 37-1907,KI,220,657,209,432,0,3
SEA 37-1906,KI,117,427,161,280,0,2
SEA 43-1271,KI,132,473,125,260,0,3
SEA 37-1903,KI,98,312,118,218,0,2
SEA 37-1902,KI,93,339,129,224,0,2
SEA 37-1901,KI,84,260,79,163,0,0
SEA 37-1900,KI,99,355,91,192,0,2
SEA 37-1864,KI,181,622,92,273,0,0
SEA 43-1376,KI,157,541,153,312,0,2
SEA 43-1870,KI,142,466,129,273,0,2
SEA 36-2167,KI,92,327,118,211,0,1
SEA 43-1874,KI,180,608,161,343,0,2
SEA 46-1400,KI,103,425,116,221,0,2
SEA 36-2166,KI,102,336,129,231,0,0
SEA 32-2537,KI,108,396,105,213,0,0
SEA 46-2322,KI,131,532,148,281,0,2
SEA 43-1373,KI,111,335,128,243,0,4
SEA 32-2539,KI,231,788,213,447,0,3
SEA 43-1371,KI,84,288,82,166,0,0
SEA 43-2028,KI,141,423,138,280,0,1
SEA 34-1455,KI,232,956,196,428,0,0
SEA 43-2026,KI,114,356,124,239,0,1
SEA 43-2027,KI,80,292,122,202,0,0
SEA 43-2024,KI,95,336,106,201,0,0
SEA 43-1370,KI,105,332,132,237,0,0
SEA 43-2023,KI,100,388,123,224,0,1
SEA 43-2020,KI,109,374,139,249,0,1
SEA 43-2021,KI,260,797,243,506,0,3
SEA 36-2168,KI,156,520,177,334,0,1
SEA 36-2524,KI,65,216,87,152,0,0
SEA 46-1967,KI,158,497,160,320,0,2
SEA 46-2275,KI,34,127,37,71,0,0
SEA 43-2550,KI,82,342,74,157,0,1
SEA 43-2541,KI,61,268,54,115,0,0
SEA 37-1585,KI,103,358,127,233,0,3
SEA 37-1584,KI,103,332,102,210,0,5
SEA 43-1889,KI,145,483,142,288,0,1
SEA 43-1345,KI,139,424,134,274,0,1
SEA 36-1298,KI,109,337,136,246,0,1
SEA 34-3682,KI,89,386,101,192,0,2
SEA 43-1888,KI,197,633,176,373,0,0
SEA 36-1294,KI,189,735,259,449,0,1
SEA 36-1295,KI,103,337,113,219,0,3
SEA 36-1296,KI,106,303,87,194,0,1
SEA 36-1297,KI,86,298,97,183,0,0
SEA 36-1292,KI,114,356,104,220,0,2
SEA 34-1257,KI,142,510,161,304,0,1
SEA 34-1254,KI,83,346,67,150,0,0
SEA 34-1255,KI,139,414,60,202,0,3
SEA 34-1252,KI,158,660,134,295,0,3
SEA 36-1769,KI,76,234,75,151,0,0
SEA 34-1250,KI,102,335,96,199,0,1
SEA 34-1251,KI,193,538,119,312,0,0
SEA 36-1764,KI,105,264,80,185,0,0
SEA 36-1765,KI,80,274,98,178,0,0
SEA 36-1766,KI,100,401,114,216,0,2
SEA 36-1767,KI,117,551,125,242,0,0
SEA 36-1760,KI,94,300,100,195,0,1
SEA 36-1761,KI,82,309,109,193,0,2
SEA 36-1762,KI,91,306,114,207,0,2
SEA 36-1763,KI,101,312,95,196,0,0
SEA 46-2500,KI,104,360,100,209,0,5
SEA 34-3175,KI,100,357,134,235,0,1
SEA 34-1425,KI,105,292,80,185,0,0
SEA 34-1424,KI,102,436,107,210,0,1
SEA 34-1427,KI,70,269,91,163,0,2
SEA 34-1426,KI,77,294,108,186,0,1
SEA 34-1420,KI,178,668,207,385,0,0
SEA 34-1423,KI,112,338,90,205,0,3
SEA 34-1422,KI,96,354,119,216,0,1
SEA 46-1965,KI,112,292,78,190,0,0
SEA 34-1429,KI,81,252,76,158,0,1
SEA 34-1428,KI,80,252,80,163,0,3
SEA 43-2239,KI,181,566,207,389,0,1
SEA 43-2238,KI,243,813,295,539,0,1
SEA 43-2237,KI,168,568,181,352,0,3
SEA 34-2501,KI,118,381,124,244,0,2
SEA 43-1349,KI,93,359,136,231,0,2
SEA 36-2532,KI,136,416,133,273,0,4
SEA 36-2533,KI,123,431,141,267,0,3
SEA 36-2534,KI,155,547,157,315,0,3
SEA 36-2535,KI,150,566,140,291,0,1
SEA 36-2129,KI,183,691,142,326,0,1
SEA 36-2126,KI,206,722,210,419,0,3
SEA 36-2125,KI,183,620,172,357,0,2
SEA 36-2121,KI,112,443,101,216,0,3
SEA 36-2120,KI,139,413,133,273,0,1
SEA 36-2146,KI,84,338,114,199,0,1
SEA 46-1966,KI,67,234,75,144,0,2
SEA 46-2375,KI,96,312,114,210,0,0
SEA 43-2115,KI,70,527,63,134,0,1
SEA 37-3673,KI,147,563,125,277,0,5
SEA 37-3672,KI,101,426,123,225,0,1
SEA 37-3573,KI,63,564,48,111,0,0
SEA 36-2511,KI,131,430,180,311,0,0
SEA 46-2249,KI,94,250,75,170,0,1
SEA 43-1779,KI,86,377,61,147,0,0
SEA 37-1558,KI,134,702,139,273,0,0
SEA 37-1559,KI,72,338,31,108,0,5
SEA 37-1555,KI,98,410,90,190,0,2
SEA 46-2243,KI,171,514,185,359,0,3
SEA 37-1557,KI,72,343,51,124,0,1
SEA 46-2245,KI,170,409,152,322,0,0
SEA 43-1776,KI,182,673,188,375,0,5
SEA 46-2247,KI,223,630,196,421,0,2
SEA 37-1553,KI,98,388,107,206,0,1
SEA 32-2211,KI,161,606,146,311,0,4
SEA 32-2210,KI,196,610,178,374,0,0
SEA 43-1380,KI,84,301,99,183,0,0
SEA 46-2361,KI,104,359,101,206,0,1
SEA 32-2215,KI,267,805,264,535,0,4
SEA 46-2367,KI,121,449,108,229,0,0
SEA 32-2217,KI,262,754,156,421,0,3
SEA 32-2216,KI,94,338,109,203,0,0
SEA 37-1824,KI,122,394,121,246,0,3
SEA 32-2218,KI,160,666,169,332,0,3
SEA 37-1827,KI,172,558,96,270,0,2
SEA 36-1326,KI,211,693,222,436,0,3
SEA 37-1823,KI,31,209,13,44,0,0
SEA 43-1835,KI,253,688,161,417,0,3
SEA 37-1608,KI,139,559,150,293,0,4
SEA 36-1320,KI,113,362,121,234,0,0
SEA 36-1321,KI,125,416,131,258,0,2
SEA 37-1622,KI,120,578,106,226,0,0
SEA 37-2799,KI,114,445,90,206,0,2
SEA 46-2269,KI,90,305,107,197,0,0
SEA 36-1322,KI,117,479,167,286,0,2
SEA 46-1964,KI,139,499,108,247,0,0
SEA 36-1323,KI,110,401,133,243,0,0
SEA 37-1620,KI,89,418,50,140,0,1
SEA 37-1891,KI,89,304,104,193,0,0
SEA 36-1662,KI,153,450,137,291,0,1
SEA 37-1609,KI,105,414,137,242,0,0
SEA 46-2100,KI,123,370,123,246,0,0
SEA 46-1961,KI,89,272,91,182,0,2
SEA 36-1328,KI,192,756,198,390,0,0
SEA 43-3497,KI,110,532,108,218,0,0
SEA 46-1962,KI,95,295,113,208,0,0
SEA 37-1894,KI,106,433,150,259,0,3
SEA 37-1899,KI,88,338,107,195,0,0
SEA 37-1898,KI,77,285,81,158,0,0
SEA 36-1703,KI,167,530,172,340,0,1
SEA 36-2750,KI,108,458,85,198,0,5
SEA 37-1890,KI,192,581,216,412,0,4
SEA 37-1893,KI,155,445,128,287,0,4
SEA 37-1892,KI,188,594,171,360,0,1
SEA 37-1895,KI,160,604,192,356,0,4
SEA 37-1628,KI,126,444,89,215,0,0
SEA 37-1897,KI,178,881,137,320,0,5
SEA 37-1896,KI,127,410,129,258,0,2
