Row Label,County,Lisa O'Toole,Marcus Naylor,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KIR 45-1040,KI,200,129,783,104,433,0,0
DUV 45-3502,KI,93,72,398,77,243,0,1
RED 48-0939,KI,117,61,457,76,255,0,1
ISS 05-3651,KI,72,49,396,49,170,0,0
RED 48-0937,KI,48,39,223,36,125,0,2
DIANE,KI,0,0,0,0,0,0,0
RED 48-0935,KI,142,77,591,69,291,0,3
DOUGLAS,KI,144,84,568,109,337,0,0
SNQ 05-3514,KI,146,79,648,132,358,0,1
KIR 45-2962,KI,117,35,453,53,208,0,3
BEL 48-0125,KI,108,39,405,53,201,0,1
BEL 41-0460,KI,150,66,506,73,289,0,0
BEL 48-0127,KI,86,41,393,33,161,1,0
DUV 45-3481,KI,174,119,692,106,400,0,1
SAM 45-2620,KI,114,85,491,104,305,0,2
SAM 45-2963,KI,206,98,774,143,448,0,1
SAM 45-2726,KI,117,76,479,85,278,0,0
KIR 48-0615,KI,145,75,542,85,307,0,2
KIR 48-0614,KI,174,86,751,124,384,0,0
ISS 41-1208,KI,161,88,649,120,369,0,0
SAM 45-2684,KI,84,37,304,48,169,0,0
M-I 41-3655,KI,132,44,457,82,258,0,0
KIR 45-0630,KI,124,60,518,74,259,0,1
KIR 45-0631,KI,128,84,585,94,308,1,1
KIR 45-0632,KI,148,64,475,60,273,0,1
BEL 41-3680,KI,108,59,413,72,239,0,0
MICHAEL,KI,162,81,582,110,353,0,0
BEL 41-3684,KI,52,22,240,47,122,0,1
BEL 48-0694,KI,141,63,556,73,279,0,2
WOD 45-3530,KI,160,96,692,106,364,0,2
BEL 48-0198,KI,178,88,846,109,375,0,0
KIR 48-2919,KI,81,67,412,58,207,0,1
BEL 48-0191,KI,72,25,300,49,146,0,0
BEL 48-0190,KI,73,42,443,77,192,0,0
BEL 48-0193,KI,97,39,407,68,205,0,1
BEL 48-0192,KI,105,43,364,59,207,0,0
CAMAS,KI,204,96,719,138,442,0,4
BEL 48-0194,KI,73,34,287,52,159,0,0
BEL 48-0196,KI,78,45,302,51,174,0,0
BOT 01-3398,KI,150,86,656,114,350,0,0
CLEVELAND,KI,80,60,344,72,212,0,0
HAPPY VALLEY,KI,44,12,141,26,82,0,0
RED 48-3147,KI,83,37,439,55,175,0,0
BEL 41-0815,KI,59,41,405,54,155,0,1
SNQ 05-3560,KI,108,65,502,89,263,0,1
ADAIR,KI,342,247,928,166,756,0,1
M-I 41-0790,KI,81,28,246,37,147,0,1
RATTLESNAKE,KI,128,74,605,128,333,0,3
ISS 05-3559,KI,217,138,907,174,529,0,0
SAM 41-0307,KI,116,69,525,105,291,0,1
KIR 01-0356,KI,217,135,816,164,516,0,0
RED 48-0938,KI,36,33,288,37,106,0,0
KIR 48-2915,KI,93,65,411,82,240,0,0
SAM 41-3654,KI,130,71,475,86,287,0,0
RED 48-3134,KI,69,45,351,66,181,0,1
KIR 45-2560,KI,126,96,705,86,308,0,0
BEL 41-0101,KI,145,47,502,80,272,0,0
RED 48-2789,KI,67,34,438,43,145,0,1
WOD 45-2734,KI,139,94,583,92,328,0,3
BEL 41-0102,KI,140,57,464,71,268,0,0
KIR 45-2423,KI,221,121,726,111,453,0,0
KIR 45-2421,KI,119,68,515,86,274,0,1
SAM 45-2791,KI,179,92,637,140,411,0,0
NEW 41-3681,KI,93,42,386,67,202,0,0
NEW 41-3528,KI,93,38,420,51,182,0,0
MILLIKIN,KI,208,96,650,113,422,0,5
WOD 45-3192,KI,90,62,352,58,211,0,1
WOD 45-3193,KI,81,49,462,78,209,1,0
PATTERSON,KI,222,114,861,168,505,0,1
RED 48-3391,KI,180,111,704,112,404,0,1
KIR 45-3640,KI,72,36,311,41,152,0,3
M-I 41-2445,KI,113,78,496,98,292,0,3
RED 45-2580,KI,111,79,384,71,262,0,1
CORWIN,KI,195,155,817,144,498,1,3
SAM 45-2965,KI,143,82,586,99,324,0,0
KIR 45-2924,KI,150,68,718,101,322,0,3
ISS 05-3145,KI,159,123,895,124,406,0,0
KIR 48-2863,KI,105,49,417,76,233,0,3
MARGERY,KI,181,74,762,105,360,0,0
AVONDALE,KI,75,39,293,54,169,0,1
BOT 01-3321,KI,138,63,430,92,293,0,0
M-I 41-2691,KI,94,46,516,62,202,0,0
BEL 48-0126,KI,105,40,354,53,198,0,0
BEL 41-2428,KI,144,89,739,118,351,0,0
BEL 41-2429,KI,201,137,836,111,449,0,0
KIR 48-2925,KI,120,65,498,97,284,0,2
BEL 41-2812,KI,85,40,350,54,180,0,1
RED 48-2966,KI,94,50,526,35,179,0,0
KIR 48-3196,KI,101,58,428,74,233,0,0
BOT 45-3620,KI,28,22,149,13,63,0,0
AMES LAKE,KI,188,111,810,145,445,0,1
BEL 41-2554,KI,149,66,645,126,343,0,2
HOLIDAY LAKE,KI,78,56,299,59,193,0,0
UNION HILL,KI,139,93,628,142,374,0,0
NEW 41-3228,KI,118,52,470,81,254,0,3
RED 45-0936,KI,124,73,476,77,275,0,1
ISS 05-2929,KI,148,67,562,124,341,0,2
WOD 45-1225,KI,130,71,478,77,279,0,1
EASTRIDGE,KI,214,100,818,160,474,0,0
BEL 41-0518,KI,84,43,266,45,172,0,0
M-I 41-0788,KI,95,59,372,80,234,0,0
COOPER,KI,126,61,473,90,278,0,1
KIR 48-2913,KI,152,92,700,88,337,0,5
KIR 48-2914,KI,165,104,723,130,399,0,0
CHERRY VALLEY,KI,128,71,514,105,304,0,0
BOT 01-3195,KI,116,79,510,55,250,0,0
BEL 48-0154,KI,73,43,258,37,157,0,4
BEL 41-0103,KI,161,71,535,77,310,0,1
BEL 48-0156,KI,162,92,659,97,354,0,3
BEL 48-0151,KI,97,53,409,81,232,0,1
BEL 48-0153,KI,72,46,314,41,160,0,1
BEL 41-0106,KI,110,53,457,65,229,0,1
BEL 41-0109,KI,71,32,325,36,139,0,0
BEL 41-0108,KI,105,59,440,66,230,0,0
ISS 05-3138,KI,128,73,435,86,287,0,0
BEL 48-0159,KI,123,71,533,78,273,0,1
BOT 01-2473,KI,124,72,481,59,256,0,1
RED 48-2449,KI,108,96,518,85,290,0,1
RED 48-2448,KI,136,88,544,91,316,0,1
WOD 45-0676,KI,129,91,502,84,304,0,0
ISS 41-2605,KI,112,58,434,70,240,0,0
ISS 41-2602,KI,167,87,817,125,379,0,0
BEL 41-2556,KI,159,105,656,114,378,0,0
ISS 41-2977,KI,54,43,397,40,137,0,0
KIR 48-0642,KI,89,61,430,103,253,0,0
KIR 48-0643,KI,51,37,314,51,141,0,2
KIR 48-0641,KI,91,57,370,73,221,0,0
KIR 48-0646,KI,148,68,511,89,305,0,0
SAM 41-2942,KI,172,78,726,135,385,0,0
KIR 48-0644,KI,140,91,716,161,393,0,1
KIR 48-0645,KI,54,29,230,43,127,0,1
