Row Label,County,Michael J. Trickey,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KEN 33-2443,KI,61,303,21,82,0,0
SEA 36-1294,KI,196,735,252,449,0,1
SEA 36-1295,KI,96,337,118,219,0,5
SEA 36-1296,KI,108,303,85,194,0,1
SEA 36-1297,KI,91,298,92,183,0,0
SHL 32-0474,KI,101,383,87,191,0,3
SEA 36-1292,KI,120,356,97,220,0,3
SEA 37-1646,KI,87,457,63,151,1,0
SEA 37-1647,KI,192,669,155,349,0,2
SEA 36-1768,KI,94,331,107,201,0,0
ELIZABETH,KI,154,601,118,273,0,1
DUV 45-3218,KI,253,840,201,454,0,0
SEA 37-1643,KI,135,682,90,228,0,3
SEA 36-1764,KI,98,264,86,185,0,1
SEA 36-1765,KI,80,274,97,178,0,1
SEA 36-1766,KI,97,401,118,216,0,1
SEA 36-1767,KI,116,551,123,242,0,3
SEA 36-1760,KI,99,300,95,195,0,1
CARPENTER,KI,101,434,140,242,0,1
SEA 36-1762,KI,102,306,103,207,0,2
SEA 36-1763,KI,90,312,104,196,0,2
SEA 34-3175,KI,110,357,124,235,0,1
SEAVIEW,KI,123,393,96,221,0,2
SHL 32-0514,KI,160,534,152,312,0,0
KIR 45-2423,KI,276,726,175,453,0,2
DOUGLAS,KI,172,568,162,337,0,3
KIR 45-2421,KI,146,515,125,274,0,3
MILLIKIN,KI,227,650,188,422,0,7
COV 47-0566,KI,183,724,121,308,0,4
SHL 32-0519,KI,111,422,70,182,0,1
SEA 36-2129,KI,175,691,148,326,0,3
SEA 36-2126,KI,203,722,212,419,0,4
SEA 36-2125,KI,193,620,158,357,0,6
SEA 36-2121,KI,106,443,106,216,0,4
SEA 36-2120,KI,131,413,141,273,0,1
AUB 31-0042,KI,142,509,96,240,0,2
AUB 31-0047,KI,169,574,92,264,0,3
SHL 32-0401,KI,155,419,127,282,0,0
AUB 31-0048,KI,48,210,29,78,0,1
HANSEN,KI,173,505,134,308,0,1
STEVENS,KI,58,197,63,124,0,3
SEA 37-1616,KI,90,351,116,207,0,1
KIR 45-2962,KI,130,453,76,208,0,2
SHL 32-0609,KI,109,370,74,184,0,1
VINCENT,KI,103,411,107,210,0,0
KIR 45-2730,KI,176,686,120,298,0,2
M-I 41-2691,KI,122,516,76,202,0,4
SEA 43-2987,KI,54,673,43,97,0,0
SHL 32-0605,KI,137,422,117,255,0,1
DES 33-0272,KI,140,414,97,239,0,2
LFP 46-2763,KI,109,276,75,186,0,2
SEA 37-1608,KI,142,559,147,293,0,4
HOLIDAY LAKE,KI,109,299,84,193,0,0
RED 45-0936,KI,161,476,109,275,0,5
OSCEOLA,KI,184,557,147,336,0,5
NEUWAUKUM,KI,101,356,95,199,0,3
KEN 47-0229,KI,186,695,109,296,0,1
RNT 11-0983,KI,130,525,82,215,0,3
BEL 41-0101,KI,162,502,109,272,0,1
BEL 41-0103,KI,171,535,138,310,0,1
BEL 41-0102,KI,146,464,122,268,0,0
BEL 41-0106,KI,108,457,116,229,0,5
BEL 41-0109,KI,92,325,47,139,0,0
M-V 05-2857,KI,193,703,198,394,0,3
CORWIN,KI,248,817,246,498,0,4
BUR 34-0489,KI,163,445,162,327,0,2
SEA 37-1899,KI,95,338,98,195,0,2
RNT 11-3404,KI,126,556,106,232,0,0
BUR 34-0311,KI,180,464,87,268,0,1
SEA 37-1891,KI,96,304,95,193,0,2
SEA 37-1890,KI,215,581,194,412,0,3
SEA 37-1893,KI,164,445,119,287,0,4
SEA 37-1892,KI,196,594,161,360,0,3
SEA 37-1895,KI,167,604,184,356,0,5
SEA 37-1894,KI,113,433,143,259,0,3
SEA 37-1897,KI,189,881,123,320,0,8
SEA 37-1896,KI,126,410,130,258,0,2
B-D 05-0239,KI,155,560,128,284,0,1
AUB 47-3585,KI,101,374,50,152,0,1
BUR 34-0465,KI,72,228,60,132,0,0
KMR 46-0340,KI,172,443,133,306,0,1
SAM 45-3293,KI,203,661,175,382,0,4
SAM 45-3298,KI,173,523,118,297,0,6
SEA 36-1815,KI,176,453,96,273,0,1
KIR 01-3678,KI,113,349,80,193,0,0
BUR 33-0701,KI,195,722,93,291,0,3
SHL 32-0861,KI,215,696,110,331,0,6
BEL 41-0211,KI,116,373,109,229,0,4
BEL 41-0210,KI,91,367,93,186,0,2
TIMBER,KI,204,664,151,358,0,3
BEL 41-0219,KI,152,623,109,264,0,3
SEA 43-1351,KI,149,561,164,315,0,2
SEA 43-1350,KI,67,265,66,133,0,0
KEN 47-3190,KI,143,693,95,241,0,3
SEA 43-1352,KI,167,608,153,322,0,2
SEA 43-1355,KI,139,401,104,244,0,1
SEA 43-1354,KI,126,435,113,240,0,1
SEA 43-1357,KI,108,355,81,192,0,3
SEA 43-1359,KI,161,518,127,291,0,3
SEA 43-1358,KI,106,418,115,224,0,3
RED 48-3208,KI,96,415,59,156,0,1
ISS 05-3527,KI,156,587,89,249,0,4
B-D 05-2413,KI,144,466,137,284,0,3
SEA 46-1952,KI,81,281,97,179,0,1
SEA 46-1953,KI,99,236,75,175,0,1
SEA 46-1954,KI,103,282,100,203,0,0
SEA 46-1955,KI,152,558,135,289,0,2
SEA 46-1957,KI,187,553,167,354,0,0
SEA 46-1959,KI,246,703,242,491,0,3
RED 48-3664,KI,126,594,113,243,0,4
KEN 47-3537,KI,143,557,105,249,0,1
DIANE,KI,0,0,0,0,0,0
BERNICE,KI,167,601,71,240,0,2
KEN 47-3447,KI,68,248,38,107,0,1
KEN 47-2667,KI,116,528,56,176,0,4
RNT 11-1008,KI,144,662,112,264,0,8
RNT 11-1007,KI,66,315,82,149,0,1
RNT 11-1006,KI,100,453,94,194,0,0
RNT 11-1004,KI,77,317,63,141,0,1
RNT 11-1002,KI,75,332,65,142,0,2
FED 30-3096,KI,145,550,102,249,0,2
FED 30-3097,KI,257,720,169,429,0,3
FED 30-3094,KI,167,595,103,277,0,7
FED 30-3095,KI,107,501,64,173,0,2
FED 30-3092,KI,146,631,63,213,0,4
FED 30-3093,KI,142,612,79,221,0,0
FED 30-3090,KI,109,356,88,198,0,1
FED 30-3091,KI,239,552,146,388,0,3
SEA 46-2326,KI,132,574,139,271,0,0
SEA 46-2327,KI,105,381,84,190,0,1
SEA 46-2324,KI,120,432,113,237,0,4
SEA 46-2325,KI,152,405,88,242,0,2
SEA 46-2322,KI,142,532,137,281,0,2
SEA 46-2323,KI,147,554,160,310,0,3
FED 30-3098,KI,138,528,112,252,0,2
LFP 46-0517,KI,124,445,145,273,0,4
CHERRY VALLEY,KI,142,514,159,304,0,3
ISABELLA,KI,240,660,168,409,0,1
KIR 01-3422,KI,158,546,108,266,0,0
SEA 34-1461,KI,144,399,121,268,0,3
SEA 34-1460,KI,96,324,111,209,0,2
SEA 34-1463,KI,89,259,88,178,0,1
SEA 34-1462,KI,91,339,108,199,0,0
SEA 34-1465,KI,154,372,97,251,0,0
SEA 34-1464,KI,115,359,129,245,0,1
SEA 34-1467,KI,171,551,166,339,0,2
SEA 34-1466,KI,96,303,81,179,0,2
RED 48-2629,KI,169,648,123,295,0,3
RED 48-2628,KI,119,472,92,211,0,0
BUR 34-1192,KI,206,591,188,397,0,3
SEA 34-1489,KI,176,744,161,338,0,1
SEA 34-1488,KI,163,692,120,284,0,1
SEA 34-1482,KI,97,321,82,180,0,1
SEA 34-1481,KI,133,479,91,227,0,3
SEA 34-1480,KI,184,594,155,339,0,0
SEA 34-1487,KI,112,335,90,205,0,3
SEA 34-1486,KI,99,364,100,201,0,2
SEA 34-1485,KI,184,708,121,307,0,2
SEA 34-1484,KI,106,345,72,180,0,2
RNT 05-3698,KI,20,52,7,27,0,0
BUR 34-0913,KI,152,599,69,225,0,4
MAPLE HILLS,KI,222,719,166,391,0,3
SEA 46-2319,KI,153,506,170,323,0,0
SPRINKLE,KI,36,107,30,66,0,0
RNT 37-0969,KI,0,0,0,0,0,0
KMR 46-1095,KI,242,785,175,421,0,4
SEA 43-1265,KI,72,256,74,148,0,2
RNT 37-0967,KI,150,503,84,236,0,2
KEN 33-2618,KI,196,795,108,306,0,2
KEN 47-2485,KI,184,616,101,288,0,3
SEA 43-1264,KI,122,361,125,248,0,1
RNT 11-0719,KI,82,243,51,134,0,1
SEA 43-1267,KI,132,386,130,264,0,2
SHL 32-0319,KI,78,284,63,141,0,0
SEA 34-1534,KI,117,362,121,238,0,0
TOTEM,KI,13,70,18,31,0,0
FED 30-3078,KI,139,402,77,218,0,2
FED 30-3079,KI,167,508,89,260,0,4
ISS 41-2733,KI,254,843,204,462,0,4
DES 33-0911,KI,143,515,79,224,0,2
KIR 45-3109,KI,140,469,90,230,0,0
KIR 45-3450,KI,62,251,61,125,0,2
FED 30-3077,KI,122,339,79,202,0,1
AUB 47-0671,KI,194,785,130,329,0,5
SET 33-3059,KI,133,683,68,205,0,4
KEN 33-3670,KI,81,288,38,120,0,1
KINGLET,KI,126,532,100,227,0,1
SAM 45-3454,KI,69,233,47,116,0,0
DES 33-0682,KI,155,444,84,241,0,2
SEA 36-1751,KI,101,368,110,212,0,1
SEA 36-1750,KI,138,493,158,296,0,0
PIPELINE,KI,46,153,33,82,0,3
SEA 36-1752,KI,109,437,133,244,0,2
SEA 36-1755,KI,80,272,77,158,0,1
SEA 36-1754,KI,114,387,138,252,0,0
BOT 01-3661,KI,147,528,95,245,0,3
SEA 36-1756,KI,199,682,192,393,0,2
DES 33-2820,KI,109,393,55,164,0,0
SEA 36-1758,KI,130,351,115,246,0,1
SEA 43-2043,KI,91,292,102,193,0,0
SEA 43-2044,KI,96,350,87,186,0,3
SEA 43-2045,KI,98,315,91,189,0,0
SEA 43-2047,KI,192,662,208,403,0,3
MORGAN,KI,170,631,133,305,0,2
M-I 41-0787,KI,82,333,99,182,0,1
SNQ 05-3409,KI,236,787,159,399,0,4
MERRIHILL,KI,196,687,122,324,0,6
SHL 32-1021,KI,175,550,128,309,0,6
SHL 32-1020,KI,105,341,73,178,0,0
KMR 46-2462,KI,81,258,81,164,0,2
SEA 36-2149,KI,127,367,133,261,0,1
SEA 36-2134,KI,144,490,121,266,0,1
BROOKTRAILS,KI,174,564,171,347,0,2
SEA 36-2130,KI,125,388,116,243,0,2
SEA 36-2131,KI,223,851,229,453,0,1
SEA 36-2133,KI,175,698,171,348,0,2
RED 48-0942,KI,146,402,111,258,0,1
COUGAR MTN,KI,4,8,1,8,0,3
SEA 46-1312,KI,92,326,89,181,0,0
SEA 46-1313,KI,77,280,90,168,0,1
DES 33-0864,KI,107,317,96,204,0,1
SEA 46-1311,KI,106,427,91,198,0,1
SEA 46-1314,KI,95,330,115,210,0,0
KEN 47-0439,KI,175,585,132,309,0,2
SEA 36-1808,KI,104,275,52,156,0,0
SAM 41-2813,KI,170,567,166,337,0,1
M-V 05-3461,KI,195,779,151,352,0,6
SEA 36-1805,KI,112,473,126,239,0,1
SEA 36-1806,KI,146,598,133,281,0,2
SEA 36-1801,KI,203,896,188,391,0,0
SEA 36-1803,KI,79,298,99,178,0,0
RED 45-3584,KI,140,449,119,259,0,0
RED 48-0944,KI,119,375,94,217,0,4
SEA 36-3669,KI,75,349,80,157,0,2
ENM 31-3248,KI,252,732,188,442,0,2
ENM 31-3247,KI,185,682,137,323,0,1
ENM 31-3246,KI,66,264,58,127,0,3
KIR 45-2722,KI,174,626,120,296,0,2
YPT 48-1234,KI,124,411,126,250,0,0
YPT 48-1233,KI,140,401,86,226,0,0
ALDER SPRINGS,KI,180,550,167,349,0,2
SEA 36-2592,KI,84,352,118,205,0,3
EARLINGTON,KI,90,357,56,150,0,4
SEA 36-2590,KI,112,364,99,213,0,2
KEN 05-3375,KI,0,0,0,0,0,0
KIR 01-2767,KI,195,573,163,359,0,1
KIR 01-2762,KI,176,618,130,308,0,2
KIR 01-2768,KI,209,624,172,383,0,2
SHL 32-0897,KI,136,446,90,233,0,7
KEN 33-0603,KI,197,649,148,347,0,2
RED 48-0951,KI,118,379,105,223,0,0
RED 48-0950,KI,119,444,94,214,0,1
RED 48-0953,KI,239,758,174,418,0,5
RED 48-0952,KI,95,311,65,160,0,0
KELLY,KI,112,375,77,189,0,0
DUV 45-3219,KI,156,548,139,298,0,3
KEN 47-0238,KI,209,723,134,349,0,6
BEL 41-0116,KI,52,290,59,111,0,0
BEL 41-0117,KI,73,263,66,140,0,1
BEL 41-0114,KI,135,459,157,292,0,0
BEL 41-0112,KI,201,712,155,358,0,2
BEL 41-0113,KI,73,255,83,158,0,2
BEL 41-0110,KI,153,571,103,257,0,1
BEL 41-0111,KI,184,544,145,330,0,1
BEL 41-3312,KI,267,796,221,489,0,1
SEA 43-1784,KI,160,500,145,308,0,3
BEL 41-0119,KI,103,295,94,197,0,0
WELCOME LAKE,KI,350,735,225,578,0,3
SEA 34-1545,KI,119,422,103,224,0,2
SEA 36-3267,KI,130,548,86,219,0,3
SEA 37-1886,KI,158,523,133,293,0,2
CANDLEWOOD,KI,64,412,55,120,0,1
SEA 37-1885,KI,114,398,104,223,0,5
SEA 37-1882,KI,107,395,81,193,0,5
SEA 37-1883,KI,97,423,103,204,0,4
SEA 37-1880,KI,142,514,130,276,0,4
SEA 37-1881,KI,91,396,96,188,0,1
AUB 47-3591,KI,131,445,73,206,0,2
SEA 43-1780,KI,117,350,90,208,0,1
SEA 43-1781,KI,99,326,64,164,0,1
ELSIE,KI,242,726,148,393,0,3
SELLECK,KI,221,784,195,420,0,4
BEL 41-0203,KI,231,688,176,410,0,3
M-V 05-3482,KI,254,870,184,441,0,3
SEA 46-2370,KI,86,428,51,137,0,0
BUR 33-0289,KI,115,412,69,188,0,4
BEL 41-0205,KI,102,288,69,171,0,0
DIPPER,KI,190,675,152,346,0,4
BOT 01-3271,KI,128,431,100,229,0,1
SHL 32-0819,KI,122,411,88,211,0,1
SEA 36-1299,KI,109,425,146,260,0,5
SEA 43-1347,KI,213,726,219,435,0,3
SEA 43-1344,KI,137,452,155,292,0,0
NEW 41-3261,KI,165,503,98,267,0,4
SEA 43-1342,KI,124,366,112,237,0,1
BUR 34-1219,KI,172,530,171,345,0,2
SEA 43-1341,KI,189,499,161,351,0,1
WOD 45-2769,KI,230,748,210,444,0,4
SALAL,KI,110,359,115,225,0,0
SEA 43-1349,KI,93,359,136,231,0,2
SHL 32-0470,KI,138,413,118,258,0,2
B-D 05-2407,KI,246,838,200,447,0,1
SEA 46-1965,KI,106,292,84,190,0,0
BEL 48-1049,KI,127,344,87,215,0,1
SEA 46-1967,KI,168,497,149,320,0,3
SEA 46-1966,KI,68,234,74,144,0,2
SEA 46-1961,KI,92,272,89,182,0,1
SEA 46-1963,KI,69,278,83,152,0,0
SEA 36-2116,KI,100,299,102,202,0,0
PRESTON,KI,206,661,170,383,0,7
SEA 46-1969,KI,84,278,85,169,0,0
SEA 11-1641,KI,114,539,69,183,0,0
SEA 36-3319,KI,189,867,175,365,0,1
SEA 36-3318,KI,214,680,211,428,0,3
BUR 34-0295,KI,127,479,139,269,0,3
LYNX,KI,147,531,121,276,0,8
SHL 32-0921,KI,93,260,82,176,0,1
BUR 34-0298,KI,202,668,116,322,0,4
SEA 36-3317,KI,185,595,197,383,0,1
SEA 43-2853,KI,104,440,102,206,0,0
SEA 43-2852,KI,116,501,107,226,0,3
RANCH,KI,128,444,105,233,0,0
SEA 43-2113,KI,81,393,57,140,0,2
RNT 11-1015,KI,107,443,85,194,0,2
RNT 11-1011,KI,228,881,157,391,0,6
KEN 47-3275,KI,176,854,111,288,0,1
COTTAGE LAKE,KI,129,452,96,228,0,3
KIR 45-3668,KI,131,428,72,206,0,3
SEA 43-2058,KI,75,247,75,150,0,0
SHANGRI-LA,KI,126,394,104,233,0,3
SEA 37-1640,KI,168,738,125,293,0,0
RIVERSIDE,KI,104,396,115,220,0,1
SEA 43-1861,KI,205,750,226,432,0,1
LISABEULA,KI,137,467,169,309,0,3
SHL 32-0407,KI,210,661,172,386,0,4
LEAH,KI,174,661,142,319,0,3
HI-VALLEY,KI,300,829,237,542,0,5
RED 48-2636,KI,160,451,94,256,0,2
SEA 34-1477,KI,95,307,105,200,0,0
RED 48-2634,KI,128,389,101,231,0,2
RED 48-2635,KI,126,387,95,224,0,3
RED 48-2632,KI,66,225,64,130,0,0
RED 48-2633,KI,223,626,151,375,0,1
RED 48-2630,KI,137,394,118,257,0,2
SEA 34-1471,KI,159,492,144,305,0,2
SEA 34-1478,KI,77,253,84,163,0,2
SEA 34-1479,KI,112,313,86,200,0,2
SEA 43-2050,KI,129,442,88,222,0,5
HAAS,KI,87,303,109,199,0,3
SEA 36-1761,KI,94,309,97,193,0,2
SEA 34-1498,KI,175,668,153,330,0,2
SEA 34-1499,KI,135,483,151,289,0,3
SEA 43-2055,KI,48,322,65,113,0,0
SEA 34-1490,KI,131,437,102,235,0,2
SEA 34-1493,KI,196,722,123,320,0,1
SEA 34-1494,KI,147,536,116,265,0,2
SEA 34-1496,KI,201,826,184,389,0,4
RED 48-3548,KI,95,292,46,145,0,4
SEA 46-2267,KI,133,518,108,241,0,0
SEA 46-2266,KI,145,494,142,288,0,1
SEA 46-2264,KI,260,768,224,487,0,3
GRANDVIEW,KI,4,16,3,8,0,1
SEA 46-2261,KI,85,256,90,175,0,0
SEA 46-2260,KI,259,722,250,511,0,2
SILVER SPURS,KI,7,18,3,10,0,0
SNO PASS,KI,69,208,62,131,0,0
SEA 46-2269,KI,99,305,98,197,0,0
SEA 46-2268,KI,99,330,106,205,0,0
KEN 47-2477,KI,214,535,145,361,0,2
RNT 37-0991,KI,144,619,102,250,0,4
RNT 37-0999,KI,207,760,134,343,0,2
KEN 47-2708,KI,122,485,103,226,0,1
KEN 47-2709,KI,256,839,148,407,0,3
ISS 41-2692,KI,105,382,106,215,0,4
KEN 47-2704,KI,277,773,151,430,0,2
SAM 41-3214,KI,115,435,123,241,0,3
SAM 41-3215,KI,211,814,137,348,0,0
BLACK RIVER,KI,51,320,23,77,0,3
KEN 47-2490,KI,211,673,119,331,0,1
SEA 46-2313,KI,155,538,90,248,0,3
DES 30-0954,KI,254,745,157,415,0,4
DUTHIE HILL,KI,109,356,97,208,0,2
SEA 46-2311,KI,143,451,112,256,0,1
MARIAN,KI,218,776,103,323,0,2
BEL 41-2782,KI,49,183,30,81,0,2
FED 30-3289,KI,228,819,138,368,0,2
SEA 46-2310,KI,149,386,126,277,0,2
RNT 37-1000,KI,72,532,70,142,0,0
FED 30-3049,KI,133,430,35,168,0,0
FED 30-3048,KI,123,634,63,187,0,1
FED 30-3045,KI,160,637,93,253,0,0
FED 30-3044,KI,234,657,89,326,0,3
FED 30-3047,KI,155,492,75,236,0,6
FED 30-3046,KI,115,397,72,188,0,1
FED 30-3041,KI,96,326,61,158,0,1
FED 30-3040,KI,97,432,46,146,0,3
FED 30-3043,KI,159,631,99,261,0,3
FED 30-3042,KI,101,251,65,166,0,0
KEN 47-0753,KI,159,622,84,249,0,6
SAM 41-3508,KI,198,685,135,337,0,4
KEN 33-3644,KI,139,486,71,213,0,3
BEL 48-3292,KI,138,401,105,244,0,1
SHL 32-0494,KI,137,468,113,252,0,2
SHL 32-0499,KI,169,462,118,288,0,1
SEA 46-2318,KI,98,277,88,188,0,2
SAM 41-3506,KI,130,455,101,234,0,3
SAM 41-3507,KI,202,708,109,314,0,3
SEA 36-1746,KI,117,313,85,203,0,1
SEA 36-1747,KI,94,296,101,195,0,0
SEA 36-1744,KI,105,393,121,228,0,2
SEA 36-1742,KI,102,296,83,185,0,0
SEA 36-1743,KI,102,391,104,206,0,0
SEA 36-1740,KI,93,323,113,208,0,2
SEA 36-1741,KI,93,325,111,207,0,3
SEA 43-2075,KI,76,458,87,163,0,0
SEA 43-2074,KI,151,564,164,316,0,1
SEA 43-2076,KI,73,403,60,137,0,4
SEA 43-2071,KI,139,371,121,260,0,0
SEA 36-1748,KI,79,261,88,169,0,2
SEA 36-1749,KI,189,681,178,370,0,3
KEN 47-1170,KI,108,412,71,180,0,1
BEL 48-2430,KI,173,486,114,290,0,3
BEL 48-2432,KI,122,403,98,225,0,5
BEL 48-2434,KI,119,394,140,259,0,0
MCDIVITT,KI,20,57,12,32,0,0
SEA 43-1887,KI,197,648,165,365,0,3
SEA 43-1889,KI,148,483,139,288,0,1
SEA 43-1888,KI,206,633,166,373,0,1
SEA 34-1430,KI,101,322,89,190,0,0
SHL 32-1030,KI,88,301,55,144,0,1
CHURCHILL,KI,119,425,141,262,0,2
KEN 33-2864,KI,151,463,89,243,0,3
SEA 43-1779,KI,82,377,65,147,0,0
NEW 41-1115,KI,197,633,139,340,0,4
SEA 36-1324,KI,218,779,254,477,0,5
SEA 36-1325,KI,121,465,122,246,0,3
CARRIAGE,KI,130,399,96,230,0,4
SEA 36-1320,KI,120,362,113,234,0,1
SEA 36-1321,KI,133,416,122,258,0,3
SEA 36-1322,KI,127,479,157,286,0,2
SEA 36-1323,KI,113,401,129,243,0,1
COLLEEN,KI,160,488,140,304,0,4
SEA 36-1328,KI,196,756,193,390,0,1
SEA 36-1329,KI,108,410,144,254,0,2
SEA 36-1812,KI,131,469,120,251,0,0
SEA 36-1813,KI,80,330,93,174,0,1
SEA 36-1816,KI,96,303,76,172,0,0
SEA 46-2299,KI,124,393,103,229,0,2
SAM 41-0100,KI,219,667,141,362,0,2
OVERDALE,KI,8,12,1,9,0,0
SEA 43-2238,KI,248,813,289,539,0,2
SEA 36-3679,KI,68,314,69,137,0,0
SHL 32-0665,KI,132,414,85,218,0,1
TUK 11-1165,KI,197,752,141,340,0,2
ARIA,KI,132,428,106,239,0,1
SET 33-3081,KI,164,738,104,269,0,1
RNT 11-2739,KI,82,274,53,140,0,5
RED 48-0948,KI,77,246,45,124,0,2
RED 48-0949,KI,133,433,99,234,0,2
ISS 05-3649,KI,110,404,78,188,0,0
RED 48-0940,KI,147,399,111,258,0,0
RED 48-0941,KI,103,331,100,205,0,2
RED 48-0947,KI,117,360,97,215,0,1
KIR 01-2595,KI,146,495,91,239,0,2
RED 48-0945,KI,145,453,99,245,0,1
KEN 47-0246,KI,157,479,104,261,0,0
SEA 37-1591,KI,126,360,123,249,0,0
RED MILL,KI,126,418,90,217,0,1
SEA 37-1592,KI,190,634,165,361,0,6
SEA 36-2535,KI,146,566,140,291,0,5
BEL 41-0475,KI,90,262,59,149,0,0
SHL 32-0711,KI,110,337,97,208,0,1
SEA 37-1593,KI,141,470,112,254,0,1
BEL 41-3658,KI,66,305,48,115,0,1
BEL 41-0472,KI,155,522,145,303,0,3
SAM 45-2450,KI,182,548,141,325,0,2
MIDDLE FORK,KI,121,383,91,214,0,2
BEL 41-3657,KI,109,353,78,189,0,2
SEA 37-1872,KI,188,581,163,359,0,8
SEA 37-1871,KI,176,629,209,389,0,4
SEA 43-1868,KI,116,353,115,233,0,2
SEA 37-1876,KI,198,766,243,444,0,3
SEA 37-1875,KI,164,525,120,288,0,4
SAM 45-2693,KI,246,796,164,414,0,4
SEA 43-1862,KI,127,476,104,234,0,3
SEA 37-1879,KI,219,839,199,424,0,6
SEA 43-1860,KI,191,745,173,368,0,4
SEA 43-1867,KI,155,546,142,299,0,2
STAR LAKE,KI,102,325,80,182,0,0
RNT 11-3604,KI,134,591,99,234,0,1
KIR 45-0623,KI,130,378,97,229,0,2
KIR 45-0622,KI,122,390,92,214,0,0
KIR 45-0620,KI,185,552,152,340,0,3
KIR 45-0627,KI,193,628,181,376,0,2
RNT 11-3609,KI,96,461,76,173,0,1
KIR 45-0624,KI,276,793,220,501,0,5
DUV 45-3642,KI,129,443,116,249,0,4
DES 33-1128,KI,94,289,76,174,0,4
EAGLE,KI,0,3,0,0,0,0
BUR 33-0729,KI,198,864,120,320,1,1
MEADOWBROOK,KI,82,300,87,173,0,4
SWEENEY,KI,172,575,167,341,0,2
SHL 32-0088,KI,78,258,42,121,0,1
KIR 01-2759,KI,213,695,145,359,0,1
RUDDELL,KI,125,397,87,214,0,2
SHL 32-0802,KI,125,452,68,194,0,1
BEL 41-3278,KI,86,290,85,172,0,1
SEA 43-1406,KI,140,398,123,264,0,1
WOD 45-2597,KI,200,647,143,350,0,7
FOX,KI,135,434,111,247,0,1
KIR 48-2925,KI,142,498,135,284,0,7
LAKE ALICE,KI,146,519,146,295,0,3
M-V 05-2614,KI,252,831,165,422,0,5
SEA 46-1971,KI,111,325,89,200,0,0
RNT 11-3287,KI,175,705,161,338,0,2
SEA 46-1977,KI,115,321,100,217,0,2
SEA 46-1974,KI,143,415,126,269,0,0
AUB 31-0049,KI,128,450,60,195,0,7
SEA 34-1245,KI,136,466,106,244,0,2
SEA 34-1247,KI,127,461,72,202,0,3
SEA 34-1246,KI,110,355,93,203,0,0
SEA 34-1249,KI,139,551,97,241,0,5
SEA 34-1248,KI,121,407,87,209,0,1
NPK 33-2645,KI,138,335,81,219,0,0
NPK 33-2644,KI,118,287,85,204,0,1
NPK 33-2646,KI,179,587,162,341,0,0
SEA 32-2203,KI,207,758,209,422,0,6
BUR 34-0281,KI,0,0,0,0,0,0
BEL 41-0658,KI,120,403,100,220,0,0
BEL 41-0305,KI,131,484,86,218,0,1
SEA 36-1693,KI,100,308,88,189,0,1
SEA 43-3628,KI,169,536,117,290,0,4
RED 48-3313,KI,238,667,143,384,0,3
RED 48-3316,KI,95,344,57,154,0,2
BUR 34-1082,KI,113,307,102,215,0,0
CORNELL,KI,177,557,138,316,0,1
RED 48-2790,KI,179,592,141,323,0,3
BUR 34-0848,KI,142,421,116,261,0,3
KIR 45-3612,KI,81,211,32,116,0,3
SEA 46-2375,KI,106,312,103,210,0,1
FED 30-3036,KI,90,342,56,148,0,2
AUB 31-3335,KI,215,732,135,351,0,1
KEN 47-3184,KI,247,776,132,384,0,5
SEA 37-3567,KI,68,408,59,130,0,3
BRIAR,KI,164,521,114,283,0,5
COV 47-2711,KI,150,536,104,255,0,1
NEW 41-3528,KI,101,420,80,182,0,1
BUR 34-1150,KI,127,365,122,249,0,0
TUK 11-3127,KI,69,280,37,109,0,3
SEA 46-2274,KI,77,256,90,167,0,0
SEA 46-2275,KI,35,127,36,71,0,0
SEA 46-2276,KI,115,382,134,250,0,1
SEA 46-2277,KI,176,568,190,368,0,2
SEA 46-2270,KI,103,290,98,202,0,1
SEA 46-2271,KI,150,476,163,319,0,6
SEA 46-2272,KI,121,367,125,247,0,1
M-V 05-3272,KI,260,878,174,436,0,2
HOLM LAKE,KI,227,710,187,415,0,1
COV 47-2390,KI,133,505,69,204,0,2
SEA 37-3696,KI,9,49,9,18,0,0
SEA 37-3693,KI,0,0,0,0,0,0
CADDIS,KI,118,366,89,211,0,4
SHL 32-0396,KI,254,767,140,401,0,7
SEA 37-1557,KI,76,343,45,124,0,3
SEA 43-2541,KI,63,268,52,115,0,0
KEN 11-3331,KI,100,456,64,166,0,2
SHL 32-0606,KI,117,364,62,183,0,4
RNT 11-0738,KI,78,444,61,141,0,2
ENM 05-3414,KI,0,0,0,0,0,0
STILLWATER,KI,167,523,121,292,0,4
FED 30-3052,KI,162,494,81,243,0,0
FED 30-3053,KI,132,472,85,218,0,1
FED 30-3050,KI,51,222,47,98,0,0
FED 30-3051,KI,96,400,51,152,0,5
FED 30-3056,KI,96,323,70,166,0,0
FED 30-3054,KI,105,386,62,168,0,1
FED 30-3055,KI,181,575,97,280,0,2
SHL 32-0486,KI,90,298,94,185,0,1
DES 33-0668,KI,64,273,59,123,0,0
SEA 43-2061,KI,93,476,112,207,0,2
SEA 43-2064,KI,66,370,81,148,0,1
SEA 43-2065,KI,93,547,84,179,0,2
SEA 43-2068,KI,94,425,95,191,0,2
SEA 36-2164,KI,107,310,108,215,0,0
BEAR CREEK,KI,131,452,141,275,0,3
KMR 46-0473,KI,151,438,97,253,0,5
SEA 37-1825,KI,170,704,122,296,0,4
SEA 36-1382,KI,114,374,119,233,0,0
