Row Label,County,Ketu Shah,Registered Voters,Sarah Hayne,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KIR 45-1040,KI,159,783,176,98,433,0,0
DUV 45-3502,KI,73,398,93,76,243,0,1
RED 48-0939,KI,74,457,106,75,255,0,0
ISS 05-3651,KI,79,396,47,44,170,0,0
RED 48-0937,KI,54,223,35,34,125,0,2
DIANE,KI,0,0,0,0,0,0,0
RED 48-0935,KI,114,591,105,68,291,0,4
DOUGLAS,KI,98,568,132,107,337,0,0
SNQ 05-3514,KI,104,648,135,118,358,0,1
KIR 45-2962,KI,73,453,86,48,208,0,1
BEL 48-0125,KI,93,405,55,52,201,0,1
BEL 41-0460,KI,138,506,88,63,289,0,0
BEL 48-0127,KI,54,393,78,29,161,0,0
DUV 45-3481,KI,127,692,169,101,400,0,3
SAM 45-2620,KI,98,491,125,80,305,0,2
SAM 45-2963,KI,172,774,144,131,448,0,1
SAM 45-2726,KI,114,479,84,79,278,1,0
KIR 48-0615,KI,125,542,96,83,307,0,3
KIR 48-0614,KI,151,751,116,117,384,0,0
ISS 41-1208,KI,152,649,104,113,369,0,0
SAM 45-2684,KI,55,304,71,43,169,0,0
M-I 41-3655,KI,97,457,85,76,258,0,0
KIR 45-0630,KI,104,518,80,74,259,0,1
KIR 45-0631,KI,117,585,102,88,308,0,1
KIR 45-0632,KI,107,475,106,59,273,0,1
BEL 41-3680,KI,113,413,68,58,239,0,0
MICHAEL,KI,125,582,126,102,353,0,0
BEL 41-3684,KI,52,240,28,41,122,0,1
BEL 48-0694,KI,112,556,97,68,279,0,2
WOD 45-3530,KI,125,692,139,98,364,0,2
BEL 48-0198,KI,147,846,129,99,375,0,0
KIR 48-2919,KI,69,412,76,62,207,0,0
BEL 48-0191,KI,55,300,43,48,146,0,0
BEL 48-0190,KI,65,443,52,75,192,0,0
BEL 48-0193,KI,83,407,63,58,205,0,1
BEL 48-0192,KI,94,364,57,56,207,0,0
CAMAS,KI,203,719,112,122,442,0,5
BEL 48-0194,KI,79,287,34,46,159,0,0
BEL 48-0196,KI,68,302,56,50,174,0,0
BOT 01-3398,KI,131,656,114,105,350,0,0
CLEVELAND,KI,67,344,72,73,212,0,0
HAPPY VALLEY,KI,34,141,21,27,82,0,0
RED 48-3147,KI,63,439,59,53,175,0,0
BEL 41-0815,KI,46,405,65,43,155,0,1
SNQ 05-3560,KI,101,502,78,84,263,0,0
ADAIR,KI,267,928,330,158,756,0,1
M-I 41-0790,KI,80,246,39,27,147,0,1
RATTLESNAKE,KI,66,605,139,125,333,0,3
ISS 05-3559,KI,210,907,161,158,529,0,0
SAM 41-0307,KI,107,525,84,98,291,0,2
KIR 01-0356,KI,221,816,144,151,516,0,0
RED 48-0938,KI,47,288,28,31,106,0,0
KIR 48-2915,KI,92,411,74,74,240,0,0
SAM 41-3654,KI,108,475,102,77,287,0,0
RED 48-3134,KI,53,351,70,57,181,0,1
KIR 45-2560,KI,106,705,118,83,308,0,1
BEL 41-0101,KI,127,502,73,72,272,0,0
RED 48-2789,KI,48,438,51,46,145,0,0
WOD 45-2734,KI,126,583,110,90,328,0,2
BEL 41-0102,KI,144,464,67,57,268,0,0
KIR 45-2423,KI,167,726,175,111,453,0,0
KIR 45-2421,KI,86,515,108,79,274,0,1
SAM 45-2791,KI,161,637,125,125,411,0,0
NEW 41-3681,KI,69,386,68,65,202,0,0
NEW 41-3528,KI,82,420,48,52,182,0,0
MILLIKIN,KI,177,650,134,109,422,0,2
WOD 45-3192,KI,79,352,73,58,211,0,1
WOD 45-3193,KI,53,462,78,78,209,0,0
PATTERSON,KI,147,861,192,164,505,0,2
RED 48-3391,KI,182,704,120,102,404,0,0
KIR 45-3640,KI,53,311,59,39,152,0,1
M-I 41-2445,KI,161,496,52,79,292,0,0
RED 45-2580,KI,116,384,83,63,262,0,0
CORWIN,KI,183,817,182,130,498,0,3
SAM 45-2965,KI,119,586,114,91,324,0,0
KIR 45-2924,KI,106,718,112,101,322,0,3
ISS 05-3145,KI,116,895,160,130,406,0,0
KIR 48-2863,KI,81,417,78,71,233,0,3
MARGERY,KI,123,762,138,99,360,0,0
AVONDALE,KI,61,293,54,53,169,0,1
BOT 01-3321,KI,75,430,132,86,293,0,0
M-I 41-2691,KI,73,516,75,53,202,0,1
BEL 48-0126,KI,81,354,60,56,198,0,1
BEL 41-2428,KI,137,739,106,108,351,0,0
BEL 41-2429,KI,204,836,145,100,449,0,0
KIR 48-2925,KI,96,498,96,90,284,0,2
BEL 41-2812,KI,63,350,64,53,180,0,0
RED 48-2966,KI,72,526,71,36,179,0,0
KIR 48-3196,KI,92,428,74,67,233,0,0
BOT 45-3620,KI,15,149,34,14,63,0,0
AMES LAKE,KI,123,810,180,141,445,0,1
BEL 41-2554,KI,151,645,97,95,343,0,0
HOLIDAY LAKE,KI,56,299,77,60,193,0,0
UNION HILL,KI,116,628,122,136,374,0,0
NEW 41-3228,KI,78,470,97,77,254,0,2
RED 45-0936,KI,88,476,117,68,275,0,2
ISS 05-2929,KI,133,562,94,111,341,0,3
WOD 45-1225,KI,90,478,113,75,279,0,1
EASTRIDGE,KI,166,818,157,151,474,0,0
BEL 41-0518,KI,83,266,49,40,172,0,0
M-I 41-0788,KI,123,372,46,65,234,0,0
COOPER,KI,82,473,106,89,278,0,1
KIR 48-2913,KI,118,700,133,81,337,0,5
KIR 48-2914,KI,135,723,145,119,399,0,0
CHERRY VALLEY,KI,85,514,115,104,304,0,0
BOT 01-3195,KI,69,510,126,55,250,0,0
BEL 48-0154,KI,61,258,57,35,157,0,4
BEL 41-0103,KI,142,535,99,68,310,0,1
BEL 48-0156,KI,136,659,128,89,354,0,1
BEL 48-0151,KI,91,409,67,73,232,0,1
BEL 48-0153,KI,57,314,65,37,160,0,1
BEL 41-0106,KI,83,457,80,65,229,0,1
BEL 41-0109,KI,56,325,47,36,139,0,0
BEL 41-0108,KI,100,440,65,65,230,0,0
ISS 05-3138,KI,118,435,94,75,287,0,0
BEL 48-0159,KI,100,533,104,69,273,0,0
BOT 01-2473,KI,70,481,134,51,256,0,1
RED 48-2449,KI,113,518,102,74,290,0,1
RED 48-2448,KI,108,544,123,84,316,0,1
WOD 45-0676,KI,118,502,103,83,304,0,0
ISS 41-2605,KI,97,434,81,62,240,0,0
ISS 41-2602,KI,99,817,155,124,379,0,1
BEL 41-2556,KI,166,656,109,103,378,0,0
ISS 41-2977,KI,44,397,54,39,137,0,0
KIR 48-0642,KI,81,430,76,96,253,0,0
KIR 48-0643,KI,51,314,40,48,141,0,2
KIR 48-0641,KI,99,370,57,65,221,0,0
KIR 48-0646,KI,109,511,114,82,305,0,0
SAM 41-2942,KI,137,726,116,132,385,0,0
KIR 48-0644,KI,141,716,105,146,393,0,1
KIR 48-0645,KI,48,230,38,40,127,0,1
