Row Label,County,Michael Finkle,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
RATTLESNAKE,KI,155,605,175,333,0,3
ISS 05-3559,KI,297,907,231,529,0,1
SAM 41-0307,KI,129,525,161,291,0,1
KIR 01-0356,KI,256,816,260,516,0,0
RED 48-0938,KI,51,288,55,106,0,0
KIR 48-2915,KI,117,411,123,240,0,0
SAM 41-3654,KI,156,475,131,287,0,0
RED 48-3134,KI,92,351,86,181,0,3
KIR 45-2560,KI,172,705,135,308,0,1
BEL 41-0101,KI,156,502,116,272,0,0
RED 48-2789,KI,83,438,62,145,0,0
WOD 45-2734,KI,179,583,148,328,0,1
BEL 41-0102,KI,144,464,124,268,0,0
KIR 45-2423,KI,259,726,194,453,0,0
KIR 45-2421,KI,141,515,130,274,0,3
SAM 45-2791,KI,226,637,185,411,0,0
NEW 41-3681,KI,99,386,103,202,0,0
NEW 41-3528,KI,100,420,82,182,0,0
MILLIKIN,KI,223,650,194,422,0,5
WOD 45-3192,KI,116,352,95,211,0,0
WOD 45-3193,KI,105,462,103,209,0,1
PATTERSON,KI,249,861,255,505,0,1
RED 48-3391,KI,226,704,177,404,0,1
KIR 45-3640,KI,86,311,64,152,0,2
M-I 41-2445,KI,147,496,145,292,0,0
RED 45-2580,KI,154,384,108,262,0,0
CORWIN,KI,232,817,262,498,0,4
SAM 45-2965,KI,167,586,156,324,0,1
KIR 45-2924,KI,172,718,148,322,0,2
ISS 05-3145,KI,219,895,185,406,0,2
KIR 48-2863,KI,115,417,116,233,0,2
MARGERY,KI,215,762,145,360,0,0
AVONDALE,KI,85,293,83,169,0,1
BOT 01-3321,KI,156,430,137,293,0,0
M-I 41-2691,KI,113,516,85,202,0,4
BEL 48-0126,KI,104,354,94,198,0,0
BEL 41-2428,KI,186,739,165,351,0,0
BEL 41-2429,KI,247,836,201,449,0,1
KIR 48-2925,KI,140,498,140,284,0,4
BEL 41-2812,KI,92,350,86,180,0,2
RED 48-2966,KI,115,526,64,179,0,0
KIR 48-3196,KI,108,428,125,233,0,0
BOT 45-3620,KI,32,149,31,63,0,0
AMES LAKE,KI,229,810,214,445,0,2
BEL 41-2554,KI,172,645,171,343,0,0
HOLIDAY LAKE,KI,103,299,90,193,0,0
UNION HILL,KI,182,628,189,374,0,3
NEW 41-3228,KI,134,470,115,254,0,5
RED 45-0936,KI,150,476,121,275,0,4
ISS 05-2929,KI,164,562,177,341,0,0
WOD 45-1225,KI,142,478,134,279,0,3
EASTRIDGE,KI,257,818,217,474,0,0
BEL 41-0518,KI,95,266,77,172,0,0
M-I 41-0788,KI,119,372,115,234,0,0
COOPER,KI,140,473,136,278,0,2
KIR 48-2913,KI,208,700,123,337,0,6
KIR 48-2914,KI,214,723,181,399,0,4
CHERRY VALLEY,KI,136,514,166,304,0,2
BOT 01-3195,KI,149,510,99,250,0,2
BEL 48-0154,KI,90,258,62,157,0,5
BEL 41-0103,KI,163,535,146,310,0,1
BEL 48-0156,KI,205,659,147,354,0,2
BEL 48-0151,KI,115,409,117,232,0,0
BEL 48-0153,KI,87,314,72,160,0,1
BEL 41-0106,KI,109,457,117,229,0,3
BEL 41-0109,KI,84,325,55,139,0,0
BEL 41-0108,KI,124,440,104,230,0,2
ISS 05-3138,KI,157,435,130,287,0,0
BEL 48-0159,KI,148,533,123,273,0,2
BOT 01-2473,KI,169,481,85,256,0,2
RED 48-2449,KI,157,518,130,290,0,3
RED 48-2448,KI,165,544,148,316,0,3
WOD 45-0676,KI,169,502,131,304,0,4
ISS 41-2605,KI,138,434,102,240,0,0
ISS 41-2602,KI,203,817,174,379,0,2
BEL 41-2556,KI,200,656,178,378,0,0
ISS 41-2977,KI,87,397,49,137,0,1
KIR 48-0642,KI,120,430,133,253,0,0
KIR 48-0643,KI,74,314,65,141,0,2
KIR 48-0641,KI,107,370,113,221,0,1
KIR 48-0646,KI,153,511,152,305,0,0
SAM 41-2942,KI,197,726,188,385,0,0
KIR 48-0644,KI,203,716,189,393,0,1
KIR 48-0645,KI,66,230,61,127,0,0
