Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Dan Satterberg
KEN 33-2443,KI,303,14,82,0,3,65
SEA 36-1294,KI,735,220,449,0,13,216
SEA 36-1295,KI,337,108,219,0,7,104
SEA 36-1296,KI,303,82,194,0,3,109
SEA 36-1297,KI,298,72,183,0,8,103
SHL 32-0474,KI,383,74,191,0,4,113
SEA 36-1292,KI,356,100,220,0,9,111
SEA 37-1646,KI,457,61,151,1,7,82
SEA 37-1647,KI,669,138,349,0,14,197
SEA 36-1768,KI,331,90,201,0,3,108
ELIZABETH,KI,601,82,273,0,4,187
DUV 45-3218,KI,840,128,454,0,3,323
SEA 37-1643,KI,682,85,228,0,4,139
SEA 36-1764,KI,264,68,185,0,7,110
SEA 36-1765,KI,274,79,178,0,2,97
SEA 36-1766,KI,401,99,216,0,5,112
SEA 36-1767,KI,551,122,242,0,7,113
SEA 36-1760,KI,300,74,195,0,3,118
CARPENTER,KI,434,134,242,0,4,104
SEA 36-1762,KI,306,81,207,0,4,122
SEA 36-1763,KI,312,83,196,0,4,109
SEA 34-3175,KI,357,109,235,0,3,123
SEAVIEW,KI,393,88,221,0,4,129
SHL 32-0514,KI,534,86,312,0,0,226
KIR 45-2423,KI,726,114,453,0,2,337
DOUGLAS,KI,568,103,337,0,6,228
KIR 45-2421,KI,515,83,274,0,6,185
MILLIKIN,KI,650,129,422,0,10,283
COV 47-0566,KI,724,77,308,0,3,228
SHL 32-0519,KI,422,57,182,0,4,121
SEA 36-2129,KI,691,131,326,0,13,182
SEA 36-2126,KI,722,191,419,0,7,221
SEA 36-2125,KI,620,145,357,0,18,194
SEA 36-2121,KI,443,107,216,0,6,103
SEA 36-2120,KI,413,143,273,0,6,124
AUB 31-0042,KI,509,62,240,0,6,172
AUB 31-0047,KI,574,61,264,0,4,199
SHL 32-0401,KI,419,87,282,0,0,195
AUB 31-0048,KI,210,23,78,0,2,53
HANSEN,KI,505,68,308,0,2,238
STEVENS,KI,197,43,124,0,8,73
SEA 37-1616,KI,351,109,207,0,4,94
KIR 45-2962,KI,453,57,208,0,4,147
SHL 32-0609,KI,370,65,184,0,4,115
VINCENT,KI,411,78,210,0,0,132
KIR 45-2730,KI,686,78,298,0,7,213
M-I 41-2691,KI,516,68,202,0,11,123
SEA 43-2987,KI,673,26,97,0,6,65
SHL 32-0605,KI,422,93,255,0,2,160
DES 33-0272,KI,414,57,239,0,5,177
LFP 46-2763,KI,276,64,186,0,0,122
SEA 37-1608,KI,559,153,293,0,16,124
HOLIDAY LAKE,KI,299,48,193,0,2,143
RED 45-0936,KI,476,87,275,0,11,177
OSCEOLA,KI,557,91,336,0,5,240
NEUWAUKUM,KI,356,57,199,0,4,138
KEN 47-0229,KI,695,79,296,0,2,215
RNT 11-0983,KI,525,72,215,0,5,138
BEL 41-0101,KI,502,82,272,0,2,188
BEL 41-0103,KI,535,78,310,0,3,229
BEL 41-0102,KI,464,87,268,0,7,174
BEL 41-0106,KI,457,69,229,0,6,154
BEL 41-0109,KI,325,47,139,0,1,91
M-V 05-2857,KI,703,127,394,0,6,261
CORWIN,KI,817,166,498,0,7,325
BUR 34-0489,KI,445,100,327,0,10,217
SEA 37-1899,KI,338,99,195,0,8,88
RNT 11-3404,KI,556,93,232,0,3,136
BUR 34-0311,KI,464,74,268,0,4,190
SEA 37-1891,KI,304,85,193,0,12,96
SEA 37-1890,KI,581,166,412,0,7,239
SEA 37-1893,KI,445,111,287,0,14,162
SEA 37-1892,KI,594,154,360,0,10,196
SEA 37-1895,KI,604,168,356,0,18,170
SEA 37-1894,KI,433,143,259,0,10,106
SEA 37-1897,KI,881,130,320,0,16,174
SEA 37-1896,KI,410,127,258,0,6,125
B-D 05-0239,KI,560,62,284,0,2,220
AUB 47-3585,KI,374,41,152,0,5,106
BUR 34-0465,KI,228,43,132,0,1,88
KMR 46-0340,KI,443,92,306,0,3,211
SAM 45-3293,KI,661,117,382,0,5,260
SAM 45-3298,KI,523,73,297,0,5,219
SEA 36-1815,KI,453,102,273,0,3,168
KIR 01-3678,KI,349,52,193,0,1,140
BUR 33-0701,KI,722,88,291,0,10,193
SHL 32-0861,KI,696,111,331,0,9,211
BEL 41-0211,KI,373,80,229,0,5,144
BEL 41-0210,KI,367,46,186,0,3,137
TIMBER,KI,664,111,358,0,6,241
BEL 41-0219,KI,623,87,264,0,5,172
SEA 43-1351,KI,561,154,315,0,12,149
SEA 43-1350,KI,265,68,133,0,3,62
KEN 47-3190,KI,693,76,241,0,5,160
SEA 43-1352,KI,608,160,322,0,8,154
SEA 43-1355,KI,401,101,244,0,10,133
SEA 43-1354,KI,435,108,240,0,8,124
SEA 43-1357,KI,355,74,192,0,10,108
SEA 43-1359,KI,518,136,291,0,11,144
SEA 43-1358,KI,418,100,224,0,8,116
RED 48-3208,KI,415,46,156,0,3,107
ISS 05-3527,KI,587,68,249,0,9,172
B-D 05-2413,KI,466,88,284,0,5,191
SEA 46-1952,KI,281,82,179,0,7,90
SEA 46-1953,KI,236,65,175,0,1,109
SEA 46-1954,KI,282,77,203,0,2,124
SEA 46-1955,KI,558,138,289,0,12,139
SEA 46-1957,KI,553,114,354,0,1,239
SEA 46-1959,KI,703,170,491,0,8,313
RED 48-3664,KI,594,89,243,0,9,145
KEN 47-3537,KI,557,64,249,0,0,185
DIANE,KI,0,0,0,0,0,0
BERNICE,KI,601,78,240,0,7,155
KEN 47-3447,KI,248,35,107,0,1,71
KEN 47-2667,KI,528,41,176,0,6,129
RNT 11-1008,KI,662,74,264,0,12,178
RNT 11-1007,KI,315,70,149,0,2,77
RNT 11-1006,KI,453,77,194,0,2,115
RNT 11-1004,KI,317,46,141,0,2,93
RNT 11-1002,KI,332,52,142,1,1,88
FED 30-3096,KI,550,86,249,0,5,158
FED 30-3097,KI,720,138,429,0,2,289
FED 30-3094,KI,595,70,277,0,9,198
FED 30-3095,KI,501,41,173,0,8,124
FED 30-3092,KI,631,55,213,0,7,151
FED 30-3093,KI,612,61,221,0,6,154
FED 30-3090,KI,356,55,198,0,0,143
FED 30-3091,KI,552,94,388,0,4,290
SEA 46-2326,KI,574,121,271,0,7,143
SEA 46-2327,KI,381,78,190,0,1,111
SEA 46-2324,KI,432,114,237,0,6,117
SEA 46-2325,KI,405,70,242,0,3,169
SEA 46-2322,KI,532,132,281,0,9,140
SEA 46-2323,KI,554,131,310,0,8,171
FED 30-3098,KI,528,75,252,0,3,174
LFP 46-0517,KI,445,123,273,0,8,142
CHERRY VALLEY,KI,514,97,304,0,4,203
ISABELLA,KI,660,123,409,0,6,280
KIR 01-3422,KI,546,80,266,0,1,185
SEA 34-1461,KI,399,97,268,0,9,162
SEA 34-1460,KI,324,91,209,0,3,115
SEA 34-1463,KI,259,65,178,0,6,107
SEA 34-1462,KI,339,83,199,0,1,115
SEA 34-1465,KI,372,84,251,0,6,161
SEA 34-1464,KI,359,114,245,0,3,128
SEA 34-1467,KI,551,139,339,0,7,193
SEA 34-1466,KI,303,73,179,0,8,98
RED 48-2629,KI,648,106,295,0,5,184
RED 48-2628,KI,472,66,211,0,10,135
BUR 34-1192,KI,591,136,397,0,4,257
SEA 34-1489,KI,744,152,338,0,9,177
SEA 34-1488,KI,692,110,284,0,11,163
SEA 34-1482,KI,321,70,180,0,4,106
SEA 34-1481,KI,479,94,227,0,8,125
SEA 34-1480,KI,594,143,339,0,17,179
SEA 34-1487,KI,335,74,205,0,4,127
SEA 34-1486,KI,364,91,201,0,4,106
SEA 34-1485,KI,708,117,307,0,4,186
SEA 34-1484,KI,345,75,180,0,6,99
RNT 05-3698,KI,52,7,27,0,1,19
BUR 34-0913,KI,599,64,225,0,3,158
MAPLE HILLS,KI,719,108,391,0,5,278
SEA 46-2319,KI,506,137,323,0,3,183
SPRINKLE,KI,107,24,66,0,1,41
RNT 37-0969,KI,0,0,0,0,0,0
KMR 46-1095,KI,785,125,421,0,3,293
SEA 43-1265,KI,256,66,148,0,4,78
RNT 37-0967,KI,503,83,236,0,12,141
KEN 33-2618,KI,795,75,306,0,5,226
KEN 47-2485,KI,616,73,288,0,8,207
SEA 43-1264,KI,361,116,248,0,7,125
RNT 11-0719,KI,243,37,134,0,2,95
SEA 43-1267,KI,386,125,264,0,8,131
SHL 32-0319,KI,284,53,141,0,3,85
SEA 34-1534,KI,362,105,238,0,1,132
TOTEM,KI,70,13,31,0,0,18
FED 30-3078,KI,402,49,218,0,3,166
FED 30-3079,KI,508,53,260,0,5,202
ISS 41-2733,KI,843,144,462,0,12,306
DES 33-0911,KI,515,57,224,0,4,163
KIR 45-3109,KI,469,71,230,0,6,153
KIR 45-3450,KI,251,44,125,0,1,80
FED 30-3077,KI,339,60,202,0,3,139
AUB 47-0671,KI,785,86,329,0,1,242
SET 33-3059,KI,683,56,205,0,9,140
KEN 33-3670,KI,288,28,120,0,0,92
KINGLET,KI,532,76,227,0,2,149
SAM 45-3454,KI,233,32,116,0,0,84
DES 33-0682,KI,444,44,241,0,2,195
SEA 36-1751,KI,368,89,212,0,0,123
SEA 36-1750,KI,493,131,296,0,6,159
PIPELINE,KI,153,24,82,0,4,54
SEA 36-1752,KI,437,112,244,0,7,125
SEA 36-1755,KI,272,68,158,0,2,88
SEA 36-1754,KI,387,118,252,0,7,127
BOT 01-3661,KI,528,72,245,0,6,167
SEA 36-1756,KI,682,159,393,0,8,226
DES 33-2820,KI,393,51,164,0,4,109
SEA 36-1758,KI,351,91,246,0,6,149
SEA 43-2043,KI,292,97,193,0,7,89
SEA 43-2044,KI,350,92,186,0,6,88
SEA 43-2045,KI,315,79,189,0,6,104
SEA 43-2047,KI,662,201,403,0,13,189
MORGAN,KI,631,91,305,0,6,208
M-I 41-0787,KI,333,72,182,0,2,108
SNQ 05-3409,KI,787,101,399,0,2,296
MERRIHILL,KI,687,93,324,0,19,212
SHL 32-1021,KI,550,102,309,0,7,200
SHL 32-1020,KI,341,54,178,0,4,120
KMR 46-2462,KI,258,64,164,0,5,95
SEA 36-2149,KI,367,123,261,0,5,133
SEA 36-2134,KI,490,111,266,0,8,147
BROOKTRAILS,KI,564,134,347,0,3,210
SEA 36-2130,KI,388,110,243,0,6,127
SEA 36-2131,KI,851,209,453,0,5,239
SEA 36-2133,KI,698,155,348,0,11,182
RED 48-0942,KI,402,87,258,0,4,167
COUGAR MTN,KI,8,1,8,0,3,4
SEA 46-1312,KI,326,84,181,0,6,91
SEA 46-1313,KI,280,66,168,0,3,99
DES 33-0864,KI,317,68,204,0,3,133
SEA 46-1311,KI,427,95,198,0,7,96
SEA 46-1314,KI,330,105,210,0,1,104
KEN 47-0439,KI,585,87,309,0,4,218
SEA 36-1808,KI,275,54,156,0,9,93
SAM 41-2813,KI,567,101,337,0,2,234
M-V 05-3461,KI,779,76,352,0,7,269
SEA 36-1805,KI,473,112,239,0,3,124
SEA 36-1806,KI,598,119,281,0,8,154
SEA 36-1801,KI,896,169,391,0,10,212
SEA 36-1803,KI,298,79,178,0,1,98
RED 45-3584,KI,449,95,259,0,1,163
RED 48-0944,KI,375,70,217,0,4,143
SEA 36-3669,KI,349,75,157,0,7,75
ENM 31-3248,KI,732,136,442,0,2,304
ENM 31-3247,KI,682,86,323,0,6,231
ENM 31-3246,KI,264,39,127,0,6,82
KIR 45-2722,KI,626,85,296,0,2,209
YPT 48-1234,KI,411,80,250,0,1,169
YPT 48-1233,KI,401,47,226,0,0,179
ALDER SPRINGS,KI,550,106,349,0,3,240
SEA 36-2592,KI,352,111,205,0,8,86
EARLINGTON,KI,357,62,150,0,7,81
SEA 36-2590,KI,364,93,213,0,11,109
KEN 05-3375,KI,0,0,0,0,0,0
KIR 01-2767,KI,573,118,359,0,4,237
KIR 01-2762,KI,618,88,308,0,4,216
KIR 01-2768,KI,624,133,383,0,6,244
SHL 32-0897,KI,446,83,233,0,5,145
KEN 33-0603,KI,649,103,347,0,5,239
RED 48-0951,KI,379,76,223,0,4,143
RED 48-0950,KI,444,79,214,0,2,133
RED 48-0953,KI,758,130,418,0,3,285
RED 48-0952,KI,311,53,160,0,1,106
KELLY,KI,375,60,189,0,0,129
DUV 45-3219,KI,548,97,298,0,5,196
KEN 47-0238,KI,723,88,349,0,7,254
BEL 41-0116,KI,290,42,111,0,2,67
BEL 41-0117,KI,263,41,140,0,1,98
BEL 41-0114,KI,459,89,292,0,6,197
BEL 41-0112,KI,712,100,358,0,6,252
BEL 41-0113,KI,255,53,158,0,1,104
BEL 41-0110,KI,571,80,257,0,5,172
BEL 41-0111,KI,544,84,330,0,3,243
BEL 41-3312,KI,796,142,489,0,3,344
SEA 43-1784,KI,500,133,308,0,10,165
BEL 41-0119,KI,295,53,197,0,1,143
WELCOME LAKE,KI,735,126,578,0,4,448
SEA 34-1545,KI,422,90,224,0,6,128
SEA 36-3267,KI,548,87,219,0,7,125
SEA 37-1886,KI,523,136,293,0,9,148
CANDLEWOOD,KI,412,45,120,0,4,71
SEA 37-1885,KI,398,113,223,0,16,94
SEA 37-1882,KI,395,78,193,0,9,106
SEA 37-1883,KI,423,95,204,0,13,96
SEA 37-1880,KI,514,136,276,1,18,121
SEA 37-1881,KI,396,99,188,0,7,82
AUB 47-3591,KI,445,51,206,0,2,153
SEA 43-1780,KI,350,81,208,0,4,123
SEA 43-1781,KI,326,70,164,0,6,88
ELSIE,KI,726,125,393,0,4,264
SELLECK,KI,784,112,420,0,4,304
BEL 41-0203,KI,688,115,410,0,5,290
M-V 05-3482,KI,870,110,441,0,6,325
SEA 46-2370,KI,428,50,137,1,6,80
BUR 33-0289,KI,412,51,188,0,5,132
BEL 41-0205,KI,288,51,171,0,4,116
DIPPER,KI,675,102,346,0,6,238
BOT 01-3271,KI,431,75,229,0,2,152
SHL 32-0819,KI,411,77,211,0,4,130
SEA 36-1299,KI,425,110,260,0,7,143
SEA 43-1347,KI,726,206,435,0,10,219
SEA 43-1344,KI,452,152,292,0,6,134
NEW 41-3261,KI,503,62,267,0,11,194
SEA 43-1342,KI,366,98,237,0,2,137
BUR 34-1219,KI,530,104,345,0,3,238
SEA 43-1341,KI,499,138,351,0,5,208
WOD 45-2769,KI,748,146,444,0,5,293
SALAL,KI,359,73,225,0,1,151
SEA 43-1349,KI,359,128,231,0,5,98
SHL 32-0470,KI,413,94,258,0,7,157
B-D 05-2407,KI,838,110,447,0,4,333
SEA 46-1965,KI,292,78,190,0,2,110
BEL 48-1049,KI,344,54,215,0,3,158
SEA 46-1967,KI,497,142,320,0,6,172
SEA 46-1966,KI,234,60,144,0,4,80
SEA 46-1961,KI,272,69,182,0,1,112
SEA 46-1963,KI,278,81,152,0,2,69
SEA 36-2116,KI,299,98,202,0,6,98
PRESTON,KI,661,109,383,0,7,267
SEA 46-1969,KI,278,73,169,0,3,93
SEA 11-1641,KI,539,68,183,0,5,110
SEA 36-3319,KI,867,162,365,0,12,191
SEA 36-3318,KI,680,204,428,0,21,203
BUR 34-0295,KI,479,93,269,0,8,168
LYNX,KI,531,71,276,0,3,202
SHL 32-0921,KI,260,63,176,1,2,110
BUR 34-0298,KI,668,97,322,0,6,219
SEA 36-3317,KI,595,175,383,0,15,193
SEA 43-2853,KI,440,103,206,0,3,100
SEA 43-2852,KI,501,106,226,0,5,115
RANCH,KI,444,51,233,0,1,181
SEA 43-2113,KI,393,59,140,0,10,71
RNT 11-1015,KI,443,71,194,0,5,118
RNT 11-1011,KI,881,132,391,0,13,246
KEN 47-3275,KI,854,87,288,0,2,199
COTTAGE LAKE,KI,452,53,228,0,3,172
KIR 45-3668,KI,428,58,206,0,8,140
SEA 43-2058,KI,247,57,150,0,2,91
SHANGRI-LA,KI,394,56,233,0,6,171
SEA 37-1640,KI,738,116,293,0,5,172
RIVERSIDE,KI,396,66,220,0,2,152
SEA 43-1861,KI,750,227,432,0,14,191
LISABEULA,KI,467,161,309,0,6,142
SHL 32-0407,KI,661,111,386,0,5,270
LEAH,KI,661,98,319,0,4,217
HI-VALLEY,KI,829,134,542,0,8,400
RED 48-2636,KI,451,72,256,0,1,183
SEA 34-1477,KI,307,96,200,0,7,97
RED 48-2634,KI,389,66,231,0,2,163
RED 48-2635,KI,387,68,224,0,3,153
RED 48-2632,KI,225,51,130,0,0,79
RED 48-2633,KI,626,119,375,0,6,250
RED 48-2630,KI,394,73,257,0,4,180
SEA 34-1471,KI,492,139,305,1,6,159
SEA 34-1478,KI,253,62,163,0,5,96
SEA 34-1479,KI,313,73,200,0,11,116
SEA 43-2050,KI,442,87,222,0,17,118
HAAS,KI,303,71,199,0,5,123
SEA 36-1761,KI,309,88,193,0,5,100
SEA 34-1498,KI,668,120,330,0,11,199
SEA 34-1499,KI,483,130,289,0,9,150
SEA 43-2055,KI,322,59,113,0,6,48
SEA 34-1490,KI,437,92,235,0,10,133
SEA 34-1493,KI,722,121,320,0,8,191
SEA 34-1494,KI,536,112,265,0,4,149
SEA 34-1496,KI,826,170,389,0,10,209
RED 48-3548,KI,292,42,145,0,7,96
SEA 46-2267,KI,518,107,241,0,7,127
SEA 46-2266,KI,494,96,288,0,5,187
SEA 46-2264,KI,768,215,487,0,8,264
GRANDVIEW,KI,16,3,8,0,0,5
SEA 46-2261,KI,256,70,175,0,0,105
SEA 46-2260,KI,722,233,511,0,10,268
SILVER SPURS,KI,18,2,10,0,0,8
SNO PASS,KI,208,48,131,0,4,79
SEA 46-2269,KI,305,73,197,0,4,120
SEA 46-2268,KI,330,90,205,0,2,113
KEN 47-2477,KI,535,65,361,0,2,294
RNT 37-0991,KI,619,90,250,0,10,150
RNT 37-0999,KI,760,121,343,0,10,212
KEN 47-2708,KI,485,68,226,0,2,156
KEN 47-2709,KI,839,102,407,0,6,299
ISS 41-2692,KI,382,72,215,0,1,142
KEN 47-2704,KI,773,97,430,0,5,328
SAM 41-3214,KI,435,82,241,0,4,155
SAM 41-3215,KI,814,107,348,0,5,236
BLACK RIVER,KI,320,26,77,0,2,49
KEN 47-2490,KI,673,89,331,0,5,237
SEA 46-2313,KI,538,89,248,0,5,154
DES 30-0954,KI,745,120,415,0,6,289
DUTHIE HILL,KI,356,62,208,0,0,146
SEA 46-2311,KI,451,112,256,0,7,137
MARIAN,KI,776,104,323,0,5,214
BEL 41-2782,KI,183,24,81,0,0,57
FED 30-3289,KI,819,90,368,0,4,274
SEA 46-2310,KI,386,115,277,0,6,156
RNT 37-1000,KI,532,51,142,0,2,89
FED 30-3049,KI,430,28,168,0,2,138
FED 30-3048,KI,634,47,187,0,4,136
FED 30-3045,KI,637,77,253,0,4,172
FED 30-3044,KI,657,60,326,0,2,264
FED 30-3047,KI,492,64,236,0,10,162
FED 30-3046,KI,397,47,188,0,3,138
FED 30-3041,KI,326,49,158,0,3,106
FED 30-3040,KI,432,34,146,0,8,104
FED 30-3043,KI,631,65,261,0,7,189
FED 30-3042,KI,251,48,166,0,3,115
KEN 47-0753,KI,622,64,249,0,6,179
SAM 41-3508,KI,685,87,337,0,2,248
KEN 33-3644,KI,486,59,213,0,5,149
BEL 48-3292,KI,401,70,244,0,2,172
SHL 32-0494,KI,468,92,252,0,9,151
SHL 32-0499,KI,462,61,288,0,4,223
SEA 46-2318,KI,277,80,188,0,6,102
SAM 41-3506,KI,455,66,234,0,7,161
SAM 41-3507,KI,708,86,314,0,4,224
SEA 36-1746,KI,313,59,203,0,3,141
SEA 36-1747,KI,296,90,195,0,2,103
SEA 36-1744,KI,393,111,228,0,1,116
SEA 36-1742,KI,296,69,185,0,2,114
SEA 36-1743,KI,391,80,206,0,1,125
SEA 36-1740,KI,323,90,208,0,9,109
SEA 36-1741,KI,325,87,207,0,0,120
SEA 43-2075,KI,458,85,163,0,1,77
SEA 43-2074,KI,564,172,316,0,6,138
SEA 43-2076,KI,403,56,137,0,7,74
SEA 43-2071,KI,371,111,260,0,10,139
SEA 36-1748,KI,261,75,169,0,3,91
SEA 36-1749,KI,681,172,370,0,10,188
KEN 47-1170,KI,412,49,180,0,1,130
BEL 48-2430,KI,486,85,290,0,5,200
BEL 48-2432,KI,403,82,225,0,2,141
BEL 48-2434,KI,394,95,259,0,3,161
MCDIVITT,KI,57,8,32,0,2,22
SEA 43-1887,KI,648,172,365,0,17,176
SEA 43-1889,KI,483,132,288,0,13,143
SEA 43-1888,KI,633,178,373,0,14,181
SEA 34-1430,KI,322,73,190,0,1,116
SHL 32-1030,KI,301,54,144,0,2,88
CHURCHILL,KI,425,102,262,0,3,157
KEN 33-2864,KI,463,71,243,0,2,170
SEA 43-1779,KI,377,59,147,0,5,83
NEW 41-1115,KI,633,95,340,0,8,237
SEA 36-1324,KI,779,232,477,0,12,233
SEA 36-1325,KI,465,103,246,0,8,135
CARRIAGE,KI,399,63,230,0,4,163
SEA 36-1320,KI,362,99,234,0,4,131
SEA 36-1321,KI,416,118,258,0,11,129
SEA 36-1322,KI,479,148,286,0,11,127
SEA 36-1323,KI,401,118,243,0,4,121
COLLEEN,KI,488,96,304,0,5,203
SEA 36-1328,KI,756,185,390,0,11,194
SEA 36-1329,KI,410,117,254,0,9,128
SEA 36-1812,KI,469,101,251,0,8,142
SEA 36-1813,KI,330,69,174,0,8,97
SEA 36-1816,KI,303,62,172,0,6,104
SEA 46-2299,KI,393,109,229,0,8,112
SAM 41-0100,KI,667,108,362,0,6,248
OVERDALE,KI,12,0,9,0,0,9
SEA 43-2238,KI,813,246,539,0,7,286
SEA 36-3679,KI,314,55,137,0,3,79
SHL 32-0665,KI,414,81,218,0,5,132
TUK 11-1165,KI,752,128,340,0,16,196
ARIA,KI,428,69,239,0,6,164
SET 33-3081,KI,738,84,269,3,10,172
RNT 11-2739,KI,274,42,140,0,5,93
RED 48-0948,KI,246,41,124,0,4,79
RED 48-0949,KI,433,71,234,0,2,161
ISS 05-3649,KI,404,61,188,0,3,124
RED 48-0940,KI,399,75,258,0,2,181
RED 48-0941,KI,331,71,205,0,1,133
RED 48-0947,KI,360,78,215,0,2,135
KIR 01-2595,KI,495,80,239,0,8,151
RED 48-0945,KI,453,74,245,0,3,168
KEN 47-0246,KI,479,70,261,0,4,187
SEA 37-1591,KI,360,126,249,0,6,117
RED MILL,KI,418,74,217,0,5,138
SEA 37-1592,KI,634,159,361,0,21,181
SEA 36-2535,KI,566,111,291,0,11,169
BEL 41-0475,KI,262,40,149,0,2,107
SHL 32-0711,KI,337,77,208,0,2,129
SEA 37-1593,KI,470,105,254,0,18,131
BEL 41-3658,KI,305,37,115,0,2,76
BEL 41-0472,KI,522,97,303,0,6,200
SAM 45-2450,KI,548,75,325,0,5,245
MIDDLE FORK,KI,383,64,214,0,6,144
BEL 41-3657,KI,353,50,189,0,4,135
SEA 37-1872,KI,581,146,359,0,16,197
SEA 37-1871,KI,629,198,389,0,11,180
SEA 43-1868,KI,353,114,233,0,7,112
SEA 37-1876,KI,766,230,444,0,19,195
SEA 37-1875,KI,525,138,288,0,12,138
SAM 45-2693,KI,796,124,414,0,9,281
SEA 43-1862,KI,476,111,234,0,9,114
SEA 37-1879,KI,839,198,424,0,16,210
SEA 43-1860,KI,745,181,368,0,20,167
SEA 43-1867,KI,546,147,299,0,14,138
STAR LAKE,KI,325,52,182,0,1,129
RNT 11-3604,KI,591,81,234,0,0,153
KIR 45-0623,KI,378,73,229,0,8,148
KIR 45-0622,KI,390,66,214,0,6,142
KIR 45-0620,KI,552,113,340,0,3,224
KIR 45-0627,KI,628,147,376,0,4,225
RNT 11-3609,KI,461,64,173,0,3,106
KIR 45-0624,KI,793,151,501,0,5,345
DUV 45-3642,KI,443,80,249,0,7,162
DES 33-1128,KI,289,49,174,0,6,119
EAGLE,KI,3,0,0,0,0,0
BUR 33-0729,KI,864,95,320,2,11,212
MEADOWBROOK,KI,300,58,173,0,1,114
SWEENEY,KI,575,116,341,0,6,219
SHL 32-0088,KI,258,40,121,0,4,77
KIR 01-2759,KI,695,110,359,0,4,245
RUDDELL,KI,397,56,214,0,3,155
SHL 32-0802,KI,452,59,194,0,6,129
BEL 41-3278,KI,290,62,172,0,1,109
SEA 43-1406,KI,398,89,264,0,8,167
WOD 45-2597,KI,647,97,350,0,2,251
FOX,KI,434,63,247,0,3,181
KIR 48-2925,KI,498,94,284,0,2,188
LAKE ALICE,KI,519,105,295,0,3,187
M-V 05-2614,KI,831,105,422,0,6,311
SEA 46-1971,KI,325,65,200,0,2,133
RNT 11-3287,KI,705,101,338,0,9,228
SEA 46-1977,KI,321,62,217,0,3,152
SEA 46-1974,KI,415,101,269,0,5,163
AUB 31-0049,KI,450,53,195,0,5,137
SEA 34-1245,KI,466,99,244,0,6,139
SEA 34-1247,KI,461,69,202,0,6,127
SEA 34-1246,KI,355,65,203,0,4,134
SEA 34-1249,KI,551,96,241,0,10,135
SEA 34-1248,KI,407,73,209,0,3,133
NPK 33-2645,KI,335,61,219,0,2,156
NPK 33-2644,KI,287,54,204,0,4,146
NPK 33-2646,KI,587,109,341,0,3,229
SEA 32-2203,KI,758,199,422,0,11,212
BUR 34-0281,KI,0,0,0,0,0,0
BEL 41-0658,KI,403,67,220,0,3,150
BEL 41-0305,KI,484,58,218,0,3,157
SEA 36-1693,KI,308,51,189,0,3,135
SEA 43-3628,KI,536,115,290,0,11,164
RED 48-3313,KI,667,113,384,0,4,267
RED 48-3316,KI,344,42,154,0,7,105
BUR 34-1082,KI,307,65,215,0,1,149
CORNELL,KI,557,131,316,0,12,173
RED 48-2790,KI,592,120,323,0,5,198
BUR 34-0848,KI,421,93,261,0,4,164
KIR 45-3612,KI,211,29,116,0,1,86
SEA 46-2375,KI,312,88,210,0,2,120
FED 30-3036,KI,342,47,148,0,3,98
AUB 31-3335,KI,732,100,351,0,5,246
KEN 47-3184,KI,776,88,384,0,4,292
SEA 37-3567,KI,408,51,130,0,9,70
BRIAR,KI,521,79,283,0,2,202
COV 47-2711,KI,536,74,255,0,4,177
NEW 41-3528,KI,420,38,182,0,0,144
BUR 34-1150,KI,365,70,249,0,0,179
TUK 11-3127,KI,280,34,109,0,3,72
SEA 46-2274,KI,256,75,167,0,2,90
SEA 46-2275,KI,127,38,71,0,3,30
SEA 46-2276,KI,382,112,250,0,5,133
SEA 46-2277,KI,568,181,368,0,9,178
SEA 46-2270,KI,290,83,202,0,1,118
SEA 46-2271,KI,476,142,319,0,8,169
SEA 46-2272,KI,367,112,247,0,5,130
M-V 05-3272,KI,878,103,436,0,12,321
HOLM LAKE,KI,710,104,415,0,3,308
COV 47-2390,KI,505,48,204,0,7,149
SEA 37-3696,KI,49,8,18,0,0,10
SEA 37-3693,KI,0,0,0,0,0,0
CADDIS,KI,366,59,211,0,3,149
SHL 32-0396,KI,767,125,401,0,12,264
SEA 37-1557,KI,343,47,124,0,8,69
SEA 43-2541,KI,268,56,115,0,6,53
KEN 11-3331,KI,456,54,166,0,3,109
SHL 32-0606,KI,364,54,183,0,4,125
RNT 11-0738,KI,444,53,141,0,7,81
ENM 05-3414,KI,0,0,0,0,0,0
STILLWATER,KI,523,79,292,0,6,207
FED 30-3052,KI,494,53,243,0,4,186
FED 30-3053,KI,472,72,218,0,8,138
FED 30-3050,KI,222,35,98,0,3,60
FED 30-3051,KI,400,38,152,0,2,112
FED 30-3056,KI,323,50,166,1,2,113
FED 30-3054,KI,386,49,168,0,2,117
FED 30-3055,KI,575,75,280,0,4,201
SHL 32-0486,KI,298,72,185,0,4,109
DES 33-0668,KI,273,43,123,0,2,78
SEA 43-2061,KI,476,105,207,0,9,93
SEA 43-2064,KI,370,75,148,0,9,64
SEA 43-2065,KI,547,91,179,0,9,79
SEA 43-2068,KI,425,89,191,0,6,96
SEA 36-2164,KI,310,97,215,0,5,113
BEAR CREEK,KI,452,90,275,0,7,178
KMR 46-0473,KI,438,87,253,0,10,156
SEA 37-1825,KI,704,126,296,0,8,162
SEA 36-1382,KI,374,105,233,0,5,123
