Row Label,County,Mary E. Fairhurst,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KEN 33-2443,KI,64,303,18,82,0,0
SEA 36-1294,KI,222,735,226,449,0,1
SEA 36-1295,KI,116,337,98,219,0,5
SEA 36-1296,KI,110,303,83,194,0,1
SEA 36-1297,KI,97,298,85,183,0,1
SHL 32-0474,KI,102,383,87,191,1,1
SEA 36-1292,KI,128,356,89,220,0,3
SEA 37-1646,KI,104,457,46,151,1,0
SEA 37-1647,KI,201,669,143,349,0,5
SEA 36-1768,KI,104,331,97,201,0,0
ELIZABETH,KI,156,601,116,273,0,1
DUV 45-3218,KI,263,840,191,454,0,0
SEA 37-1643,KI,138,682,87,228,0,3
SEA 36-1764,KI,114,264,70,185,0,1
SEA 36-1765,KI,96,274,82,178,0,0
SEA 36-1766,KI,117,401,97,216,0,2
SEA 36-1767,KI,127,551,111,242,0,4
SEA 36-1760,KI,109,300,85,195,0,1
CARPENTER,KI,115,434,126,242,0,1
SEA 36-1762,KI,105,306,99,207,0,3
SEA 36-1763,KI,112,312,80,196,1,3
SEA 34-3175,KI,123,357,111,235,0,1
SEAVIEW,KI,121,393,97,221,0,3
SHL 32-0514,KI,153,534,158,312,0,1
KIR 45-2423,KI,289,726,164,453,0,0
DOUGLAS,KI,179,568,153,337,0,5
KIR 45-2421,KI,145,515,125,274,0,4
MILLIKIN,KI,237,650,175,422,0,10
COV 47-0566,KI,182,724,123,308,0,3
SHL 32-0519,KI,110,422,71,182,0,1
SEA 36-2129,KI,198,691,123,326,0,5
SEA 36-2126,KI,225,722,191,419,0,3
SEA 36-2125,KI,209,620,144,357,0,4
SEA 36-2121,KI,118,443,95,216,0,3
SEA 36-2120,KI,156,413,116,273,0,1
AUB 31-0042,KI,141,509,98,240,0,1
AUB 31-0047,KI,176,574,85,264,0,3
SHL 32-0401,KI,170,419,112,282,0,0
AUB 31-0048,KI,47,210,30,78,0,1
HANSEN,KI,176,505,131,308,0,1
STEVENS,KI,56,197,59,124,0,9
SEA 37-1616,KI,105,351,101,207,0,1
KIR 45-2962,KI,141,453,65,208,0,2
SHL 32-0609,KI,110,370,73,184,0,1
VINCENT,KI,106,411,104,210,0,0
KIR 45-2730,KI,186,686,110,298,0,2
M-I 41-2691,KI,122,516,74,202,0,6
SEA 43-2987,KI,59,673,38,97,0,0
SHL 32-0605,KI,139,422,115,255,0,1
DES 33-0272,KI,144,414,92,239,0,3
LFP 46-2763,KI,107,276,77,186,0,2
SEA 37-1608,KI,159,559,131,293,0,3
HOLIDAY LAKE,KI,109,299,83,193,0,1
RED 45-0936,KI,161,476,109,275,0,5
OSCEOLA,KI,182,557,150,336,0,4
NEUWAUKUM,KI,102,356,96,199,0,1
KEN 47-0229,KI,187,695,108,296,0,1
RNT 11-0983,KI,136,525,76,215,0,3
BEL 41-0101,KI,181,502,90,272,0,1
BEL 41-0103,KI,173,535,136,310,0,1
BEL 41-0102,KI,151,464,117,268,0,0
BEL 41-0106,KI,121,457,103,229,0,5
BEL 41-0109,KI,90,325,49,139,0,0
M-V 05-2857,KI,202,703,188,394,0,4
CORWIN,KI,273,817,221,498,0,4
BUR 34-0489,KI,176,445,149,327,0,2
SEA 37-1899,KI,108,338,86,195,0,1
RNT 11-3404,KI,130,556,101,232,0,1
BUR 34-0311,KI,182,464,85,268,0,1
SEA 37-1891,KI,104,304,89,193,0,0
SEA 37-1890,KI,232,581,179,412,0,1
SEA 37-1893,KI,187,445,97,287,0,3
SEA 37-1892,KI,225,594,134,360,0,1
SEA 37-1895,KI,180,604,174,356,0,2
SEA 37-1894,KI,120,433,135,259,0,4
SEA 37-1897,KI,199,881,116,320,0,5
SEA 37-1896,KI,142,410,115,258,0,1
B-D 05-0239,KI,170,560,114,284,0,0
AUB 47-3585,KI,100,374,52,152,0,0
BUR 34-0465,KI,72,228,60,132,0,0
KMR 46-0340,KI,174,443,131,306,0,1
SAM 45-3293,KI,213,661,167,382,0,2
SAM 45-3298,KI,175,523,118,297,0,4
SEA 36-1815,KI,182,453,91,273,0,0
KIR 01-3678,KI,117,349,75,193,0,1
BUR 33-0701,KI,187,722,100,291,0,4
SHL 32-0861,KI,221,696,105,331,0,5
BEL 41-0211,KI,128,373,96,229,0,5
BEL 41-0210,KI,103,367,82,186,0,1
TIMBER,KI,210,664,144,358,0,4
BEL 41-0219,KI,157,623,104,264,0,3
SEA 43-1351,KI,162,561,152,315,0,1
SEA 43-1350,KI,69,265,63,133,0,1
KEN 47-3190,KI,144,693,94,241,0,3
SEA 43-1352,KI,180,608,141,322,0,1
SEA 43-1355,KI,149,401,92,244,0,3
SEA 43-1354,KI,132,435,107,240,0,1
SEA 43-1357,KI,116,355,74,192,0,2
SEA 43-1359,KI,168,518,120,291,0,3
SEA 43-1358,KI,116,418,104,224,0,4
RED 48-3208,KI,98,415,57,156,0,1
ISS 05-3527,KI,161,587,86,249,0,2
B-D 05-2413,KI,147,466,133,284,0,4
SEA 46-1952,KI,85,281,94,179,0,0
SEA 46-1953,KI,109,236,65,175,0,1
SEA 46-1954,KI,108,282,94,203,0,1
SEA 46-1955,KI,174,558,114,289,0,1
SEA 46-1957,KI,205,553,148,354,0,1
SEA 46-1959,KI,276,703,210,491,0,5
RED 48-3664,KI,137,594,102,243,0,4
KEN 47-3537,KI,144,557,104,249,0,1
DIANE,KI,0,0,0,0,0,0
BERNICE,KI,171,601,68,240,0,1
KEN 47-3447,KI,66,248,40,107,0,1
KEN 47-2667,KI,122,528,51,176,0,3
RNT 11-1008,KI,151,662,108,264,0,5
RNT 11-1007,KI,68,315,80,149,0,1
RNT 11-1006,KI,106,453,86,194,0,2
RNT 11-1004,KI,76,317,65,141,0,0
RNT 11-1002,KI,81,332,59,142,1,1
FED 30-3096,KI,142,550,102,249,0,5
FED 30-3097,KI,255,720,171,429,0,3
FED 30-3094,KI,166,595,106,277,0,5
FED 30-3095,KI,114,501,56,173,0,3
FED 30-3092,KI,146,631,62,213,0,5
FED 30-3093,KI,143,612,76,221,0,2
FED 30-3090,KI,115,356,82,198,0,1
FED 30-3091,KI,247,552,140,388,0,1
SEA 46-2326,KI,139,574,132,271,0,0
SEA 46-2327,KI,109,381,81,190,0,0
SEA 46-2324,KI,129,432,105,237,0,3
SEA 46-2325,KI,156,405,84,242,0,2
SEA 46-2322,KI,155,532,123,281,0,3
SEA 46-2323,KI,160,554,147,310,0,3
FED 30-3098,KI,142,528,108,252,0,2
LFP 46-0517,KI,133,445,138,273,0,2
CHERRY VALLEY,KI,140,514,160,304,0,4
ISABELLA,KI,252,660,153,409,0,4
KIR 01-3422,KI,156,546,108,266,0,2
SEA 34-1461,KI,149,399,116,268,0,3
SEA 34-1460,KI,102,324,105,209,0,2
SEA 34-1463,KI,92,259,85,178,0,1
SEA 34-1462,KI,90,339,109,199,0,0
SEA 34-1465,KI,151,372,99,251,0,1
SEA 34-1464,KI,122,359,121,245,0,2
SEA 34-1467,KI,177,551,161,339,0,1
SEA 34-1466,KI,97,303,80,179,0,2
RED 48-2629,KI,174,648,117,295,0,4
RED 48-2628,KI,132,472,77,211,0,2
BUR 34-1192,KI,216,591,179,397,0,2
SEA 34-1489,KI,190,744,147,338,0,1
SEA 34-1488,KI,160,692,123,284,0,1
SEA 34-1482,KI,103,321,76,180,0,1
SEA 34-1481,KI,135,479,89,227,0,3
SEA 34-1480,KI,204,594,135,339,0,0
SEA 34-1487,KI,122,335,80,205,0,3
SEA 34-1486,KI,113,364,86,201,0,2
SEA 34-1485,KI,197,708,107,307,0,3
SEA 34-1484,KI,107,345,71,180,0,2
RNT 05-3698,KI,19,52,8,27,0,0
BUR 34-0913,KI,151,599,72,225,0,2
MAPLE HILLS,KI,235,719,154,391,0,2
SEA 46-2319,KI,163,506,160,323,0,0
SPRINKLE,KI,37,107,29,66,0,0
RNT 37-0969,KI,0,0,0,0,0,0
KMR 46-1095,KI,247,785,170,421,0,4
SEA 43-1265,KI,75,256,71,148,0,2
RNT 37-0967,KI,151,503,83,236,0,2
KEN 33-2618,KI,198,795,106,306,0,2
KEN 47-2485,KI,192,616,94,288,0,2
SEA 43-1264,KI,129,361,118,248,0,1
RNT 11-0719,KI,83,243,50,134,0,1
SEA 43-1267,KI,150,386,112,264,0,2
SHL 32-0319,KI,81,284,59,141,0,1
SEA 34-1534,KI,117,362,121,238,0,0
TOTEM,KI,13,70,14,31,0,4
FED 30-3078,KI,139,402,75,218,0,4
FED 30-3079,KI,166,508,90,260,0,4
ISS 41-2733,KI,263,843,191,462,0,8
DES 33-0911,KI,145,515,76,224,0,3
KIR 45-3109,KI,147,469,82,230,0,1
KIR 45-3450,KI,58,251,67,125,0,0
FED 30-3077,KI,125,339,75,202,0,2
AUB 47-0671,KI,202,785,124,329,0,3
SET 33-3059,KI,130,683,72,205,0,3
KEN 33-3670,KI,83,288,36,120,0,1
KINGLET,KI,137,532,90,227,0,0
SAM 45-3454,KI,70,233,45,116,0,1
DES 33-0682,KI,150,444,90,241,0,1
SEA 36-1751,KI,116,368,96,212,0,0
SEA 36-1750,KI,151,493,145,296,0,0
PIPELINE,KI,48,153,31,82,0,3
SEA 36-1752,KI,117,437,127,244,0,0
SEA 36-1755,KI,91,272,66,158,0,1
SEA 36-1754,KI,128,387,123,252,0,1
BOT 01-3661,KI,152,528,91,245,0,2
SEA 36-1756,KI,224,682,168,393,0,1
DES 33-2820,KI,107,393,57,164,0,0
SEA 36-1758,KI,139,351,106,246,0,1
SEA 43-2043,KI,97,292,96,193,0,0
SEA 43-2044,KI,100,350,83,186,0,3
SEA 43-2045,KI,103,315,85,189,0,1
SEA 43-2047,KI,201,662,197,403,0,5
MORGAN,KI,175,631,129,305,0,1
M-I 41-0787,KI,92,333,89,182,0,1
SNQ 05-3409,KI,241,787,155,399,0,3
MERRIHILL,KI,203,687,114,324,0,7
SHL 32-1021,KI,181,550,124,309,0,4
SHL 32-1020,KI,105,341,72,178,0,1
KMR 46-2462,KI,84,258,77,164,0,3
SEA 36-2149,KI,142,367,117,261,0,2
SEA 36-2134,KI,154,490,111,266,0,1
BROOKTRAILS,KI,183,564,162,347,0,2
SEA 36-2130,KI,149,388,92,243,0,2
SEA 36-2131,KI,250,851,202,453,0,1
SEA 36-2133,KI,181,698,162,348,0,5
RED 48-0942,KI,142,402,115,258,0,1
COUGAR MTN,KI,4,8,1,8,0,3
SEA 46-1312,KI,109,326,72,181,0,0
SEA 46-1313,KI,96,280,70,168,0,2
DES 33-0864,KI,112,317,91,204,0,1
SEA 46-1311,KI,110,427,87,198,0,1
SEA 46-1314,KI,100,330,110,210,0,0
KEN 47-0439,KI,173,585,134,309,0,2
SEA 36-1808,KI,104,275,51,156,0,1
SAM 41-2813,KI,177,567,160,337,0,0
M-V 05-3461,KI,205,779,142,352,0,5
SEA 36-1805,KI,128,473,110,239,0,1
SEA 36-1806,KI,157,598,123,281,0,1
SEA 36-1801,KI,216,896,173,391,0,2
SEA 36-1803,KI,86,298,92,178,0,0
RED 45-3584,KI,147,449,111,259,0,1
RED 48-0944,KI,125,375,88,217,0,4
SEA 36-3669,KI,82,349,73,157,0,2
ENM 31-3248,KI,254,732,186,442,0,2
ENM 31-3247,KI,185,682,137,323,0,1
ENM 31-3246,KI,66,264,58,127,0,3
KIR 45-2722,KI,175,626,119,296,0,2
YPT 48-1234,KI,125,411,125,250,0,0
YPT 48-1233,KI,141,401,85,226,0,0
ALDER SPRINGS,KI,190,550,156,349,0,3
SEA 36-2592,KI,95,352,107,205,0,3
EARLINGTON,KI,91,357,56,150,0,3
SEA 36-2590,KI,125,364,86,213,0,2
KEN 05-3375,KI,0,0,0,0,0,0
KIR 01-2767,KI,209,573,149,359,0,1
KIR 01-2762,KI,177,618,129,308,0,2
KIR 01-2768,KI,227,624,155,383,0,1
SHL 32-0897,KI,135,446,91,233,0,7
KEN 33-0603,KI,201,649,145,347,0,1
RED 48-0951,KI,123,379,99,223,0,1
RED 48-0950,KI,124,444,89,214,0,1
RED 48-0953,KI,249,758,162,418,0,7
RED 48-0952,KI,94,311,64,160,0,2
KELLY,KI,116,375,73,189,0,0
DUV 45-3219,KI,173,548,123,298,0,2
KEN 47-0238,KI,211,723,133,349,0,5
BEL 41-0116,KI,62,290,49,111,0,0
BEL 41-0117,KI,78,263,61,140,0,1
BEL 41-0114,KI,143,459,148,292,0,1
BEL 41-0112,KI,207,712,149,358,0,2
BEL 41-0113,KI,80,255,77,158,0,1
BEL 41-0110,KI,158,571,98,257,0,1
BEL 41-0111,KI,183,544,145,330,0,2
BEL 41-3312,KI,282,796,206,489,0,1
SEA 43-1784,KI,174,500,132,308,0,2
BEL 41-0119,KI,105,295,92,197,0,0
WELCOME LAKE,KI,351,735,226,578,0,1
SEA 34-1545,KI,123,422,99,224,0,2
SEA 36-3267,KI,139,548,76,219,0,4
SEA 37-1886,KI,182,523,110,293,0,1
CANDLEWOOD,KI,70,412,49,120,0,1
SEA 37-1885,KI,128,398,93,223,0,2
SEA 37-1882,KI,121,395,67,193,0,5
SEA 37-1883,KI,106,423,96,204,0,2
SEA 37-1880,KI,156,514,117,276,0,3
SEA 37-1881,KI,99,396,89,188,0,0
AUB 47-3591,KI,129,445,76,206,0,1
SEA 43-1780,KI,116,350,91,208,0,1
SEA 43-1781,KI,103,326,60,164,0,1
ELSIE,KI,251,726,139,393,0,3
SELLECK,KI,229,784,187,420,0,4
BEL 41-0203,KI,245,688,164,410,0,1
M-V 05-3482,KI,265,870,176,441,0,0
SEA 46-2370,KI,87,428,50,137,0,0
BUR 33-0289,KI,116,412,67,188,0,5
BEL 41-0205,KI,107,288,64,171,0,0
DIPPER,KI,205,675,138,346,0,3
BOT 01-3271,KI,135,431,93,229,0,1
SHL 32-0819,KI,125,411,85,211,0,1
SEA 36-1299,KI,131,425,124,260,0,5
SEA 43-1347,KI,230,726,202,435,0,3
SEA 43-1344,KI,144,452,147,292,0,1
NEW 41-3261,KI,168,503,95,267,0,4
SEA 43-1342,KI,144,366,91,237,0,2
BUR 34-1219,KI,177,530,166,345,0,2
SEA 43-1341,KI,207,499,144,351,0,0
WOD 45-2769,KI,233,748,208,444,0,3
SALAL,KI,119,359,105,225,0,1
SEA 43-1349,KI,102,359,127,231,0,2
SHL 32-0470,KI,137,413,118,258,0,3
B-D 05-2407,KI,248,838,195,447,0,4
SEA 46-1965,KI,118,292,72,190,0,0
BEL 48-1049,KI,126,344,88,215,0,1
SEA 46-1967,KI,186,497,131,320,0,3
SEA 46-1966,KI,80,234,62,144,0,2
SEA 46-1961,KI,104,272,78,182,0,0
SEA 46-1963,KI,75,278,77,152,0,0
SEA 36-2116,KI,111,299,91,202,0,0
PRESTON,KI,220,661,157,383,0,6
SEA 46-1969,KI,90,278,77,169,0,2
SEA 11-1641,KI,118,539,65,183,0,0
SEA 36-3319,KI,204,867,160,365,0,1
SEA 36-3318,KI,225,680,199,428,0,4
BUR 34-0295,KI,139,479,127,269,0,3
LYNX,KI,157,531,115,276,0,4
SHL 32-0921,KI,94,260,82,176,0,0
BUR 34-0298,KI,204,668,114,322,0,4
SEA 36-3317,KI,202,595,181,383,0,0
SEA 43-2853,KI,111,440,95,206,0,0
SEA 43-2852,KI,129,501,95,226,0,2
RANCH,KI,140,444,93,233,0,0
SEA 43-2113,KI,86,393,52,140,0,2
RNT 11-1015,KI,111,443,81,194,0,2
RNT 11-1011,KI,237,881,149,391,0,5
KEN 47-3275,KI,181,854,106,288,0,1
COTTAGE LAKE,KI,130,452,94,228,0,4
KIR 45-3668,KI,139,428,67,206,0,0
SEA 43-2058,KI,72,247,77,150,0,1
SHANGRI-LA,KI,130,394,102,233,0,1
SEA 37-1640,KI,184,738,108,293,0,1
RIVERSIDE,KI,106,396,113,220,0,1
SEA 43-1861,KI,229,750,202,432,0,1
LISABEULA,KI,148,467,158,309,0,3
SHL 32-0407,KI,219,661,165,386,0,2
LEAH,KI,185,661,131,319,0,3
HI-VALLEY,KI,320,829,216,542,0,6
RED 48-2636,KI,166,451,88,256,0,2
SEA 34-1477,KI,94,307,106,200,0,0
RED 48-2634,KI,131,389,100,231,0,0
RED 48-2635,KI,132,387,90,224,0,2
RED 48-2632,KI,72,225,58,130,0,0
RED 48-2633,KI,237,626,137,375,0,1
RED 48-2630,KI,146,394,109,257,0,2
SEA 34-1471,KI,169,492,134,305,0,2
SEA 34-1478,KI,88,253,74,163,0,1
SEA 34-1479,KI,120,313,79,200,0,1
SEA 43-2050,KI,141,442,79,222,0,2
HAAS,KI,98,303,99,199,0,2
SEA 36-1761,KI,99,309,92,193,0,2
SEA 34-1498,KI,194,668,132,330,1,3
SEA 34-1499,KI,151,483,135,289,0,3
SEA 43-2055,KI,58,322,55,113,0,0
SEA 34-1490,KI,137,437,96,235,0,2
SEA 34-1493,KI,203,722,115,320,0,2
SEA 34-1494,KI,150,536,111,265,0,4
SEA 34-1496,KI,206,826,179,389,0,4
RED 48-3548,KI,96,292,47,145,0,2
SEA 46-2267,KI,142,518,99,241,0,0
SEA 46-2266,KI,141,494,144,288,0,3
SEA 46-2264,KI,285,768,199,487,0,3
GRANDVIEW,KI,3,16,4,8,0,1
SEA 46-2261,KI,93,256,82,175,0,0
SEA 46-2260,KI,282,722,226,511,0,3
SILVER SPURS,KI,7,18,3,10,0,0
SNO PASS,KI,72,208,59,131,0,0
SEA 46-2269,KI,124,305,73,197,0,0
SEA 46-2268,KI,108,330,97,205,0,0
KEN 47-2477,KI,222,535,138,361,0,1
RNT 37-0991,KI,148,619,100,250,0,2
RNT 37-0999,KI,211,760,130,343,0,2
KEN 47-2708,KI,125,485,101,226,0,0
KEN 47-2709,KI,259,839,146,407,0,2
ISS 41-2692,KI,110,382,102,215,0,3
KEN 47-2704,KI,279,773,147,430,0,4
SAM 41-3214,KI,124,435,115,241,0,2
SAM 41-3215,KI,213,814,135,348,0,0
BLACK RIVER,KI,53,320,21,77,0,3
KEN 47-2490,KI,216,673,114,331,0,1
SEA 46-2313,KI,159,538,85,248,0,4
DES 30-0954,KI,258,745,155,415,0,2
DUTHIE HILL,KI,115,356,92,208,0,1
SEA 46-2311,KI,146,451,108,256,0,2
MARIAN,KI,218,776,104,323,0,1
BEL 41-2782,KI,50,183,29,81,0,2
FED 30-3289,KI,222,819,144,368,0,2
SEA 46-2310,KI,165,386,111,277,0,1
RNT 37-1000,KI,80,532,62,142,0,0
FED 30-3049,KI,133,430,35,168,0,0
FED 30-3048,KI,125,634,61,187,0,1
FED 30-3045,KI,159,637,91,253,0,3
FED 30-3044,KI,236,657,83,326,0,7
FED 30-3047,KI,157,492,73,236,0,6
FED 30-3046,KI,119,397,68,188,0,1
FED 30-3041,KI,95,326,61,158,0,2
FED 30-3040,KI,92,432,49,146,0,5
FED 30-3043,KI,165,631,91,261,0,5
FED 30-3042,KI,104,251,61,166,0,1
KEN 47-0753,KI,160,622,84,249,0,5
SAM 41-3508,KI,213,685,122,337,0,2
KEN 33-3644,KI,150,486,63,213,0,0
BEL 48-3292,KI,149,401,94,244,0,1
SHL 32-0494,KI,146,468,104,252,0,2
SHL 32-0499,KI,175,462,113,288,0,0
SEA 46-2318,KI,106,277,78,188,0,4
SAM 41-3506,KI,140,455,92,234,0,2
SAM 41-3507,KI,212,708,100,314,0,2
SEA 36-1746,KI,126,313,76,203,0,1
SEA 36-1747,KI,99,296,96,195,0,0
SEA 36-1744,KI,115,393,113,228,0,0
SEA 36-1742,KI,113,296,72,185,0,0
SEA 36-1743,KI,112,391,94,206,0,0
SEA 36-1740,KI,101,323,104,208,0,3
SEA 36-1741,KI,109,325,98,207,0,0
SEA 43-2075,KI,82,458,81,163,0,0
SEA 43-2074,KI,163,564,152,316,0,1
SEA 43-2076,KI,83,403,52,137,0,2
SEA 43-2071,KI,154,371,106,260,0,0
SEA 36-1748,KI,95,261,72,169,0,2
SEA 36-1749,KI,194,681,172,370,0,4
KEN 47-1170,KI,108,412,71,180,0,1
BEL 48-2430,KI,178,486,110,290,0,2
BEL 48-2432,KI,129,403,95,225,0,1
BEL 48-2434,KI,126,394,132,259,0,1
MCDIVITT,KI,19,57,13,32,0,0
SEA 43-1887,KI,198,648,163,365,0,4
SEA 43-1889,KI,159,483,128,288,0,1
SEA 43-1888,KI,214,633,157,373,0,2
SEA 34-1430,KI,107,322,83,190,0,0
SHL 32-1030,KI,91,301,51,144,0,2
CHURCHILL,KI,133,425,129,262,0,0
KEN 33-2864,KI,156,463,84,243,0,3
SEA 43-1779,KI,92,377,53,147,0,2
NEW 41-1115,KI,208,633,130,340,0,2
SEA 36-1324,KI,245,779,231,477,0,1
SEA 36-1325,KI,128,465,116,246,0,2
CARRIAGE,KI,139,399,90,230,0,1
SEA 36-1320,KI,129,362,105,234,0,0
SEA 36-1321,KI,144,416,112,258,0,2
SEA 36-1322,KI,137,479,147,286,0,2
SEA 36-1323,KI,127,401,116,243,0,0
COLLEEN,KI,169,488,131,304,0,4
SEA 36-1328,KI,203,756,183,390,0,4
SEA 36-1329,KI,122,410,130,254,0,2
SEA 36-1812,KI,136,469,115,251,0,0
SEA 36-1813,KI,85,330,88,174,0,1
SEA 36-1816,KI,103,303,69,172,0,0
SEA 46-2299,KI,129,393,98,229,0,2
SAM 41-0100,KI,226,667,133,362,0,3
OVERDALE,KI,9,12,0,9,0,0
SEA 43-2238,KI,283,813,252,539,0,4
SEA 36-3679,KI,73,314,64,137,0,0
SHL 32-0665,KI,131,414,86,218,0,1
TUK 11-1165,KI,201,752,138,340,0,1
ARIA,KI,132,428,106,239,0,1
SET 33-3081,KI,166,738,102,269,0,1
RNT 11-2739,KI,85,274,51,140,0,4
RED 48-0948,KI,82,246,40,124,0,2
RED 48-0949,KI,136,433,94,234,0,4
ISS 05-3649,KI,113,404,74,188,0,1
RED 48-0940,KI,147,399,111,258,0,0
RED 48-0941,KI,103,331,102,205,0,0
RED 48-0947,KI,127,360,87,215,0,1
KIR 01-2595,KI,148,495,88,239,0,3
RED 48-0945,KI,150,453,94,245,0,1
KEN 47-0246,KI,157,479,103,261,0,1
SEA 37-1591,KI,137,360,112,249,0,0
RED MILL,KI,131,418,85,217,0,1
SEA 37-1592,KI,194,634,159,361,0,8
SEA 36-2535,KI,162,566,126,291,0,3
BEL 41-0475,KI,98,262,51,149,0,0
SHL 32-0711,KI,117,337,91,208,0,0
SEA 37-1593,KI,149,470,101,254,0,4
BEL 41-3658,KI,69,305,45,115,0,1
BEL 41-0472,KI,164,522,137,303,0,2
SAM 45-2450,KI,186,548,135,325,0,4
MIDDLE FORK,KI,128,383,83,214,0,3
BEL 41-3657,KI,119,353,70,189,0,0
SEA 37-1872,KI,209,581,143,359,0,7
SEA 37-1871,KI,202,629,184,389,0,3
SEA 43-1868,KI,131,353,102,233,0,0
SEA 37-1876,KI,225,766,216,444,0,3
SEA 37-1875,KI,175,525,110,288,0,3
SAM 45-2693,KI,256,796,154,414,0,4
SEA 43-1862,KI,138,476,92,234,0,4
SEA 37-1879,KI,241,839,179,424,1,3
SEA 43-1860,KI,202,745,162,368,0,4
SEA 43-1867,KI,158,546,139,299,0,2
STAR LAKE,KI,102,325,80,182,0,0
RNT 11-3604,KI,137,591,97,234,0,0
KIR 45-0623,KI,127,378,101,229,0,1
KIR 45-0622,KI,130,390,84,214,0,0
KIR 45-0620,KI,199,552,140,340,0,1
KIR 45-0627,KI,216,628,159,376,0,1
RNT 11-3609,KI,99,461,73,173,0,1
KIR 45-0624,KI,296,793,198,501,0,7
DUV 45-3642,KI,137,443,107,249,0,5
DES 33-1128,KI,99,289,74,174,0,1
EAGLE,KI,0,3,0,0,0,0
BUR 33-0729,KI,203,864,113,320,2,2
MEADOWBROOK,KI,86,300,82,173,0,5
SWEENEY,KI,172,575,167,341,0,2
SHL 32-0088,KI,76,258,45,121,0,0
KIR 01-2759,KI,229,695,129,359,0,1
RUDDELL,KI,123,397,88,214,0,3
SHL 32-0802,KI,123,452,70,194,0,1
BEL 41-3278,KI,93,290,77,172,0,2
SEA 43-1406,KI,158,398,104,264,0,2
WOD 45-2597,KI,200,647,146,350,0,4
FOX,KI,136,434,111,247,0,0
KIR 48-2925,KI,147,498,132,284,0,5
LAKE ALICE,KI,151,519,141,295,0,3
M-V 05-2614,KI,263,831,156,422,0,3
SEA 46-1971,KI,112,325,86,200,0,2
RNT 11-3287,KI,189,705,148,338,0,1
SEA 46-1977,KI,122,321,94,217,0,1
SEA 46-1974,KI,146,415,123,269,0,0
AUB 31-0049,KI,132,450,57,195,0,6
SEA 34-1245,KI,135,466,107,244,0,2
SEA 34-1247,KI,131,461,69,202,0,2
SEA 34-1246,KI,112,355,91,203,0,0
SEA 34-1249,KI,148,551,91,241,0,2
SEA 34-1248,KI,126,407,83,209,0,0
NPK 33-2645,KI,135,335,84,219,0,0
NPK 33-2644,KI,119,287,83,204,0,2
NPK 33-2646,KI,191,587,149,341,0,1
SEA 32-2203,KI,217,758,199,422,0,6
BUR 34-0281,KI,0,0,0,0,0,0
BEL 41-0658,KI,123,403,97,220,0,0
BEL 41-0305,KI,132,484,85,218,0,1
SEA 36-1693,KI,107,308,82,189,0,0
SEA 43-3628,KI,173,536,115,290,0,2
RED 48-3313,KI,241,667,140,384,0,3
RED 48-3316,KI,100,344,53,154,0,1
BUR 34-1082,KI,114,307,101,215,0,0
CORNELL,KI,189,557,127,316,0,0
RED 48-2790,KI,185,592,135,323,0,3
BUR 34-0848,KI,145,421,113,261,0,3
KIR 45-3612,KI,81,211,34,116,0,1
SEA 46-2375,KI,115,312,94,210,0,1
FED 30-3036,KI,96,342,50,148,0,2
AUB 31-3335,KI,215,732,136,351,0,0
KEN 47-3184,KI,248,776,132,384,0,4
SEA 37-3567,KI,73,408,55,130,0,2
BRIAR,KI,168,521,111,283,0,4
COV 47-2711,KI,151,536,103,255,0,1
NEW 41-3528,KI,112,420,70,182,0,0
BUR 34-1150,KI,124,365,125,249,0,0
TUK 11-3127,KI,67,280,39,109,0,3
SEA 46-2274,KI,86,256,81,167,0,0
SEA 46-2275,KI,36,127,35,71,0,0
SEA 46-2276,KI,122,382,127,250,0,1
SEA 46-2277,KI,184,568,184,368,0,0
SEA 46-2270,KI,110,290,91,202,0,1
SEA 46-2271,KI,177,476,139,319,0,3
SEA 46-2272,KI,129,367,115,247,1,2
M-V 05-3272,KI,266,878,167,436,0,3
HOLM LAKE,KI,230,710,185,415,0,0
COV 47-2390,KI,135,505,67,204,0,2
SEA 37-3696,KI,9,49,9,18,0,0
SEA 37-3693,KI,0,0,0,0,0,0
CADDIS,KI,114,366,92,211,0,5
SHL 32-0396,KI,257,767,138,401,0,6
SEA 37-1557,KI,80,343,42,124,0,2
SEA 43-2541,KI,69,268,46,115,0,0
KEN 11-3331,KI,106,456,58,166,0,2
SHL 32-0606,KI,112,364,67,183,0,4
RNT 11-0738,KI,85,444,55,141,0,1
ENM 05-3414,KI,0,0,0,0,0,0
STILLWATER,KI,171,523,119,292,0,2
FED 30-3052,KI,160,494,83,243,0,0
FED 30-3053,KI,140,472,77,218,0,1
FED 30-3050,KI,56,222,42,98,0,0
FED 30-3051,KI,95,400,53,152,0,4
FED 30-3056,KI,99,323,66,166,0,1
FED 30-3054,KI,111,386,56,168,0,1
FED 30-3055,KI,178,575,101,280,0,1
SHL 32-0486,KI,93,298,90,185,0,2
DES 33-0668,KI,68,273,55,123,0,0
SEA 43-2061,KI,104,476,101,207,0,2
SEA 43-2064,KI,71,370,75,148,0,2
SEA 43-2065,KI,95,547,80,179,0,4
SEA 43-2068,KI,107,425,83,191,0,1
SEA 36-2164,KI,118,310,97,215,0,0
BEAR CREEK,KI,140,452,130,275,0,5
KMR 46-0473,KI,158,438,90,253,0,5
SEA 37-1825,KI,181,704,112,296,0,3
SEA 36-1382,KI,127,374,106,233,0,0
