Row Label,County,Mary E. Fairhurst
SANDMAN,SN,134
WEST FORK,SN,61
SKYKOMISH,SN,55
SLIVER,SN,1
LOCHSLOY,SN,276
AIRPARK,SN,52
WALLACE,SN,142
EDMONDS 29,SN,241
FIRCREST,SN,151
PICNIC POINT,SN,175
FIELD,SN,215
HARTFORD,SN,101
YORK,SN,241
MARKS,SN,198
BOSWORTH,SN,248
GREGORY,SN,150
NORTH FORK,SN,107
MORNING RISE,SN,194
BOTHELL 32,SN,160
MEADOWDALE,SN,173
PARADISE,SN,196
MARYSVILLE 28,SN,128
WINGATE,SN,222
MARYSVILLE  9,SN,103
MARYSVILLE  8,SN,196
LAKEWOOD,SN,170
MARYSVILLE  1,SN,132
MARYSVILLE  3,SN,250
MARYSVILLE  2,SN,94
MARYSVILLE  5,SN,279
MARYSVILLE  4,SN,176
MARYSVILLE  7,SN,132
MARYSVILLE  6,SN,160
EVERETT  11,SN,247
LARCH,SN,194
EVERETT  13,SN,165
EVERETT  12,SN,171
EVERETT  15,SN,189
EVERETT  14,SN,193
EVERETT  17,SN,116
EVERETT  16,SN,157
EVERETT  19,SN,194
SEATTLE HILL,SN,196
WHALEBACK,SN,15
EDMONDS 51,SN,229
EDMONDS 50,SN,150
EDMONDS 52,SN,195
SULTAN 1,SN,213
SULTAN 3,SN,187
SULTAN 2,SN,204
SULTAN 4,SN,156
MERIDIAN,SN,226
BROOK,SN,271
SILVANA TERRACE,SN,141
MARION,SN,180
MUKILTEO 13,SN,207
HILLMAN,SN,184
EASTMONT,SN,176
MARYSVILLE 46,SN,280
EVERETT  88,SN,193
CRYSTAL,SN,209
BATTERY,SN,154
EVERETT  87,SN,124
EVERETT  84,SN,65
EVERETT  85,SN,133
BEAR CREEK,SN,156
EVERETT  83,SN,169
EVERETT  80,SN,220
EVERETT  81,SN,109
SUMMIT,SN,188
LAKE HOWARD,SN,194
Total,SN,139554
TYEE,SN,192
EVERETT  92,SN,3
MILLARD,SN,127
MEADOWCREST,SN,199
TULALIP 2,SN,189
OLIVIA,SN,27
PUGET PARK,SN,178
SPRUCE,SN,123
RAILROAD,SN,158
HIWAY,SN,27
EDMONDS  2,SN,237
EDMONDS  3,SN,272
OUTLOOK,SN,204
EDMONDS  1,SN,211
EDGECOMB,SN,168
EDMONDS  7,SN,262
EDMONDS  4,SN,230
FILBERT,SN,266
EDMONDS  8,SN,303
EDMONDS  9,SN,161
WANDERING CREEK,SN,243
SNOCADE,SN,279
MARYSVILLE 26,SN,248
MARYSVILLE 25,SN,130
MARYSVILLE 24,SN,196
MARYSVILLE 23,SN,298
TERRACE,SN,47
MARYSVILLE 21,SN,303
MARYSVILLE 20,SN,215
VALLEY,SN,58
LUDWIG,SN,194
MARYSVILLE 29,SN,122
CRYSTAL CREEK,SN,127
GROVE,SN,257
JIM CREEK,SN,258
GRANNIS,SN,205
RIVERVIEW,SN,219
EVERETT  64,SN,103
ROWLAND,SN,135
LANTERN,SN,218
STITCH,SN,68
WINDROSE,SN,298
WENBERG,SN,206
SNOHOMISH  2,SN,152
SNOHOMISH  3,SN,184
SNOHOMISH  1,SN,228
SNOHOMISH  6,SN,154
SNOHOMISH  7,SN,224
SNOHOMISH  4,SN,198
SNOHOMISH  5,SN,279
LAURA,SN,248
SNOHOMISH  8,SN,297
SNOHOMISH  9,SN,136
HUNT,SN,3
SUNNYSIDE,SN,58
EVERETT  37,SN,205
CATHCART,SN,141
PENNANT,SN,260
EVERETT  35,SN,209
KAYAK,SN,173
EVERETT  34,SN,143
TRAIL,SN,102
WOODSHIRE,SN,169
ROB,SN,140
MERWIN,SN,134
OSO,SN,122
OLDMARK,SN,277
BOTHELL 40,SN,238
BOTHELL 41,SN,252
BOTHELL 42,SN,277
BOTHELL 43,SN,165
BOTHELL 44,SN,170
BURN HILL,SN,221
BOTHELL 46,SN,215
BOTHELL 47,SN,230
EMERALD,SN,200
GRAND FIRS,SN,271
EVERETT  48,SN,151
EVERETT  49,SN,240
EVERETT  42,SN,154
EVERETT  43,SN,122
EVERETT  40,SN,88
WILLOW,SN,178
EVERETT  46,SN,159
EVERETT  47,SN,206
EVERETT  44,SN,142
EVERETT  45,SN,162
EBEY,SN,26
EVERETT  26,SN,277
CYPRESS,SN,209
SYLVAN,SN,13
EDMONDS 24,SN,163
EDMONDS 25,SN,206
EDMONDS 26,SN,150
EDMONDS 27,SN,190
EDMONDS 21,SN,285
EDMONDS 22,SN,208
EDMONDS 23,SN,268
WELCH,SN,240
JORDAN,SN,343
HIGHLAND,SN,166
EDMONDS 28,SN,207
FAIRWOOD,SN,99
SILVER CREEK,SN,169
TRAFTON,SN,158
MARYSVILLE 48,SN,169
JEFFERSON,SN,149
FERNWOOD,SN,187
EDMONDS 35,SN,186
THRASHERS,SN,192
HILLTOP,SN,264
TURNER,SN,294
HOLIDAY,SN,108
CHAPEL,SN,152
EDMONDS 48,SN,198
KENTISH,SN,164
EDMONDS 38,SN,245
TOTEM FALLS,SN,303
KATTENHORN,SN,300
CEDARHOME,SN,195
CASCADE,SN,160
MARSH,SN,275
CENTENNIAL,SN,295
TOWER,SN,209
MONROE 12,SN,140
VILLE,SN,80
MONROE 10,SN,215
MONROE 11,SN,78
GRANITE FALLS 3,SN,92
GRANITE FALLS 2,SN,266
GRANITE FALLS 1,SN,221
LOCUST,SN,212
OLYMPUS,SN,175
SUNSET,SN,292
DOGWOOD,SN,181
SOUTH ALDERWOOD,SN,273
DALE,SN,221
SERENE,SN,184
REDHAWK,SN,263
JEFF,SN,162
ALICIA,SN,245
HILLSIDE,SN,88
POINTE,SN,33
ARMSTRONG,SN,162
STRAWBERRY,SN,238
NORMA,SN,179
DUMAS,SN,186
GOLD BAR 2,SN,158
GOLD BAR 1,SN,161
GLENBAR,SN,159
FOREST,SN,213
SAUK,SN,92
EMANDER,SN,225
PILCHUCK,SN,170
ARLINGTON 13,SN,285
HEIGHTS,SN,196
DAMSON,SN,262
TAMBARK,SN,188
ECHO LAKE,SN,238
MADISON,SN,270
EVERETT  10,SN,156
GATEWAY,SN,236
LYNNWOOD 18,SN,197
LYNNWOOD 19,SN,195
MARYSVILLE 14,SN,280
LYNNWOOD 12,SN,208
LYNNWOOD 13,SN,146
LYNNWOOD 10,SN,109
LYNNWOOD 11,SN,204
LYNNWOOD 16,SN,186
LYNNWOOD 17,SN,252
LYNNWOOD 14,SN,166
LYNNWOOD 15,SN,154
