Row Label,County,Jason Ritchie,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Dave Reichert
KEN 47-2403,KI,85,466,3,171,0,1,82
COV 47-3244,KI,71,466,8,204,0,3,122
HAAS,KI,90,303,8,199,0,1,100
DEVILLE,KI,116,558,11,263,0,2,134
WYNOCHE,KI,70,397,8,257,0,0,179
SAM 41-2491,KI,159,707,12,367,0,5,191
BOWOOD,KI,162,625,19,339,0,1,157
KEN 47-2477,KI,89,535,10,361,0,1,261
MILWAUKEE,KI,13,50,3,24,0,0,8
HAM LAKE,KI,74,467,13,267,0,1,179
BRYAN,KI,71,351,5,188,0,0,112
ALG 30-3141,KI,74,523,7,222,0,1,140
HUCKLEBERRY,KI,71,420,11,227,0,0,145
COV 47-1203,KI,130,885,15,421,0,0,276
ISS 41-2692,KI,96,382,10,215,0,1,108
KEN 47-2704,KI,174,773,11,430,0,0,245
SAM 41-3214,KI,113,435,10,241,0,0,118
SAM 41-3215,KI,167,814,17,348,0,0,164
SAM 45-3388,KI,167,698,14,389,0,1,207
SAM 45-3389,KI,215,762,14,460,0,0,231
SAM 41-3607,KI,85,498,13,259,0,0,161
MORTON,KI,126,723,14,425,0,2,283
SAM 45-3386,KI,114,784,23,398,0,2,259
SAM 45-3387,KI,112,402,7,244,0,3,122
DUTHIE HILL,KI,76,356,8,208,0,0,124
ENM 31-3492,KI,53,333,7,164,0,1,103
BROOKSHIRE,KI,83,430,9,207,0,0,115
MCDONALD,KI,126,525,10,285,0,0,149
SNQ 05-3151,KI,125,627,11,297,0,1,160
KEN 47-0753,KI,101,622,14,249,0,3,131
LINCOLN,KI,57,312,5,168,0,2,104
SAM 41-3508,KI,133,685,23,337,0,1,180
SAM 41-3506,KI,116,455,12,234,0,0,106
SAM 41-3507,KI,133,708,12,314,0,0,169
SNQ 05-3512,KI,169,823,27,472,0,1,275
SAM 45-3505,KI,159,573,11,329,0,0,159
ISS 05-3691,KI,75,314,12,172,0,0,85
ISS 05-3697,KI,0,0,0,0,0,0,0
SNQ 05-3514,KI,145,648,23,358,0,0,190
SNQ 05-3633,KI,64,404,9,166,0,0,93
ISS 05-3464,KI,179,829,20,376,0,0,177
HUTCHINSON,KI,194,678,16,427,0,0,217
KLAHANIE,KI,114,468,20,264,0,0,130
AVALON,KI,72,372,8,191,0,0,111
SAWYER,KI,125,594,19,382,0,0,238
CARRIAGE,KI,98,399,7,230,0,0,125
KEN 47-3652,KI,81,463,4,219,0,1,133
COLLEEN,KI,154,488,17,304,0,1,132
KEN 47-2834,KI,110,564,9,255,0,0,136
KEN 47-2939,KI,49,314,5,121,0,0,67
OVERDALE,KI,8,12,1,9,0,0,0
WOODSIDE,KI,96,580,19,259,0,0,144
KEN 05-3462,KI,0,0,0,0,0,0,0
ISS 05-3206,KI,228,758,16,419,0,2,173
MAY VALLEY,KI,89,492,7,246,0,1,149
BITTERROOT,KI,84,483,9,262,0,1,168
ARIA,KI,100,428,8,239,0,0,131
GRASS LAKE,KI,89,374,8,235,0,0,138
THISTLE,KI,68,334,0,152,0,0,84
WOLF,KI,126,690,15,308,0,0,167
COV 47-2586,KI,84,588,7,243,0,1,151
COV 47-1127,KI,96,606,11,303,0,1,195
PAC 30-2856,KI,109,686,6,230,0,0,115
KEN 47-0246,KI,119,479,7,261,0,0,135
KEN 47-2599,KI,158,748,11,345,0,1,175
RED MILL,KI,93,418,9,217,0,0,115
AUB 31-3405,KI,106,662,8,322,0,0,208
FAIRMONT,KI,83,394,11,216,0,1,121
M-V 05-1218,KI,114,674,7,378,0,0,257
SAM 45-2450,KI,110,548,8,325,0,1,206
MIDDLE FORK,KI,82,383,8,214,0,1,123
MIRRORMONT,KI,116,446,9,243,0,0,118
SAM 45-2693,KI,201,796,14,414,0,2,197
N-B 05-3407,KI,141,628,17,381,0,0,223
N-B 05-3406,KI,67,309,9,136,0,0,60
STAR LAKE,KI,90,325,7,182,0,0,85
ILLAHEE,KI,86,328,8,222,0,0,128
MARGERY,KI,183,762,21,360,0,2,154
SNQ 05-3558,KI,96,487,16,236,0,0,124
EAGLE,KI,0,3,0,0,0,0,0
M-V 05-3536,KI,87,572,14,275,0,2,172
EXCALIBUR,KI,72,403,8,226,0,2,144
MEADOWBROOK,KI,85,300,5,173,0,0,83
LAKELAND,KI,107,527,14,248,0,0,127
SWEENEY,KI,127,575,10,341,0,1,203
AUB 47-0328,KI,141,684,9,397,0,0,247
RUDDELL,KI,91,397,2,214,0,2,119
FAIRGLEN,KI,123,442,11,258,0,0,124
GENEVA,KI,75,408,8,218,0,0,135
KEN 47-0662,KI,137,659,11,399,0,0,251
AUB 47-2551,KI,156,824,11,332,0,1,164
CARRIAGE LANE,KI,146,621,9,314,0,0,159
AUB 30-0046,KI,75,351,5,169,0,0,89
LAKE ALICE,KI,122,519,18,295,0,0,155
NATHAN,KI,96,507,9,297,0,0,192
AUB 47-3538,KI,142,719,10,366,0,0,214
AUB 47-3539,KI,102,436,11,245,0,1,131
SAM 41-0909,KI,180,831,22,445,0,1,242
WHITE RIVER,KI,93,597,13,337,0,1,230
HANSEN,KI,99,505,6,308,0,1,202
SERENIDAD,KI,142,746,9,317,0,0,166
CEDAR RIVER,KI,81,481,10,259,0,0,168
ISS 41-3533,KI,112,507,10,254,1,1,130
AUB 47-0072,KI,120,525,9,289,0,0,160
