Row Label,County,David A. Steiner,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
RATTLESNAKE,KI,154,605,175,333,0,4
ISS 05-3559,KI,293,907,235,529,0,1
SAM 41-0307,KI,130,525,160,291,0,1
KIR 01-0356,KI,257,816,258,516,0,1
RED 48-0938,KI,51,288,55,106,0,0
KIR 48-2915,KI,119,411,121,240,0,0
SAM 41-3654,KI,159,475,128,287,0,0
RED 48-3134,KI,92,351,86,181,0,3
KIR 45-2560,KI,171,705,136,308,0,1
BEL 41-0101,KI,154,502,118,272,0,0
RED 48-2789,KI,83,438,62,145,0,0
WOD 45-2734,KI,182,583,145,328,0,1
BEL 41-0102,KI,140,464,126,268,0,2
KIR 45-2423,KI,261,726,192,453,0,0
KIR 45-2421,KI,140,515,132,274,0,2
SAM 45-2791,KI,211,637,200,411,0,0
NEW 41-3681,KI,98,386,104,202,0,0
NEW 41-3528,KI,101,420,81,182,0,0
MILLIKIN,KI,219,650,198,422,0,5
WOD 45-3192,KI,115,352,96,211,0,0
WOD 45-3193,KI,105,462,103,209,0,1
PATTERSON,KI,249,861,255,505,0,1
RED 48-3391,KI,225,704,178,404,0,1
KIR 45-3640,KI,86,311,64,152,0,2
M-I 41-2445,KI,139,496,151,292,0,2
RED 45-2580,KI,156,384,105,262,0,1
CORWIN,KI,239,817,255,498,0,4
SAM 45-2965,KI,166,586,157,324,0,1
KIR 45-2924,KI,172,718,147,322,0,3
ISS 05-3145,KI,218,895,186,406,0,2
KIR 48-2863,KI,117,417,115,233,0,1
MARGERY,KI,215,762,145,360,0,0
AVONDALE,KI,88,293,80,169,0,1
BOT 01-3321,KI,156,430,137,293,0,0
M-I 41-2691,KI,114,516,85,202,0,3
BEL 48-0126,KI,101,354,97,198,0,0
BEL 41-2428,KI,180,739,171,351,0,0
BEL 41-2429,KI,249,836,199,449,0,1
KIR 48-2925,KI,140,498,139,284,0,5
BEL 41-2812,KI,91,350,87,180,0,2
RED 48-2966,KI,111,526,67,179,0,1
KIR 48-3196,KI,110,428,123,233,0,0
BOT 45-3620,KI,33,149,30,63,0,0
AMES LAKE,KI,231,810,211,445,0,3
BEL 41-2554,KI,171,645,172,343,0,0
HOLIDAY LAKE,KI,106,299,87,193,0,0
UNION HILL,KI,183,628,187,374,0,4
NEW 41-3228,KI,132,470,117,254,0,5
RED 45-0936,KI,149,476,121,275,0,5
ISS 05-2929,KI,160,562,179,341,0,2
WOD 45-1225,KI,144,478,132,279,0,3
EASTRIDGE,KI,254,818,219,474,0,1
BEL 41-0518,KI,95,266,77,172,0,0
M-I 41-0788,KI,118,372,116,234,0,0
COOPER,KI,136,473,139,278,0,3
KIR 48-2913,KI,209,700,121,337,0,7
KIR 48-2914,KI,215,723,179,399,0,5
CHERRY VALLEY,KI,133,514,167,304,0,4
BOT 01-3195,KI,151,510,97,250,0,2
BEL 48-0154,KI,89,258,63,157,0,5
BEL 41-0103,KI,161,535,148,310,0,1
BEL 48-0156,KI,205,659,147,354,0,2
BEL 48-0151,KI,114,409,118,232,0,0
BEL 48-0153,KI,87,314,72,160,0,1
BEL 41-0106,KI,106,457,119,229,0,4
BEL 41-0109,KI,85,325,54,139,0,0
BEL 41-0108,KI,126,440,102,230,0,2
ISS 05-3138,KI,159,435,128,287,0,0
BEL 48-0159,KI,150,533,121,273,0,2
BOT 01-2473,KI,169,481,85,256,0,2
RED 48-2449,KI,161,518,127,290,0,2
RED 48-2448,KI,166,544,146,316,0,4
WOD 45-0676,KI,169,502,131,304,0,4
ISS 41-2605,KI,135,434,105,240,0,0
ISS 41-2602,KI,200,817,177,379,0,2
BEL 41-2556,KI,201,656,177,378,0,0
ISS 41-2977,KI,87,397,49,137,0,1
KIR 48-0642,KI,123,430,130,253,0,0
KIR 48-0643,KI,75,314,64,141,0,2
KIR 48-0641,KI,110,370,110,221,0,1
KIR 48-0646,KI,152,511,153,305,0,0
SAM 41-2942,KI,190,726,195,385,0,0
KIR 48-0644,KI,206,716,185,393,0,2
KIR 48-0645,KI,66,230,61,127,0,0
