Row Label,County,Donna Tucker,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
RATTLESNAKE,KI,155,605,175,333,0,3
ISS 05-3559,KI,302,907,226,529,0,1
SAM 41-0307,KI,130,525,160,291,0,1
KIR 01-0356,KI,258,816,257,516,0,1
RED 48-0938,KI,53,288,53,106,0,0
KIR 48-2915,KI,119,411,121,240,0,0
SAM 41-3654,KI,158,475,128,287,0,1
RED 48-3134,KI,93,351,85,181,0,3
KIR 45-2560,KI,169,705,138,308,0,1
BEL 41-0101,KI,159,502,113,272,0,0
RED 48-2789,KI,83,438,62,145,0,0
WOD 45-2734,KI,182,583,145,328,0,1
BEL 41-0102,KI,142,464,126,268,0,0
KIR 45-2423,KI,263,726,190,453,0,0
KIR 45-2421,KI,139,515,133,274,0,2
SAM 45-2791,KI,215,637,196,411,0,0
NEW 41-3681,KI,100,386,101,202,0,1
NEW 41-3528,KI,98,420,83,182,0,1
MILLIKIN,KI,225,650,192,422,0,5
WOD 45-3192,KI,115,352,96,211,0,0
WOD 45-3193,KI,106,462,102,209,0,1
PATTERSON,KI,253,861,250,505,0,2
RED 48-3391,KI,223,704,180,404,0,1
KIR 45-3640,KI,86,311,64,152,0,2
M-I 41-2445,KI,141,496,151,292,0,0
RED 45-2580,KI,157,384,105,262,0,0
CORWIN,KI,235,817,259,498,0,4
SAM 45-2965,KI,168,586,155,324,0,1
KIR 45-2924,KI,175,718,144,322,0,3
ISS 05-3145,KI,223,895,182,406,0,1
KIR 48-2863,KI,116,417,115,233,0,2
MARGERY,KI,216,762,143,360,0,1
AVONDALE,KI,85,293,83,169,0,1
BOT 01-3321,KI,159,430,134,293,0,0
M-I 41-2691,KI,115,516,85,202,0,2
BEL 48-0126,KI,102,354,95,198,0,1
BEL 41-2428,KI,190,739,161,351,0,0
BEL 41-2429,KI,248,836,201,449,0,0
KIR 48-2925,KI,141,498,139,284,0,4
BEL 41-2812,KI,94,350,84,180,0,2
RED 48-2966,KI,115,526,64,179,0,0
KIR 48-3196,KI,108,428,125,233,0,0
BOT 45-3620,KI,32,149,31,63,0,0
AMES LAKE,KI,234,810,209,445,0,2
BEL 41-2554,KI,177,645,166,343,0,0
HOLIDAY LAKE,KI,103,299,90,193,0,0
UNION HILL,KI,188,628,183,374,0,3
NEW 41-3228,KI,139,470,109,254,0,6
RED 45-0936,KI,151,476,120,275,0,4
ISS 05-2929,KI,167,562,173,341,0,1
WOD 45-1225,KI,142,478,134,279,0,3
EASTRIDGE,KI,260,818,214,474,0,0
BEL 41-0518,KI,94,266,78,172,0,0
M-I 41-0788,KI,118,372,116,234,0,0
COOPER,KI,141,473,136,278,0,1
KIR 48-2913,KI,204,700,126,337,0,7
KIR 48-2914,KI,217,723,179,399,0,3
CHERRY VALLEY,KI,134,514,167,304,0,3
BOT 01-3195,KI,151,510,99,250,0,0
BEL 48-0154,KI,90,258,61,157,0,6
BEL 41-0103,KI,159,535,150,310,0,1
BEL 48-0156,KI,206,659,146,354,0,2
BEL 48-0151,KI,114,409,117,232,0,1
BEL 48-0153,KI,90,314,69,160,0,1
BEL 41-0106,KI,108,457,118,229,0,3
BEL 41-0109,KI,84,325,53,139,0,2
BEL 41-0108,KI,124,440,104,230,0,2
ISS 05-3138,KI,155,435,132,287,0,0
BEL 48-0159,KI,152,533,119,273,0,2
BOT 01-2473,KI,171,481,82,256,0,3
RED 48-2449,KI,161,518,126,290,0,3
RED 48-2448,KI,166,544,147,316,0,3
WOD 45-0676,KI,169,502,131,304,0,4
ISS 41-2605,KI,142,434,98,240,0,0
ISS 41-2602,KI,204,817,171,379,0,4
BEL 41-2556,KI,199,656,179,378,0,0
ISS 41-2977,KI,85,397,52,137,0,0
KIR 48-0642,KI,121,430,132,253,0,0
KIR 48-0643,KI,74,314,65,141,0,2
KIR 48-0641,KI,106,370,114,221,0,1
KIR 48-0646,KI,155,511,150,305,0,0
SAM 41-2942,KI,192,726,193,385,0,0
KIR 48-0644,KI,206,716,186,393,0,1
KIR 48-0645,KI,67,230,60,127,0,0
