Row Label,County,Peter L. Nault,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
M-I 41-0790,KI,71,246,74,147,0,2
RATTLESNAKE,KI,154,605,174,333,0,5
ISS 05-3559,KI,297,907,232,529,0,0
SAM 41-0307,KI,132,525,157,291,0,2
KIR 01-0356,KI,253,816,263,516,0,0
RED 48-0938,KI,51,288,55,106,0,0
KIR 48-2915,KI,122,411,118,240,0,0
SAM 41-3654,KI,157,475,130,287,0,0
RED 48-3134,KI,93,351,85,181,0,3
KIR 45-2560,KI,167,705,139,308,0,2
BEL 41-0101,KI,151,502,120,272,0,1
RED 48-2789,KI,79,438,65,145,0,1
WOD 45-2734,KI,181,583,146,328,0,1
BEL 41-0102,KI,137,464,129,268,0,2
KIR 45-2423,KI,260,726,193,453,0,0
KIR 45-2421,KI,137,515,135,274,0,2
SAM 45-2791,KI,208,637,202,411,0,1
NEW 41-3681,KI,99,386,103,202,0,0
NEW 41-3528,KI,100,420,82,182,0,0
MILLIKIN,KI,221,650,196,422,0,5
WOD 45-3192,KI,117,352,94,211,0,0
WOD 45-3193,KI,104,462,104,209,0,1
PATTERSON,KI,250,861,253,505,0,2
RED 48-3391,KI,226,704,177,404,0,1
KIR 45-3640,KI,86,311,64,152,0,2
M-I 41-2445,KI,139,496,152,292,0,1
RED 45-2580,KI,156,384,106,262,0,0
CORWIN,KI,231,817,262,498,0,5
SAM 45-2965,KI,167,586,156,324,0,1
KIR 45-2924,KI,169,718,149,322,0,4
ISS 05-3145,KI,219,895,185,406,0,2
KIR 48-2863,KI,115,417,116,233,0,2
MARGERY,KI,215,762,145,360,0,0
AVONDALE,KI,87,293,80,169,0,2
BOT 01-3321,KI,157,430,136,293,0,0
M-I 41-2691,KI,114,516,84,202,0,4
BEL 48-0126,KI,101,354,96,198,0,1
BEL 41-2428,KI,180,739,171,351,0,0
BEL 41-2429,KI,244,836,203,449,0,2
KIR 48-2925,KI,138,498,142,284,0,4
BEL 41-2812,KI,91,350,87,180,0,2
RED 48-2966,KI,113,526,65,179,0,1
KIR 48-3196,KI,108,428,125,233,0,0
BOT 45-3620,KI,33,149,30,63,0,0
AMES LAKE,KI,227,810,214,445,0,4
BEL 41-2554,KI,171,645,172,343,0,0
HOLIDAY LAKE,KI,105,299,88,193,0,0
UNION HILL,KI,182,628,188,374,0,4
NEW 41-3228,KI,133,470,116,254,0,5
RED 45-0936,KI,150,476,121,275,0,4
ISS 05-2929,KI,164,562,176,341,0,1
WOD 45-1225,KI,141,478,135,279,0,3
EASTRIDGE,KI,252,818,222,474,0,0
BEL 41-0518,KI,95,266,77,172,0,0
M-I 41-0788,KI,116,372,118,234,0,0
COOPER,KI,138,473,138,278,0,2
KIR 48-2913,KI,205,700,124,337,0,8
KIR 48-2914,KI,209,723,185,399,0,5
CHERRY VALLEY,KI,135,514,167,304,0,2
BOT 01-3195,KI,150,510,98,250,0,2
BEL 48-0154,KI,88,258,63,157,0,6
BEL 41-0103,KI,157,535,153,310,0,0
BEL 48-0156,KI,208,659,144,354,0,2
BEL 48-0151,KI,111,409,121,232,0,0
BEL 48-0153,KI,87,314,72,160,0,1
BEL 41-0106,KI,104,457,121,229,0,4
BEL 41-0109,KI,86,325,53,139,0,0
BEL 41-0108,KI,124,440,104,230,0,2
ISS 05-3138,KI,157,435,130,287,0,0
BEL 48-0159,KI,151,533,120,273,0,2
BOT 01-2473,KI,167,481,87,256,0,2
RED 48-2449,KI,159,518,129,290,0,2
RED 48-2448,KI,166,544,146,316,0,4
WOD 45-0676,KI,167,502,132,304,0,5
ISS 41-2605,KI,137,434,103,240,0,0
ISS 41-2602,KI,200,817,176,379,0,3
BEL 41-2556,KI,196,656,182,378,0,0
ISS 41-2977,KI,85,397,51,137,0,1
KIR 48-0642,KI,120,430,133,253,0,0
KIR 48-0643,KI,75,314,65,141,0,1
KIR 48-0641,KI,106,370,114,221,0,1
KIR 48-0646,KI,154,511,151,305,0,0
SAM 41-2942,KI,188,726,196,385,0,1
KIR 48-0644,KI,203,716,189,393,0,1
KIR 48-0645,KI,66,230,61,127,0,0
