Row Label,County,Eileen A. Kato,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 43-1863,KI,120,475,135,255,0,0
SEA 43-1862,KI,123,476,109,234,0,2
SEA 37-1879,KI,217,839,204,424,0,3
SEA 43-1860,KI,170,745,194,368,0,4
SEA 43-1867,KI,147,546,150,299,0,2
SEA 43-3262,KI,81,306,96,177,0,0
SEA 37-1840,KI,158,616,122,281,0,1
SEA 43-1994,KI,116,295,81,197,0,0
SEA 43-2039,KI,83,328,116,199,0,0
SEA 43-2038,KI,163,560,191,355,0,1
SEA 37-1640,KI,176,738,116,293,0,1
SEA 43-2033,KI,130,438,146,276,0,0
SEA 43-2035,KI,155,668,143,301,0,3
SEA 43-2034,KI,122,424,128,253,0,3
SEA 43-2037,KI,126,551,146,274,0,2
SEA 36-1325,KI,117,465,128,246,0,1
SEA 46-2153,KI,112,492,115,231,0,4
SEA 46-2152,KI,76,378,114,192,0,2
SEA 46-2379,KI,138,542,187,332,0,7
SEA 43-2549,KI,186,718,150,339,0,3
SEA 37-1590,KI,106,294,122,228,0,0
SEA 37-1591,KI,123,360,126,249,0,0
SEA 37-1592,KI,178,634,180,361,0,3
SEA 37-1593,KI,137,470,116,254,0,1
SEA 37-1594,KI,150,761,190,343,0,3
SEA 37-1596,KI,134,497,124,260,0,2
SEA 43-2542,KI,80,275,66,146,0,0
SEA 36-2116,KI,95,299,106,202,0,1
SEA 43-1406,KI,130,398,133,264,0,1
SEA 36-2117,KI,118,336,104,223,0,1
SEA 46-2270,KI,100,290,101,202,0,1
SEA 46-1978,KI,160,501,168,328,0,0
SEA 36-1288,KI,133,391,131,265,0,1
SEA 36-1287,KI,214,733,264,481,0,3
SEA 36-1286,KI,114,439,137,254,0,3
SEA 46-1970,KI,81,250,80,161,0,0
SEA 46-1971,KI,96,325,104,200,0,0
SEA 46-1977,KI,115,321,102,217,0,0
SEA 46-1974,KI,129,415,140,269,0,0
SEA 36-1676,KI,73,261,94,167,0,0
SEA 36-1677,KI,111,336,107,219,0,1
SEA 36-1675,KI,94,309,114,209,0,1
SEA 34-1245,KI,140,466,102,244,0,2
SEA 36-1673,KI,228,806,301,530,0,1
SEA 34-1247,KI,124,461,75,202,0,3
SEA 34-1246,KI,111,355,92,203,0,0
SEA 34-1249,KI,141,551,97,241,0,3
SEA 34-1248,KI,122,407,87,209,0,0
SEA 36-1775,KI,168,711,158,327,0,1
SEA 36-1774,KI,170,494,176,347,0,1
SEA 36-1773,KI,140,644,143,285,0,2
SEA 36-1772,KI,134,534,149,284,0,1
SEA 36-1771,KI,129,487,118,248,0,1
SEA 36-1679,KI,123,413,149,272,0,0
SEA 46-1959,KI,246,703,244,491,0,1
SEA 43-3628,KI,165,536,122,290,0,3
SEA 34-1410,KI,75,240,81,156,0,0
SEA 36-1699,KI,76,295,82,160,0,2
SEA 34-1412,KI,69,261,97,166,0,0
SEA 34-1413,KI,153,533,164,319,0,2
SEA 34-1414,KI,57,239,105,165,0,3
SEA 34-1415,KI,139,406,106,247,0,2
SEA 34-1416,KI,113,394,120,235,0,2
SEA 36-1690,KI,65,342,107,178,0,6
SEA 36-1691,KI,67,274,89,156,0,0
SEA 36-1692,KI,119,363,136,256,0,1
SEA 36-1693,KI,101,308,88,189,0,0
SEA 36-1695,KI,156,475,163,320,0,1
SEA 36-1696,KI,141,433,145,286,0,0
SEA 36-1697,KI,87,312,97,186,0,2
SEA 36-1317,KI,177,631,192,370,0,1
SEA 37-1607,KI,128,524,96,227,0,3
SEA 36-2523,KI,169,496,164,333,0,0
SEA 36-2522,KI,125,356,105,230,0,0
SEA 46-3688,KI,10,24,5,15,0,0
SEA 36-2520,KI,135,573,161,298,0,2
SEA 36-2527,KI,90,294,104,195,0,1
SEA 36-2526,KI,145,444,154,301,0,2
SEA 36-1721,KI,120,529,125,246,0,1
SEA 36-2529,KI,147,456,166,314,0,1
SEA 36-2528,KI,199,576,198,400,0,3
SEA 46-1980,KI,100,381,157,257,0,0
SEA 43-3571,KI,93,464,62,156,0,1
SEA 43-1267,KI,122,386,140,264,0,2
SEA 43-1783,KI,118,455,124,243,0,1
SEA 36-1727,KI,118,382,120,239,0,1
SEA 37-3567,KI,79,408,50,130,0,1
SEA 46-2359,KI,111,341,92,203,0,0
SEA 46-2302,KI,128,408,137,265,0,0
SEA 36-1672,KI,80,252,84,164,0,0
SEA 37-1652,KI,59,287,96,157,0,2
SEA 36-3605,KI,127,535,118,249,0,4
SEA 37-1937,KI,90,293,122,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 36-3317,KI,177,595,205,383,0,1
SEA 37-1932,KI,97,416,119,218,0,2
SEA 36-1670,KI,163,492,168,331,0,0
SEA 37-1839,KI,185,754,208,399,0,6
SEA 37-1838,KI,205,764,197,405,0,3
SEA 32-2224,KI,164,535,123,289,0,2
SEA 46-2377,KI,190,574,197,391,0,4
SEA 37-1650,KI,77,260,97,175,0,1
SEA 37-1833,KI,172,653,163,336,0,1
SEA 46-2370,KI,85,428,52,137,0,0
SEA 37-1831,KI,109,353,112,221,0,0
SEA 37-1914,KI,181,523,183,364,0,0
SEA 37-3696,KI,9,49,9,18,0,0
SEA 37-3693,KI,0,0,0,0,0,0
SEA 11-1597,KI,230,909,175,410,0,5
SEA 43-1819,KI,145,457,157,303,0,1
SEA 43-1982,KI,129,501,136,266,0,1
SEA 43-1983,KI,169,497,144,313,0,0
SEA 46-2351,KI,97,314,103,200,0,0
SEA 43-1986,KI,70,278,93,163,0,0
SEA 46-2350,KI,120,407,97,217,0,0
SEA 46-2357,KI,144,472,161,309,0,4
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,10,38,7,17,0,0
SEA 46-2240,KI,141,431,147,290,0,2
SEA 36-1770,KI,77,234,82,159,0,0
SEA 43-2055,KI,49,322,64,113,0,0
SEA 46-2231,KI,189,619,174,366,0,3
SEA 46-2143,KI,91,285,70,163,0,2
SEA 46-1401,KI,163,686,144,311,0,4
SEA 46-2244,KI,93,268,96,191,0,2
SEA 36-2749,KI,83,336,47,130,0,0
SEA 37-1940,KI,135,536,132,268,0,1
SEA 46-2341,KI,153,569,196,349,0,0
SEA 37-1944,KI,178,754,148,326,0,0
SEA 36-2743,KI,175,501,155,332,0,2
SEA 46-2303,KI,123,422,159,284,0,2
SEA 46-2378,KI,109,322,103,212,0,0
SEA 43-3595,KI,167,535,153,322,0,2
SEA 46-2363,KI,110,380,102,213,0,1
SEA 46-2360,KI,109,469,92,202,0,1
SEA 46-2313,KI,150,538,94,248,0,4
SEA 46-2373,KI,181,683,149,331,0,1
SEA 46-2366,KI,110,451,126,241,0,5
SEA 43-2105,KI,158,628,203,361,0,0
SEA 43-3570,KI,243,1056,184,429,0,2
SEA 43-2061,KI,91,476,114,207,0,2
SEA 46-2056,KI,112,330,113,228,0,3
SEA 43-1350,KI,62,265,71,133,0,0
SEA 43-2065,KI,92,547,85,179,0,2
SEA 43-2068,KI,96,425,93,191,0,2
SEA 43-2069,KI,193,652,204,399,0,2
SEA 43-1826,KI,174,567,177,354,0,3
SEA 36-3345,KI,140,517,115,260,0,5
SEA 46-2057,KI,154,443,156,310,0,0
SEA 36-3341,KI,143,654,177,325,0,5
SEA 37-1825,KI,177,704,114,296,0,5
SEA 46-2364,KI,99,355,86,185,0,0
SEA 34-1515,KI,136,391,111,247,0,0
SEA 34-1514,KI,150,521,127,277,0,0
SEA 34-1517,KI,76,260,69,145,0,0
SEA 34-1516,KI,116,399,109,227,0,2
SEA 32-3656,KI,147,474,138,288,0,3
SEA 34-1510,KI,110,392,115,228,0,3
SEA 34-1513,KI,162,663,147,312,0,3
SEA 34-1512,KI,74,269,75,149,0,0
SEA 43-1364,KI,146,535,173,321,0,2
SEA 43-1365,KI,118,459,144,262,0,0
SEA 43-1366,KI,81,287,105,186,0,0
SEA 43-1367,KI,109,375,138,253,0,6
SEA 34-1519,KI,79,327,109,192,0,4
SEA 34-1518,KI,78,260,78,156,0,0
SEA 43-1362,KI,161,660,188,351,0,2
SEA 43-1363,KI,187,725,194,386,0,5
SEA 36-1698,KI,87,278,80,167,0,0
SEA 36-1319,KI,144,469,139,285,0,2
SEA 36-1318,KI,280,999,254,537,0,3
SEA 11-1624,KI,110,577,97,208,0,1
SEA 36-2119,KI,80,277,96,176,0,0
SEA 36-1720,KI,145,622,142,287,0,0
SEA 34-1418,KI,81,299,113,196,0,2
SEA 36-1722,KI,131,536,124,256,0,1
SEA 36-1723,KI,109,431,139,252,0,4
SEA 36-1724,KI,99,315,106,207,0,2
SEA 36-1725,KI,94,372,93,189,0,2
SEA 36-1726,KI,103,387,111,214,0,0
SEA 34-1419,KI,214,694,199,418,0,5
SEA 36-1729,KI,71,231,76,147,0,0
SEA 37-1646,KI,84,457,66,151,1,0
SEA 46-2266,KI,135,494,152,288,0,1
SEA 43-2004,KI,94,356,110,206,0,2
SEA 43-2987,KI,49,673,47,97,0,1
SEA 46-2339,KI,80,330,87,171,0,4
SEA 46-2338,KI,143,543,116,260,0,1
SEA 46-2330,KI,127,420,105,232,0,0
SEA 46-2333,KI,103,371,116,221,0,2
SEA 46-2332,KI,79,248,86,165,0,0
SEA 46-2335,KI,158,609,108,268,0,2
SEA 46-2334,KI,182,573,160,343,0,1
SEA 46-2337,KI,109,347,73,185,0,3
SEA 46-2336,KI,176,707,171,350,0,3
SEA 43-2109,KI,106,478,101,212,0,5
SEA 43-3230,KI,149,626,158,309,0,2
SEA 43-2016,KI,101,333,96,197,0,0
SEA 36-2163,KI,72,289,103,176,0,1
SEA 36-2162,KI,120,373,138,259,0,1
SEA 36-2161,KI,138,460,165,304,0,1
SEA 34-1458,KI,123,376,121,246,0,2
SEA 34-1459,KI,88,272,87,175,0,0
SEA 36-2165,KI,62,240,108,170,0,0
SEA 36-2164,KI,104,310,111,215,0,0
SEA 34-1454,KI,82,306,96,180,0,2
SEA 11-3580,KI,100,401,75,175,0,0
SEA 34-1456,KI,132,428,116,248,0,0
SEA 34-1457,KI,206,687,179,385,0,0
SEA 34-1450,KI,102,301,86,188,0,0
SEA 34-1451,KI,99,330,79,178,0,0
SEA 34-1452,KI,86,275,84,170,0,0
SEA 34-1453,KI,94,264,79,174,0,1
SEA 37-3639,KI,101,303,89,191,0,1
SEA 43-1277,KI,139,541,138,282,0,5
SEA 43-2008,KI,81,257,88,169,0,0
SEA 37-3636,KI,174,786,121,296,0,1
SEA 43-1275,KI,101,275,97,200,0,2
SEA 46-2263,KI,185,599,210,396,0,1
SEA 43-1272,KI,132,437,152,285,0,1
SEA 36-3496,KI,175,671,149,328,0,4
SEA 36-2171,KI,148,491,179,329,0,2
SEA 46-2348,KI,66,274,95,161,0,0
SEA 43-1379,KI,78,263,108,187,0,1
SEA 37-1907,KI,224,657,205,432,0,3
SEA 37-1906,KI,124,427,154,280,0,2
SEA 43-1271,KI,130,473,127,260,0,3
SEA 37-1903,KI,102,312,114,218,0,2
SEA 37-1902,KI,96,339,126,224,0,2
SEA 37-1901,KI,86,260,77,163,0,0
SEA 37-1900,KI,100,355,90,192,0,2
SEA 37-1864,KI,177,622,95,273,0,1
SEA 43-1376,KI,155,541,155,312,0,2
SEA 43-1870,KI,143,466,127,273,0,3
SEA 36-2167,KI,88,327,123,211,0,0
SEA 43-1874,KI,179,608,161,343,0,3
SEA 46-1400,KI,102,425,117,221,0,2
SEA 36-2166,KI,101,336,130,231,0,0
SEA 32-2537,KI,108,396,105,213,0,0
SEA 46-2322,KI,131,532,147,281,0,3
SEA 43-1373,KI,99,335,139,243,0,5
SEA 32-2539,KI,230,788,214,447,0,3
SEA 43-1371,KI,82,288,84,166,0,0
SEA 43-2028,KI,142,423,137,280,0,1
SEA 34-1455,KI,233,956,195,428,0,0
SEA 43-2026,KI,119,356,119,239,0,1
SEA 43-2027,KI,78,292,124,202,0,0
SEA 43-2024,KI,95,336,106,201,0,0
SEA 43-1370,KI,104,332,133,237,0,0
SEA 43-2023,KI,103,388,119,224,0,2
SEA 43-2020,KI,113,374,135,249,0,1
SEA 43-2021,KI,260,797,244,506,0,2
SEA 36-2168,KI,145,520,188,334,0,1
SEA 36-2524,KI,69,216,83,152,0,0
SEA 46-1967,KI,158,497,160,320,0,2
SEA 46-2275,KI,36,127,35,71,0,0
SEA 43-2550,KI,84,342,72,157,0,1
SEA 43-2541,KI,60,268,55,115,0,0
SEA 37-1585,KI,112,358,118,233,0,3
SEA 37-1584,KI,103,332,102,210,0,5
SEA 43-1889,KI,139,483,146,288,0,3
SEA 43-1345,KI,126,424,147,274,0,1
SEA 36-1298,KI,107,337,138,246,0,1
SEA 34-3682,KI,88,386,102,192,0,2
SEA 43-1888,KI,192,633,181,373,0,0
SEA 36-1294,KI,190,735,258,449,0,1
SEA 36-1295,KI,97,337,118,219,0,4
SEA 36-1296,KI,104,303,89,194,0,1
SEA 36-1297,KI,89,298,94,183,0,0
SEA 36-1292,KI,112,356,105,220,0,3
SEA 34-1257,KI,143,510,160,304,0,1
SEA 34-1254,KI,84,346,66,150,0,0
SEA 34-1255,KI,140,414,59,202,0,3
SEA 34-1252,KI,160,660,131,295,0,4
SEA 36-1769,KI,78,234,73,151,0,0
SEA 34-1250,KI,101,335,97,199,0,1
SEA 34-1251,KI,198,538,114,312,0,0
SEA 36-1764,KI,101,264,84,185,0,0
SEA 36-1765,KI,83,274,95,178,0,0
SEA 36-1766,KI,94,401,120,216,0,2
SEA 36-1767,KI,114,551,126,242,0,2
SEA 36-1760,KI,90,300,104,195,0,1
SEA 36-1761,KI,84,309,107,193,0,2
SEA 36-1762,KI,94,306,111,207,0,2
SEA 36-1763,KI,94,312,100,196,0,2
SEA 46-2500,KI,104,360,100,209,0,5
SEA 34-3175,KI,104,357,130,235,0,1
SEA 34-1425,KI,108,292,76,185,0,1
SEA 34-1424,KI,105,436,103,210,0,2
SEA 34-1427,KI,69,269,92,163,0,2
SEA 34-1426,KI,86,294,99,186,0,1
SEA 34-1420,KI,176,668,209,385,0,0
SEA 34-1423,KI,108,338,94,205,0,3
SEA 34-1422,KI,95,354,120,216,0,1
SEA 46-1965,KI,108,292,82,190,0,0
SEA 34-1429,KI,81,252,76,158,0,1
SEA 34-1428,KI,81,252,79,163,0,3
SEA 43-2239,KI,170,566,218,389,0,1
SEA 43-2238,KI,243,813,295,539,0,1
SEA 43-2237,KI,166,568,182,352,0,4
SEA 34-2501,KI,115,381,127,244,0,2
SEA 43-1349,KI,95,359,134,231,0,2
SEA 36-2532,KI,136,416,133,273,0,4
SEA 36-2533,KI,121,431,143,267,0,3
SEA 36-2534,KI,154,547,156,315,0,5
SEA 36-2535,KI,151,566,139,291,0,1
SEA 36-2129,KI,176,691,148,326,0,2
SEA 36-2126,KI,197,722,219,419,0,3
SEA 36-2125,KI,193,620,162,357,0,2
SEA 36-2121,KI,109,443,104,216,0,3
SEA 36-2120,KI,125,413,147,273,0,1
SEA 36-2146,KI,82,338,116,199,0,1
SEA 46-1966,KI,68,234,74,144,0,2
SEA 46-2375,KI,97,312,113,210,0,0
SEA 43-2115,KI,67,527,66,134,0,1
SEA 37-3673,KI,150,563,122,277,0,5
SEA 37-3672,KI,106,426,118,225,0,1
SEA 37-3573,KI,65,564,46,111,0,0
SEA 36-2511,KI,131,430,180,311,0,0
SEA 46-2249,KI,96,250,74,170,0,0
SEA 43-1779,KI,86,377,61,147,0,0
SEA 37-1558,KI,141,702,132,273,0,0
SEA 37-1559,KI,73,338,30,108,0,5
SEA 37-1555,KI,97,410,90,190,0,3
SEA 46-2243,KI,173,514,183,359,0,3
SEA 37-1557,KI,69,343,53,124,0,2
SEA 46-2245,KI,176,409,146,322,0,0
SEA 43-1776,KI,188,673,181,375,0,6
SEA 46-2247,KI,225,630,193,421,0,3
SEA 37-1553,KI,100,388,105,206,0,1
SEA 32-2211,KI,160,606,146,311,0,5
SEA 32-2210,KI,199,610,173,374,0,2
SEA 43-1380,KI,85,301,97,183,0,1
SEA 46-2361,KI,105,359,100,206,0,1
SEA 32-2215,KI,268,805,265,535,0,2
SEA 46-2367,KI,122,449,107,229,0,0
SEA 32-2217,KI,261,754,156,421,0,4
SEA 32-2216,KI,93,338,110,203,0,0
SEA 37-1824,KI,127,394,116,246,0,3
SEA 32-2218,KI,161,666,168,332,0,3
SEA 37-1827,KI,185,558,82,270,0,3
SEA 36-1326,KI,208,693,225,436,0,3
SEA 37-1823,KI,31,209,12,44,0,1
SEA 43-1835,KI,256,688,158,417,0,3
SEA 37-1608,KI,141,559,149,293,0,3
SEA 36-1320,KI,113,362,121,234,0,0
SEA 36-1321,KI,124,416,132,258,0,2
SEA 37-1622,KI,133,578,93,226,0,0
SEA 37-2799,KI,113,445,89,206,0,4
SEA 46-2269,KI,88,305,109,197,0,0
SEA 36-1322,KI,119,479,165,286,0,2
SEA 46-1964,KI,133,499,114,247,0,0
SEA 36-1323,KI,112,401,131,243,0,0
SEA 37-1620,KI,92,418,48,140,0,0
SEA 37-1891,KI,95,304,98,193,0,0
SEA 36-1662,KI,151,450,140,291,0,0
SEA 37-1609,KI,103,414,138,242,0,1
SEA 46-2100,KI,122,370,121,246,0,3
SEA 46-1961,KI,83,272,97,182,0,2
SEA 36-1328,KI,193,756,197,390,0,0
SEA 43-3497,KI,111,532,106,218,0,1
SEA 46-1962,KI,92,295,116,208,0,0
SEA 37-1894,KI,111,433,144,259,0,4
SEA 37-1899,KI,95,338,100,195,0,0
SEA 37-1898,KI,77,285,81,158,0,0
SEA 36-1703,KI,170,530,169,340,0,1
SEA 36-2750,KI,109,458,84,198,0,5
SEA 37-1890,KI,200,581,209,412,0,3
SEA 37-1893,KI,158,445,123,287,0,6
SEA 37-1892,KI,183,594,175,360,0,2
SEA 37-1895,KI,162,604,190,356,0,4
SEA 37-1628,KI,124,444,91,215,0,0
SEA 37-1897,KI,179,881,137,320,0,4
SEA 37-1896,KI,124,410,130,258,0,4
