Row Label,PrecinctCode,County,Registered Voters,Yes,No
29-654,29654,PI,NULL,276,231
29-655,29655,PI,NULL,78,126
29-656,29656,PI,NULL,214,200
29-657(*),29657,PI,NULL,0,0
29-658,29658,PI,NULL,257,201
29-659,29659,PI,NULL,161,111
29-660,29660,PI,NULL,337,218
29-661,29661,PI,NULL,208,183
29-662,29662,PI,NULL,0,0
29-663,29663,PI,NULL,233,184
29-664,29664,PI,NULL,243,227
29-667,29667,PI,NULL,283,211
29-668,29668,PI,NULL,212,140
29-669,29669,PI,NULL,265,221
29-670,29670,PI,NULL,317,223
29-671,29671,PI,NULL,251,189
29-672,29672,PI,NULL,169,96
29-673,29673,PI,NULL,291,222
29-674,29674,PI,NULL,95,68
29-675,29675,PI,NULL,254,206
29-676,29676,PI,NULL,278,196
29-677,29677,PI,NULL,300,201
29-678,29678,PI,NULL,201,146
29-679,29679,PI,NULL,227,150
29-680,29680,PI,NULL,266,140
29-682,29682,PI,NULL,235,180
29-683,29683,PI,NULL,251,195
30-701,30701,PI,NULL,13,6
30-705,30705,PI,NULL,132,136
30-706,30706,PI,NULL,256,164
30-707,30707,PI,NULL,141,97
30-708,30708,PI,NULL,197,199
30-709,30709,PI,NULL,194,201
30-713(*),30713,PI,NULL,0,0
31-801,31801,PI,NULL,166,132
31-802,31802,PI,NULL,262,190
31-803,31803,PI,NULL,226,207
31-804,31804,PI,NULL,253,223
31-805,31805,PI,NULL,203,241
31-806,31806,PI,NULL,302,258
31-807(*),31807,PI,NULL,0,0
31-808,31808,PI,NULL,236,209
31-809,31809,PI,NULL,230,229
31-810,31810,PI,NULL,129,155
31-813,31813,PI,NULL,97,139
31-814,31814,PI,NULL,24,38
31-815,31815,PI,NULL,147,184
31-816,31816,PI,NULL,166,239
31-817,31817,PI,NULL,229,279
31-818,31818,PI,NULL,55,68
31-819,31819,PI,NULL,90,109
31-822,31822,PI,NULL,191,155
31-823,31823,PI,NULL,199,123
31-824(*),31824,PI,NULL,0,0
31-825,31825,PI,NULL,209,219
31-826,31826,PI,NULL,223,251
31-827,31827,PI,NULL,73,56
31-828,31828,PI,NULL,171,240
31-829,31829,PI,NULL,213,168
31-830,31830,PI,NULL,89,97
31-833,31833,PI,NULL,250,185
31-834,31834,PI,NULL,222,162
31-835,31835,PI,NULL,362,294
31-836,31836,PI,NULL,238,209
31-837,31837,PI,NULL,222,141
31-838,31838,PI,NULL,226,110
31-839,31839,PI,NULL,23,19
31-840,31840,PI,NULL,127,79
31-841,31841,PI,NULL,123,110
31-842,31842,PI,NULL,219,187
