Row Label,PrecinctCode,County,Registered Voters,Shawn D. Myers
Olympia 48,248,TH,NULL,260
Olympia 49,249,TH,NULL,246
Olympia 50,250,TH,NULL,180
Olympia 51,251,TH,NULL,47
Olympia 52,252,TH,NULL,124
Olympia 53,253,TH,NULL,208
Olympia 54,254,TH,NULL,142
Olympia 55,255,TH,NULL,118
Olympia 56,256,TH,NULL,204
Olympia 57,257,TH,NULL,108
Olympia 58,258,TH,NULL,223
Olympia 59,259,TH,NULL,192
Olympia 60,260,TH,NULL,139
Lacey 01,301,TH,NULL,93
Lacey 02,302,TH,NULL,156
Lacey 03,303,TH,NULL,177
Lacey 04,304,TH,NULL,107
Lacey 05,305,TH,NULL,130
Lacey 06,306,TH,NULL,86
Lacey 07,307,TH,NULL,163
Lacey 08,308,TH,NULL,131
Lacey 09,309,TH,NULL,117
Lacey 10,310,TH,NULL,273
Lacey 11,311,TH,NULL,217
Lacey 13,313,TH,NULL,115
Lacey 14,314,TH,NULL,81
Lacey 15,315,TH,NULL,205
Lacey 16,316,TH,NULL,208
Lacey 17,317,TH,NULL,204
Lacey 18,318,TH,NULL,229
Lacey 19,319,TH,NULL,137
Lacey 20,320,TH,NULL,78
Lacey 21,321,TH,NULL,109
Lacey 22,322,TH,NULL,147
Lacey 23,323,TH,NULL,89
Lacey 24,324,TH,NULL,278
Lacey 27,327,TH,NULL,186
Lacey 28,328,TH,NULL,124
Lacey 29,329,TH,NULL,264
Lacey 30,330,TH,NULL,300
Lacey 31,331,TH,NULL,156
Lacey 32,332,TH,NULL,225
Lacey 33,333,TH,NULL,114
Lacey 34,334,TH,NULL,132
Lacey 35,335,TH,NULL,83
Lacey 36,336,TH,NULL,128
Lacey 37,337,TH,NULL,70
Lacey 39,339,TH,NULL,356
Lacey 40,340,TH,NULL,265
Lacey 41,341,TH,NULL,192
Lacey 42,342,TH,NULL,72
Lacey 43,343,TH,NULL,261
Lacey 44,344,TH,NULL,95
Lacey 45,345,TH,NULL,108
Lacey 46,346,TH,NULL,472
Lacey 47,347,TH,NULL,361
Lacey 48,348,TH,NULL,143
Lacey 49,349,TH,NULL,121
Tumwater 01,401,TH,NULL,162
Tumwater 02,402,TH,NULL,223
Tumwater 03,403,TH,NULL,244
Tumwater 04,404,TH,NULL,153
Tumwater 05,405,TH,NULL,159
Tumwater 06,406,TH,NULL,369
Tumwater 07,407,TH,NULL,171
Tumwater 08,408,TH,NULL,257
Tumwater 09,409,TH,NULL,152
Tumwater 10,410,TH,NULL,294
Tumwater 11,411,TH,NULL,295
Tumwater 12,412,TH,NULL,223
Tumwater 13,413,TH,NULL,92
Tumwater 14,414,TH,NULL,113
Tumwater 15,415,TH,NULL,257
Tumwater 24,424,TH,NULL,159
Tumwater 27,427,TH,NULL,213
Tumwater 28,428,TH,NULL,295
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,138
Tenino 02,502,TH,NULL,152
Rainier 01,601,TH,NULL,162
Rainier 02,602,TH,NULL,122
Yelm 1,701,TH,NULL,197
Yelm 2,702,TH,NULL,214
Yelm 3,703,TH,NULL,238
Yelm 4,704,TH,NULL,232
Bucoda,801,TH,NULL,99
