Row Label,PrecinctCode,County,Registered Voters,Mary Yu
31-902,31902,PI,NULL,427
31-903,31903,PI,NULL,4
31-904,31904,PI,NULL,56
31-905,31905,PI,NULL,273
31-906,31906,PI,NULL,170
31-907,31907,PI,NULL,258
31-908,31908,PI,NULL,219
31-909,31909,PI,NULL,247
31-910,31910,PI,NULL,246
31-911,31911,PI,NULL,151
31-912,31912,PI,NULL,214
31-913,31913,PI,NULL,114
31-914,31914,PI,NULL,214
31-915,31915,PI,NULL,50
31-916,31916,PI,NULL,251
31-917,31917,PI,NULL,375
31-919,31919,PI,NULL,273
31-920,31920,PI,NULL,219
31-921,31921,PI,NULL,233
31-923,31923,PI,NULL,186
31-924,31924,PI,NULL,176
31-925,31925,PI,NULL,86
31-926,31926,PI,NULL,10
31-927,31927,PI,NULL,241
