Row Label,PrecinctCode,County,Registered Voters,Frank Dacca
31-861,31861,PI,NULL,82
31-865,31865,PI,NULL,85
31-869,31869,PI,NULL,136
31-873,31873,PI,NULL,61
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,315
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,130
31-879,31879,PI,NULL,69
31-880,31880,PI,NULL,108
31-881,31881,PI,NULL,162
31-882,31882,PI,NULL,242
31-883,31883,PI,NULL,330
31-884,31884,PI,NULL,284
31-885,31885,PI,NULL,109
31-886,31886,PI,NULL,247
31-887,31887,PI,NULL,215
31-888,31888,PI,NULL,231
31-890,31890,PI,NULL,165
31-891,31891,PI,NULL,95
31-892,31892,PI,NULL,181
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,39
31-895,31895,PI,NULL,214
31-896,31896,PI,NULL,4
31-897,31897,PI,NULL,126
31-898,31898,PI,NULL,286
31-899,31899,PI,NULL,165
31-900,31900,PI,NULL,190
31-901,31901,PI,NULL,37
31-902,31902,PI,NULL,387
31-903,31903,PI,NULL,3
31-904,31904,PI,NULL,52
31-905,31905,PI,NULL,259
31-906,31906,PI,NULL,165
31-907,31907,PI,NULL,244
31-908,31908,PI,NULL,205
31-909,31909,PI,NULL,231
31-910,31910,PI,NULL,227
31-911,31911,PI,NULL,154
31-912,31912,PI,NULL,200
31-913,31913,PI,NULL,102
31-914,31914,PI,NULL,202
31-915,31915,PI,NULL,51
31-916,31916,PI,NULL,244
31-917,31917,PI,NULL,351
31-919,31919,PI,NULL,260
31-920,31920,PI,NULL,206
31-921,31921,PI,NULL,215
31-923,31923,PI,NULL,172
31-924,31924,PI,NULL,161
31-925,31925,PI,NULL,73
31-926,31926,PI,NULL,7
31-927,31927,PI,NULL,223
