Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
LAKE STEVENS 23,14451723,SN,NULL,97,89
LAKE STEVENS 24,14451724,SN,NULL,92,96
LAKE STEVENS 25,14451725,SN,NULL,33,38
LAKE STEVENS 26,14451726,SN,NULL,69,69
LAKE STEVENS 27,14451727,SN,NULL,82,56
LAKE STEVENS 28,14451757,SN,NULL,129,105
MARSH,14454012,SN,NULL,161,155
SOUTH SNOHOMISH,14454017,SN,NULL,107,92
WELANGDON,14454018,SN,NULL,10,9
LUDWIG,14454024,SN,NULL,113,121
SEXTON,14454029,SN,NULL,170,151
MACHIAS,14454045,SN,NULL,181,179
MARION,14454046,SN,NULL,99,129
RIVERVIEW,14454052,SN,NULL,149,125
SOUTH LAKE STEVENS,14454059,SN,NULL,145,128
FIR,14454066,SN,NULL,126,119
GLENWOOD,14454067,SN,NULL,91,90
TRAIL,14454072,SN,NULL,61,70
BERKSHIRE,14454075,SN,NULL,200,153
HAINES,14454291,SN,NULL,149,124
MEADOW,14454300,SN,NULL,113,96
PEAK,14454311,SN,NULL,6,7
PENNANT,14454312,SN,NULL,178,137
PETERSON,14454313,SN,NULL,159,158
PINEWOOD,14454315,SN,NULL,152,88
WINDSONG,14454336,SN,NULL,105,105
WOODRIDGE,14454339,SN,NULL,181,156
DUBUQUE,14454345,SN,NULL,124,114
POINTE,14454358,SN,NULL,29,13
SUNRISE,14454364,SN,NULL,136,90
VALMONT,14454366,SN,NULL,74,71
HEARTHSTONE,14454458,SN,NULL,96,88
MARKS,14454464,SN,NULL,133,123
OSBORN,14454477,SN,NULL,114,97
PANTHER CREEK,14454478,SN,NULL,124,130
PIONEER TRAILS,14454480,SN,NULL,144,89
RIDGEWAY,14454482,SN,NULL,80,88
STITCH,14454485,SN,NULL,52,31
CENTENNIAL,14454490,SN,NULL,154,194
FIRCREST,14454493,SN,NULL,104,72
GREENWOOD,14454530,SN,NULL,143,138
HAVEN,14454531,SN,NULL,138,146
HILLSIDE,14454532,SN,NULL,53,57
OHLDE,14454549,SN,NULL,131,121
RUGGS LAKE,14454554,SN,NULL,148,126
FOUR CORNERS,14454580,SN,NULL,121,141
KNOX,14454585,SN,NULL,6,10
MORNING RISE,14454588,SN,NULL,126,112
PELLERIN,14454634,SN,NULL,141,98
KENSINGTON,14454648,SN,NULL,79,63
OVERLOOK,14454706,SN,NULL,158,151
SOUTH ALDERWOOD,20134083,SN,NULL,189,122
SAMOEA,20134196,SN,NULL,143,116
POPLAR,20134316,SN,NULL,77,57
CRAWFORD,20134690,SN,NULL,35,32
MOUNTLAKE TERRACE  1,20141090,SN,NULL,103,113
MOUNTLAKE TERRACE  2,20141091,SN,NULL,106,99
MOUNTLAKE TERRACE  3,20141092,SN,NULL,125,81
MOUNTLAKE TERRACE  5,20141093,SN,NULL,105,110
MOUNTLAKE TERRACE  6,20141094,SN,NULL,90,75
MOUNTLAKE TERRACE 11,20141138,SN,NULL,111,102
MOUNTLAKE TERRACE 12,20141139,SN,NULL,122,100
MOUNTLAKE TERRACE 13,20141140,SN,NULL,146,117
MOUNTLAKE TERRACE 14,20141141,SN,NULL,132,129
MOUNTLAKE TERRACE 15,20141142,SN,NULL,112,92
BRIER 1,20141179,SN,NULL,128,131
BRIER 2,20141180,SN,NULL,119,75
BRIER 3,20141181,SN,NULL,224,145
MOUNTLAKE TERRACE 17,20141189,SN,NULL,182,132
MOUNTLAKE TERRACE 18,20141190,SN,NULL,117,120
MOUNTLAKE TERRACE 19,20141191,SN,NULL,141,111
BRIER 4,20141276,SN,NULL,160,113
BRIER 5,20141277,SN,NULL,201,125
BRIER 6,20141343,SN,NULL,97,81
BRIER 7,20141344,SN,NULL,111,94
MOUNTLAKE TERRACE  4,20141432,SN,NULL,89,81
BRIER 8,20141614,SN,NULL,104,85
MOUNTLAKE TERRACE 16,20141630,SN,NULL,99,69
NORTH CREEK,20144065,SN,NULL,105,112
LOCUST,20144078,SN,NULL,132,112
WILLOWDALE,20144085,SN,NULL,164,107
HUNT(*),20144089,SN,NULL,0,0
MERIDIAN,20144136,SN,NULL,141,123
VINE,20144146,SN,NULL,116,112
ATLAS,20144177,SN,NULL,148,151
QUEENS,20144212,SN,NULL,127,113
WAXON,20144213,SN,NULL,196,135
COUNTRY,20144281,SN,NULL,95,79
CRYSTAL,20144284,SN,NULL,147,81
THRASHERS,20144324,SN,NULL,91,114
DAMSON,20144446,SN,NULL,189,117
WANDERING CREEK,20144596,SN,NULL,134,141
NEWTON,20144705,SN,NULL,102,80
STANWOOD 1,21011199,SN,NULL,69,48
STANWOOD 2,21011200,SN,NULL,133,113
STANWOOD 3,21011509,SN,NULL,100,97
STANWOOD 4,21011641,SN,NULL,176,151
STANWOOD 5,21011669,SN,NULL,175,143
STANWOOD 6,21011711,SN,NULL,84,77
