Row Label,PrecinctCode,County,Registered Voters,John Lovick,Carolyn Eslick
EVERETT  50,23821254,SN,NULL,159,119
EVERETT  51,23821255,SN,NULL,139,128
EVERETT  53,23821256,SN,NULL,166,119
EVERETT  54,23821257,SN,NULL,138,132
EVERETT  55,23821258,SN,NULL,46,29
EVERETT  67,23821287,SN,NULL,165,95
EVERETT  69,23821288,SN,NULL,181,89
EVERETT  73,23821289,SN,NULL,157,118
EVERETT  76,23821290,SN,NULL,136,114
TULALIP 1,23821327,SN,NULL,185,140
TULALIP 2,23821328,SN,NULL,198,72
EVERETT  60,23821346,SN,NULL,151,101
TULALIP 3,23821365,SN,NULL,169,113
EVERETT   5,23821394,SN,NULL,165,79
EVERETT   7,23821395,SN,NULL,87,43
EVERETT   9,23821396,SN,NULL,256,189
EVERETT  10,23821397,SN,NULL,144,70
EVERETT  23,23821398,SN,NULL,27,31
EVERETT  30,23821399,SN,NULL,192,143
EVERETT  46,23821401,SN,NULL,141,80
EVERETT  47,23821402,SN,NULL,165,96
EVERETT  58,23821403,SN,NULL,17,13
EVERETT  59,23821404,SN,NULL,139,77
EVERETT  68,23821408,SN,NULL,207,152
EVERETT  70,23821409,SN,NULL,2,2
EVERETT  71,23821410,SN,NULL,96,55
EVERETT  72,23821411,SN,NULL,91,53
EVERETT  74,23821412,SN,NULL,83,87
EVERETT  80,23821413,SN,NULL,157,158
EVERETT  81,23821414,SN,NULL,102,44
TULALIP 4,23821440,SN,NULL,171,150
EVERETT  85,23821449,SN,NULL,109,102
EVERETT  87,23821450,SN,NULL,90,93
EVERETT  88,23821451,SN,NULL,172,115
EVERETT  89,23821452,SN,NULL,127,85
EVERETT  90,23821453,SN,NULL,51,30
TULALIP 5,23821510,SN,NULL,113,81
TULALIP 6,23821558,SN,NULL,111,39
EVERETT  62,23821617,SN,NULL,123,70
EVERETT  63,23821618,SN,NULL,111,110
EVERETT  75,23821619,SN,NULL,95,88
EVERETT  78,23821620,SN,NULL,74,60
EVERETT  86,23821623,SN,NULL,126,113
EVERETT  77,23821645,SN,NULL,131,90
EVERETT  82,23821662,SN,NULL,115,106
EVERETT  93,23821695,SN,NULL,98,74
EVERETT  94,23821696,SN,NULL,95,79
PRIEST POINT,23824098,SN,NULL,111,88
MILLARD,23824169,SN,NULL,78,104
HAT ISLAND,23824267,SN,NULL,16,20
SHELTON,23824269,SN,NULL,174,222
TYEE,23824441,SN,NULL,150,130
BOEING,23824445,SN,NULL,106,130
COHO,23824561,SN,NULL,82,38
SPENCER(*),23824593,SN,NULL,0,0
CHATHAM,23824752,SN,NULL,34,25
SYLVAN,23854756,SN,NULL,11,13
ARLINGTON  1,23911049,SN,NULL,125,168
ARLINGTON  2,23911050,SN,NULL,129,104
ARLINGTON  3,23911051,SN,NULL,131,112
ARLINGTON  4,23911130,SN,NULL,230,210
ARLINGTON  5,23911386,SN,NULL,196,200
MARYSVILLE 18,23911468,SN,NULL,164,196
ARLINGTON  6,23911498,SN,NULL,159,158
ARLINGTON  7,23911499,SN,NULL,171,212
ARLINGTON  8,23911518,SN,NULL,125,177
ARLINGTON  9,23911569,SN,NULL,142,168
ARLINGTON 10,23911570,SN,NULL,165,218
ARLINGTON 11,23911574,SN,NULL,77,83
ARLINGTON 12,23911636,SN,NULL,87,138
ARLINGTON 13,23911643,SN,NULL,168,222
ARLINGTON 14,23911661,SN,NULL,108,125
MARYSVILLE 33,23911680,SN,NULL,2,2
ARLINGTON 15,23911686,SN,NULL,58,52
ARLINGTON 16,23911687,SN,NULL,86,127
MARYSVILLE 44,23911737,SN,NULL,211,176
MARYSVILLE 45,23911738,SN,NULL,149,232
MARYSVILLE 52,23911745,SN,NULL,180,183
MARYSVILLE 53,23911746,SN,NULL,90,111
MARYSVILLE 54,23911747,SN,NULL,151,169
ARLINGTON 17(*),23911751,SN,NULL,0,0
PACKWOOD,23914020,SN,NULL,76,100
EDGECOMB,23914023,SN,NULL,121,150
ALMA,23914151,SN,NULL,18,18
RONCREST,23914360,SN,NULL,50,77
MARYSVILLE  5,24411428,SN,NULL,214,171
MARYSVILLE 16,24411466,SN,NULL,168,191
MARYSVILLE 19,24411494,SN,NULL,137,124
MARYSVILLE 21,24411540,SN,NULL,220,235
MARYSVILLE 22,24411541,SN,NULL,191,206
MARYSVILLE 23,24411542,SN,NULL,226,182
MARYSVILLE 24,24411543,SN,NULL,135,123
MARYSVILLE 14,24411628,SN,NULL,180,219
MARYSVILLE 12,24411676,SN,NULL,175,147
MARYSVILLE 30,24411677,SN,NULL,153,184
MARYSVILLE 31,24411678,SN,NULL,197,248
MARYSVILLE 34,24411701,SN,NULL,119,132
MARYSVILLE 55,24411748,SN,NULL,100,114
EBEY,24424001,SN,NULL,17,20
WHALEBACK,24424019,SN,NULL,15,8
EASTMONT,24424126,SN,NULL,159,79
FIRGROVE,24424528,SN,NULL,133,79
SILVER LAKE,24444074,SN,NULL,163,107
DUMAS,24444285,SN,NULL,146,147
HOLIDAY,24444294,SN,NULL,82,59
HILTONS LAKE,24454086,SN,NULL,173,151
RIVERCREST,24454172,SN,NULL,118,98
TOWER,24454197,SN,NULL,178,112
VILLE,24454198,SN,NULL,60,74
JORDAN,24454295,SN,NULL,256,191
LANTERN,24454341,SN,NULL,158,143
SLIVER(*),24454591,SN,NULL,0,0
GLEN ACRES(*),24454698,SN,NULL,0,0
EDMONDS  1,72131101,SN,NULL,184,140
EDMONDS  2,72131102,SN,NULL,214,146
EDMONDS  3,72131103,SN,NULL,259,122
EDMONDS  4,72131104,SN,NULL,215,94
EDMONDS  5,72131105,SN,NULL,136,77
EDMONDS  7,72131107,SN,NULL,295,129
EDMONDS  8,72131108,SN,NULL,281,172
EDMONDS  9,72131109,SN,NULL,140,93
EDMONDS 10,72131110,SN,NULL,252,142
EDMONDS 13,72131111,SN,NULL,287,122
EDMONDS 17,72131127,SN,NULL,197,88
EDMONDS 22,72131147,SN,NULL,216,112
EDMONDS 23,72131148,SN,NULL,213,202
EDMONDS 28,72131155,SN,NULL,204,115
EDMONDS 29,72131156,SN,NULL,249,103
EDMONDS 30,72131157,SN,NULL,176,89
EDMONDS 31,72131158,SN,NULL,216,127
EDMONDS 32,72131159,SN,NULL,196,116
EDMONDS 33,72131160,SN,NULL,181,103
EDMONDS 34,72131161,SN,NULL,225,118
EDMONDS 35,72131162,SN,NULL,160,117
EDMONDS 36,72131163,SN,NULL,212,109
EDMONDS 37,72131164,SN,NULL,194,113
EDMONDS 21,72131390,SN,NULL,246,189
EDMONDS 24,72131391,SN,NULL,163,79
EDMONDS 26,72131392,SN,NULL,154,92
EDMONDS 38,72131393,SN,NULL,209,143
EDMONDS 39,72131447,SN,NULL,241,181
EDMONDS 46,72131524,SN,NULL,319,223
EDMONDS 51,72131565,SN,NULL,217,95
EDMONDS 11,72131694,SN,NULL,231,154
EDMONDS  6,73231106,SN,NULL,263,175
EDMONDS 14,73231112,SN,NULL,181,57
EDMONDS 15,73231113,SN,NULL,167,80
EDMONDS 16,73231114,SN,NULL,162,86
EDMONDS 18,73231132,SN,NULL,221,81
EDMONDS 19,73231133,SN,NULL,249,100
EDMONDS 25,73231153,SN,NULL,196,91
EDMONDS 27,73231154,SN,NULL,179,93
WOODWAY 1,73231173,SN,NULL,195,150
WOODWAY 2,73231174,SN,NULL,97,113
EDMONDS 12,73231389,SN,NULL,125,63
EDMONDS 40,73231500,SN,NULL,209,98
EDMONDS 41,73231511,SN,NULL,142,78
EDMONDS 42,73231512,SN,NULL,142,95
EDMONDS 43,73231513,SN,NULL,254,113
EDMONDS 44,73231514,SN,NULL,213,90
EDMONDS 45,73231523,SN,NULL,161,107
EDMONDS 47,73231525,SN,NULL,119,49
EDMONDS 48,73231562,SN,NULL,186,103
EDMONDS 49,73231563,SN,NULL,175,110
EDMONDS 50,73231564,SN,NULL,139,70
EDMONDS 52,73231577,SN,NULL,194,82
HOLLY,73234099,SN,NULL,230,100
ROB,73234143,SN,NULL,133,79
SUMMIT,73234149,SN,NULL,166,103
ANN,73234176,SN,NULL,172,90
CHAPEL,73234182,SN,NULL,145,86
