Row Label,PrecinctCode,County,Registered Voters,Craig Pridemore,Jeanne E. Stewart
925,925,CR,NULL,221,287
930,930,CR,NULL,272,339
935,935,CR,NULL,254,349
940,940,CR,NULL,241,305
947,947,CR,NULL,227,245
950,950,CR,NULL,277,263
951,951,CR,NULL,312,208
953,953,CR,NULL,144,108
957,957,CR,NULL,44,79
958,958,CR,NULL,47,53
959,959,CR,NULL,10,23
960,960,CR,NULL,334,344
961,961,CR,NULL,48,59
962,962,CR,NULL,172,284
963,963,CR,NULL,256,187
964,964,CR,NULL,285,324
965,965,CR,NULL,282,294
966,966,CR,NULL,154,246
967,967,CR,NULL,156,204
968,968,CR,NULL,280,212
969,969,CR,NULL,171,172
985,985,CR,NULL,233,246
