Row Label,PrecinctCode,County,Registered Voters,Ozzie D. Knezovich,Doug Orr
PCT 7029,7029,SP,NULL,292,151
PCT 7030,7030,SP,NULL,400,138
PCT 7031,7031,SP,NULL,335,119
PCT 7032,7032,SP,NULL,353,143
PCT 7033,7033,SP,NULL,259,76
PCT 7034,7034,SP,NULL,222,75
PCT 7035,7035,SP,NULL,223,89
PCT 7036,7036,SP,NULL,301,67
PCT 7300,7300,SP,NULL,318,104
PCT 7301,7301,SP,NULL,266,91
PCT 7302,7302,SP,NULL,243,95
PCT 9000,9000,SP,NULL,397,102
PCT 9001,9001,SP,NULL,277,119
PCT 9002,9002,SP,NULL,259,110
PCT 9003,9003,SP,NULL,197,50
PCT 9004,9004,SP,NULL,308,149
PCT 9005,9005,SP,NULL,115,65
PCT 9006,9006,SP,NULL,358,171
PCT 9007,9007,SP,NULL,103,42
PCT 9008,9008,SP,NULL,60,27
PCT 9300,9300,SP,NULL,76,13
PCT 9400,9400,SP,NULL,29,10
PCT 9500,9500,SP,NULL,114,48
PCT 9600,9600,SP,NULL,35,36
PCT 9700,9700,SP,NULL,100,63
